BlueDriver Data Log
Sep 26, 2018 7:12:16 AM
Time (s),Accelerator Pedal Position E (%),Mass Air Flow Rate (g/s),Intake Air Temperature (°C),Absolute Throttle Position B (%),O2 Bank 1 - Sensor 2 - Oxygen Sensor Voltage (V),Fuel Level Input (%),Ambient Air Temperature (°C),Calculated Engine Load Value (%),Absolute Throttle Position (%),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Absolute Load Value (%),Long Term Fuel Trim Bank 1 (%),Commanded Throttle Actuator (%),Wide Range O2S: Bank 1 - Sensor 1 - Equivalence Ratio (λ),Short Term Fuel Trim Bank 1 (%),Relative Throttle Position (%),Commanded Evaporative Purge (%),Evap. System Vapor Pressure (Pa),Barometric Pressure (kPa),Vehicle Speed (km/h),Wide Range O2S: Bank 1 - Sensor 1 - Voltage (V),Commanded Equivalence Ratio (λ),Timing Advance for #1 cylinder (°),O2 Bank 1 - Sensor 2 - Short Term Fuel Trim (%),Accelerator Pedal Position D (%),Engine RPM (rpm),Control Module Voltage (V)
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.1,0.0,3.75,16,4.8,0.280,100.0,16,28.5,17.3,32,,87.1,-1.3,5.7,1.004,2.8,1.3,0.0,0.0,101,,,0.222,0.5,99.2,0.0,921,13.712
30.2,0.2,3.92,16,5.1,0.280,100.0,16,26.6,22.0,36,0.0,33.9,-1.1,6.6,1.016,4.0,0.7,0.0,0.0,101,3,2.218,0.999,5.5,99.2,0.0,856,13.403
45.3,8.1,12.71,16,13.1,0.280,100.0,16,62.7,12.4,41,0.0,60.6,0.8,16.4,1.021,-1.3,9.0,19.5,0.0,101,25,2.193,0.997,11.2,99.2,4.4,1196,12.951
60.4,0.1,5.98,15,6.7,0.304,100.0,15,33.8,7.8,45,80.9,34.4,0.8,7.7,0.998,-2.0,3.5,19.9,49.6,101,46,2.163,0.996,26.9,99.2,1.8,1367,13.028
75.5,0.0,5.54,15,8.3,0.365,100.0,15,43.1,8.2,49,163.7,39.1,0.8,7.9,0.999,-0.4,1.2,0.0,0.0,101,41,2.208,0.996,20.2,99.2,0.0,1412,12.960
90.6,10.0,11.18,15,11.6,0.862,100.0,15,53.1,12.7,51,190.4,48.0,-1.3,12.4,0.999,0.5,6.0,16.7,5.8,101,13,2.135,1.003,7.2,99.2,9.0,1314,12.899
105.7,10.9,12.39,15,15.1,0.793,100.0,15,75.4,17.2,52,275.8,68.1,0.8,18.5,1.005,-1.7,14.1,47.5,0.0,101,46,2.178,0.988,5.7,99.2,17.2,1661,13.002
120.8,0.0,4.41,15,5.4,0.038,100.0,15,33.7,6.1,55,286.6,31.0,0.8,6.5,1.804,0.2,2.0,10.3,0.0,101,25,1.635,0.923,10.7,99.2,4.0,554,12.888
135.9,9.8,10.37,15,10.3,0.741,100.0,15,43.6,6.3,55,283.1,23.6,0.8,6.2,1.006,-2.1,2.0,1.7,1.8,101,19,2.092,1.002,14.9,99.2,13.5,1562,12.926
151.0,17.4,18.78,15,20.4,0.767,100.0,15,81.3,20.1,56,367.5,69.8,0.8,19.9,0.998,-1.7,14.7,91.8,0.0,100,54,2.181,0.999,7.1,99.2,17.4,1700,12.960
166.1,11.8,12.05,15,12.0,0.759,100.0,14,59.0,10.1,59,410.3,41.2,0.8,7.5,1.542,-2.6,2.5,3.0,0.0,101,57,3.223,0.196,11.5,99.2,10.8,1194,13.040
181.2,9.1,11.39,14,11.2,0.750,100.0,14,67.4,12.5,61,454.0,59.0,0.8,13.2,0.991,-1.9,8.4,77.9,0.0,100,65,2.200,1.005,16.2,99.2,11.2,1394,12.960
