BlueDriver Data Log
Sep 26, 2018 7:12:16 AM
Time (s),Accelerator Pedal Position E (%),Mass Air Flow Rate (g/s),Intake Air Temperature (°C),Absolute Throttle Position B (%),O2 Bank 1 - Sensor 2 - Oxygen Sensor Voltage (V),Fuel Level Input (%),Ambient Air Temperature (°C),Calculated Engine Load Value (%),Absolute Throttle Position (%),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Absolute Load Value (%),Long Term Fuel Trim Bank 1 (%),Commanded Throttle Actuator (%),Wide Range O2S: Bank 1 - Sensor 1 - Equivalence Ratio (λ),Short Term Fuel Trim Bank 1 (%),Relative Throttle Position (%),Commanded Evaporative Purge (%),Evap. System Vapor Pressure (Pa),Barometric Pressure (kPa),Vehicle Speed (km/h),Wide Range O2S: Bank 1 - Sensor 1 - Voltage (V),Commanded Equivalence Ratio (λ),Timing Advance for #1 cylinder (°),O2 Bank 1 - Sensor 2 - Short Term Fuel Trim (%),Accelerator Pedal Position D (%),Engine RPM (rpm),Control Module Voltage (V)
196.3,0.0,4.19,14,5.1,0.484,100.0,14,32.4,5.2,62,417.8,25.6,-0.1,4.9,1.829,-1.2,0.4,0.0,1.4,101,18,3.768,1.057,9.7,99.2,0.0,1209,12.921
211.4,22.4,30.11,14,29.4,0.706,100.0,14,86.8,29.6,62,458.6,75.5,0.3,29.6,1.008,-2.0,24.7,0.0,182.5,101,50,2.195,1.003,14.0,99.2,22.7,2511,12.960
226.5,19.2,26.17,14,23.3,0.722,100.0,14,80.6,24.5,66,549.0,72.7,0.8,26.2,1.001,-2.3,20.7,88.6,0.0,100,81,2.195,1.003,18.7,99.2,19.7,2422,12.880
241.6,18.8,26.49,14,22.2,0.724,100.0,14,72.2,20.0,70,588.2,69.8,0.1,22.9,1.004,-3.5,18.3,61.2,6.3,100,88,2.215,0.988,19.5,99.2,19.3,2336,13.680
256.7,20.4,27.93,12,26.2,0.754,100.0,12,78.7,25.9,73,607.7,67.3,-2.3,25.2,1.000,0.6,19.6,90.4,2.9,100,91,2.187,1.000,21.5,99.2,20.4,2562,13.729
271.8,21.1,29.89,12,27.9,0.728,100.0,12,77.8,28.0,76,624.0,68.5,-2.3,27.7,1.001,0.0,22.4,89.7,0.5,100,102,2.189,0.998,20.5,99.2,21.2,2769,13.732
286.9,17.0,22.18,12,18.9,0.744,100.0,12,71.2,19.6,78,628.0,41.8,-2.3,13.8,0.974,-2.0,10.5,94.3,26.7,99,105,2.200,0.997,20.7,99.2,18.2,2343,13.701
302.0,9.1,8.53,12,9.2,0.466,100.0,12,35.8,9.1,80,606.0,29.7,-2.2,8.4,0.998,1.9,4.9,8.7,31.9,100,92,2.193,1.021,35.8,99.2,8.9,1751,13.642
317.1,6.5,6.37,12,6.7,0.141,100.0,12,25.9,7.5,80,582.4,23.8,-3.6,7.6,0.989,1.1,3.1,10.9,9.3,101,96,2.209,0.992,36.0,99.2,6.2,1794,13.772
332.2,19.3,24.39,13,23.2,0.811,100.0,12,80.0,23.2,80,560.3,69.8,-1.6,22.7,1.008,0.1,17.6,91.6,4.9,100,109,2.160,0.999,21.0,99.2,17.6,2161,13.760
347.3,19.7,24.38,12,24.0,0.736,100.0,12,80.4,24.3,79,577.8,70.3,-1.6,24.3,1.005,1.3,20.0,91.0,1.9,100,112,2.181,1.002,15.5,99.2,19.6,2140,13.799
362.4,19.5,24.21,12,23.9,0.737,100.0,12,80.0,24.7,81,591.2,70.3,-1.6,24.5,1.002,1.3,20.1,90.7,0.0,100,113,2.188,0.998,16.6,99.2,19.3,2183,13.760
377.5,18.9,23.98,12,22.3,0.748,100.0,12,77.2,22.8,82,588.0,63.0,-1.7,18.5,0.987,-0.6,14.9,92.2,0.0,100,112,2.200,0.998,18.3,99.2,18.4,2175,13.760
392.6,15.6,17.38,12,16.5,0.740,100.0,12,61.8,16.2,83,568.0,58.1,-2.3,15.7,1.010,-2.2,8.0,73.0,5.2,99,99,2.159,0.994,20.1,99.2,15.5,1876,13.756
407.7,12.2,15.35,12,16.6,0.589,100.0,12,67.8,12.0,83,568.0,28.2,-2.3,9.3,0.970,-2.7,5.7,95.5,85.4,99,98,2.219,0.999,12.2,99.2,7.5,1824,13.760
422.8,17.1,19.87,12,19.9,0.766,100.0,12,75.3,20.0,83,555.2,60.9,-1.8,15.9,0.999,1.2,12.5,93.5,13.6,100,90,2.176,1.002,17.0,99.2,16.9,1888,13.760
437.9,13.2,13.95,12,13.7,0.708,100.0,12,57.4,13.2,83,546.9,49.0,-1.6,13.5,0.991,-1.7,9.1,52.1,59.8,100,88,2.194,1.003,21.5,99.2,13.5,1686,13.760
453.0,17.6,20.68,12,20.8,0.753,100.0,12,76.6,20.6,84,557.9,66.9,-1.6,20.4,1.007,-0.2,15.9,92.2,1.9,100,92,2.191,0.995,16.0,99.2,18.0,1935,13.760
468.1,19.2,20.89,12,22.6,0.722,100.0,12,75.2,21.1,86,566.7,59.7,-1.9,19.5,1.003,-2.7,14.5,93.1,0.0,99,92,2.210,0.998,17.6,99.2,16.6,1824,13.760
483.2,14.6,16.08,12,19.5,0.736,100.0,12,72.3,21.2,87,579.7,57.4,-2.3,15.7,0.989,-0.2,12.4,94.8,34.7,99,92,2.194,1.001,20.9,99.2,11.6,1739,13.794
498.3,0.0,4.11,12,5.1,0.264,100.0,12,21.7,4.9,87,561.9,23.6,-3.7,9.5,0.970,-0.2,5.1,37.2,0.0,100,81,2.168,0.980,11.6,99.2,0.5,1508,13.768
513.4,21.6,23.59,12,27.5,0.739,100.0,12,86.3,27.3,87,575.5,67.6,-1.1,22.2,0.989,-1.1,17.5,92.5,1.6,99,81,2.202,0.999,8.2,99.2,21.2,1901,13.754
528.5,25.2,29.69,12,32.5,0.690,100.0,12,87.8,32.7,87,610.1,76.3,-2.1,32.1,1.004,0.6,27.0,87.8,6.1,100,96,2.201,1.000,11.5,99.2,25.2,2444,13.760
543.6,7.3,10.71,13,8.7,0.464,100.0,12,28.2,7.2,87,611.4,26.6,-1.6,11.4,0.967,-5.5,7.7,93.7,35.8,99,86,2.202,1.007,20.7,99.2,14.0,1695,13.760
558.7,17.6,21.17,14,22.3,0.737,100.0,12,73.6,19.6,87,588.0,54.2,-1.8,16.4,0.984,-2.8,10.6,94.3,10.8,99,98,2.203,0.994,22.2,99.2,14.6,1912,13.664
573.8,18.3,20.54,14,21.8,0.725,100.0,12,73.8,19.9,87,580.1,60.6,-2.3,18.0,0.998,0.2,13.7,0.0,0.0,100,91,2.188,1.000,16.1,99.2,17.5,1913,13.726
588.9,1.8,4.57,14,5.1,0.186,100.0,12,20.9,5.5,87,576.0,21.5,-3.0,5.4,1.012,2.7,1.4,38.1,7.1,99,81,2.542,0.129,-7.8,99.2,0.5,1636,13.760
604.0,3.0,5.99,14,6.1,0.120,100.0,12,25.3,4.7,87,530.1,23.1,-4.2,7.7,0.941,0.6,4.9,0.3,0.0,100,63,2.591,0.562,2.7,99.2,5.1,1291,13.813
619.1,13.5,12.54,14,13.7,0.795,100.0,12,54.5,11.6,86,536.0,39.6,-1.4,9.3,0.998,-1.5,3.5,9.7,0.5,100,66,2.211,1.001,35.2,99.2,11.9,1278,13.792
634.2,15.6,18.07,14,18.8,0.736,100.0,12,74.4,17.8,87,557.6,57.2,-1.3,15.7,0.988,0.5,12.3,94.5,0.0,99,83,2.174,1.001,16.4,99.2,12.8,1750,13.760
649.3,16.3,17.85,14,19.7,0.746,100.0,12,78.8,20.7,87,533.5,67.2,-0.8,21.6,1.009,-0.1,17.1,92.2,14.7,99,84,2.166,1.004,19.4,99.2,15.7,1826,13.760
664.4,18.9,21.29,12,23.7,0.728,100.0,12,79.9,24.4,87,573.2,64.3,-1.8,20.5,0.983,0.9,19.1,91.8,0.0,99,90,2.193,1.000,13.7,99.2,20.0,2059,13.779
679.5,0.0,4.11,14,4.8,0.010,100.0,12,16.8,4.9,87,561.4,16.2,-4.7,5.2,1.547,2.2,0.8,37.8,31.6,99,92,2.720,0.652,15.2,99.2,0.0,1736,13.705
694.6,22.4,26.47,14,27.9,0.715,100.0,12,86.4,28.0,86,552.4,74.5,-1.6,27.7,1.001,2.9,23.3,89.5,1.8,99,88,2.185,1.006,11.5,99.2,22.0,2212,13.760
709.7,14.1,16.41,12,15.7,0.726,100.0,12,69.0,13.1,86,577.9,29.5,-2.3,8.0,0.971,-1.7,4.3,83.1,42.8,98,96,2.201,1.001,26.0,99.2,12.6,1811,13.760
724.8,7.9,7.55,14,7.5,0.790,100.0,12,40.6,11.5,87,548.7,49.3,-1.6,13.6,0.970,-1.8,9.7,95.0,38.9,98,89,2.163,1.003,31.8,99.2,8.6,1687,13.760
739.9,14.1,15.41,14,15.5,0.699,100.0,12,70.0,17.5,87,557.4,50.9,-2.4,15.7,1.007,0.0,13.9,83.3,0.0,99,92,2.195,0.999,15.8,99.2,16.7,1897,13.760
755.0,17.6,18.27,14,20.2,0.705,100.0,12,75.9,19.9,87,567.1,63.0,-1.6,19.7,1.000,-1.4,16.0,92.6,0.0,99,87,2.202,1.001,14.7,99.2,17.4,1806,13.781
770.1,9.8,9.31,14,5.6,0.192,100.0,12,51.6,13.3,87,568.5,54.7,-2.3,12.1,1.020,-0.3,9.7,94.9,5.0,98,97,2.239,0.989,10.0,99.2,7.5,1809,13.713
785.2,16.9,18.97,14,21.9,0.698,100.0,12,77.6,21.4,87,564.9,60.2,-2.2,16.7,0.999,0.8,13.1,93.7,0.5,99,94,2.192,0.995,16.4,99.2,17.1,1858,13.737
800.3,23.2,26.68,14,29.4,0.727,100.0,12,85.6,31.1,87,585.4,75.3,-2.0,32.2,1.003,-0.4,27.3,88.9,0.0,99,100,2.191,0.996,11.5,99.2,23.8,2290,13.760
815.4,25.4,31.49,14,34.4,0.703,100.0,12,85.5,26.7,87,604.0,77.6,-1.6,32.4,0.997,-0.8,29.3,0.0,1.3,100,111,2.202,0.997,13.0,99.2,25.7,2599,13.760
830.5,16.5,20.98,14,17.7,0.729,100.0,12,67.5,21.3,87,614.6,59.2,-1.8,20.3,1.000,1.6,13.5,93.1,33.0,98,118,2.184,0.999,20.3,99.2,17.4,2242,13.760
845.6,14.6,19.68,14,18.7,0.704,100.0,12,70.4,19.9,87,608.0,48.4,-2.1,11.3,0.999,0.3,8.0,42.2,3.8,98,116,2.778,0.609,11.5,99.2,11.5,2159,13.778
860.7,7.4,9.96,14,9.1,0.305,100.0,12,37.0,7.4,87,536.7,27.0,-4.4,9.6,1.970,0.0,6.8,0.4,13.3,99,73,2.333,0.783,5.0,99.2,10.3,1504,13.777
875.8,20.2,22.51,14,26.0,0.721,100.0,12,84.0,25.1,86,560.7,71.1,-1.6,22.6,0.995,1.2,16.8,92.6,14.0,98,94,2.223,1.002,10.7,99.2,17.8,1899,13.840
890.9,17.1,18.11,14,19.0,0.757,100.0,12,74.4,18.2,87,541.0,63.4,-1.6,17.8,0.990,0.6,14.3,83.9,0.0,98,82,2.162,1.000,15.7,99.2,17.4,1749,13.807
906.0,17.3,17.78,14,19.9,0.715,100.0,12,71.9,18.6,87,562.2,64.2,-1.6,19.4,1.008,0.2,15.0,93.0,0.0,98,88,2.191,0.995,17.0,99.2,16.7,1753,13.760
921.1,15.5,16.13,14,16.1,0.734,100.0,12,68.2,16.1,87,576.0,57.9,-1.5,17.2,0.997,0.0,13.9,94.0,2.6,98,88,2.191,1.000,17.0,99.2,16.8,1816,13.760
936.2,21.7,24.75,14,27.3,0.697,100.0,12,84.5,27.4,87,590.5,73.9,-1.6,27.3,0.997,1.3,22.5,89.5,1.9,98,88,2.196,1.011,12.3,99.2,21.8,2151,13.760
951.3,23.4,27.20,14,31.2,0.725,100.0,12,86.7,29.7,87,609.6,72.7,-1.6,25.7,1.002,1.2,20.9,90.6,8.7,98,93,2.185,0.994,17.6,99.2,21.9,2193,13.760
966.4,0.9,4.12,14,5.0,0.000,100.0,12,20.0,6.3,87,578.4,16.0,-4.7,4.7,1.178,0.0,0.4,0.0,0.0,99,93,3.556,0.000,-11.8,99.2,0.0,1702,13.759
981.5,18.1,20.73,14,22.4,0.754,100.0,12,79.0,17.6,86,564.6,63.5,-0.9,18.5,1.009,-0.8,14.6,92.1,23.1,98,86,2.193,0.994,17.7,99.2,17.5,1816,13.713
996.6,16.6,18.24,14,18.6,0.724,100.0,12,73.5,18.1,87,578.1,61.6,-0.8,18.2,0.998,-0.8,14.0,93.7,0.6,98,89,2.184,0.995,18.1,99.2,16.4,1833,13.837
1011.7,1.3,4.57,14,5.8,0.644,100.0,12,25.9,10.6,87,565.4,41.6,-2.4,11.3,0.994,-5.2,6.6,72.8,26.8,97,88,2.203,1.002,38.2,99.2,8.5,1641,13.643
1026.8,12.5,12.18,14,7.3,0.697,100.0,12,30.8,7.4,87,551.8,31.6,-1.6,8.3,0.936,-4.4,5.0,22.4,32.1,98,85,2.190,0.999,25.8,99.2,9.3,1629,13.805
1041.9,16.2,16.72,12,17.6,0.717,100.0,12,61.0,15.2,87,561.6,54.4,-1.6,17.5,0.993,-4.5,14.1,93.7,1.1,98,86,2.219,0.993,13.0,99.2,18.0,1771,13.760
1057.0,17.5,18.02,12,20.9,0.700,100.0,12,79.5,22.8,87,567.4,67.9,-1.6,22.3,0.997,0.5,17.6,92.7,3.7,98,86,2.195,0.999,16.7,99.2,16.8,1764,13.816
1072.1,15.3,14.47,13,15.0,0.741,100.0,12,44.8,9.2,87,572.5,23.9,-4.6,10.7,0.913,-4.3,10.8,95.3,53.8,98,81,2.215,1.005,18.4,99.2,15.1,1632,13.787
1087.2,22.7,26.02,12,28.8,0.717,100.0,12,86.1,28.9,87,598.8,73.7,-1.6,29.1,0.999,2.2,25.1,89.4,0.4,98,86,2.169,0.998,12.9,99.2,23.3,2224,13.776
1102.3,17.7,17.00,14,20.4,0.705,100.0,12,69.5,20.3,87,609.3,66.4,-1.6,20.3,1.012,0.0,14.5,79.1,31.2,97,83,2.151,0.998,15.0,99.2,17.8,1711,13.760
1117.4,16.4,15.55,14,19.7,0.739,100.0,12,78.6,20.4,87,615.7,66.2,-0.8,18.8,0.999,2.7,1.9,8.3,0.0,98,81,2.184,0.998,30.4,99.2,12.7,1490,13.600
1132.5,22.8,24.89,14,28.9,0.697,100.0,12,85.9,29.4,87,622.8,72.7,-1.6,28.7,0.997,1.7,24.3,89.8,6.6,97,78,2.185,1.013,12.2,99.2,23.2,2153,13.760
1147.6,0.0,4.01,14,4.7,0.000,100.0,12,18.5,7.0,87,612.7,27.0,-3.8,10.2,1.635,0.6,3.8,18.2,32.9,98,94,2.883,0.565,-4.5,99.2,0.0,1747,13.827
1162.7,0.0,4.02,14,4.7,0.000,100.0,12,12.9,4.7,86,538.5,11.0,-4.7,4.7,1.999,0.0,0.4,0.0,0.0,98,75,3.605,0.000,-12.7,99.2,0.0,1965,13.760
1177.8,0.0,3.97,14,4.7,0.000,100.0,12,12.9,4.7,84,470.9,11.0,-4.7,4.7,1.999,0.0,0.4,0.0,0.0,98,76,3.601,0.000,-12.5,99.2,0.0,2021,13.760
1192.9,0.0,3.96,14,4.7,0.000,100.0,12,12.5,4.7,84,415.7,11.0,-4.7,4.7,1.999,0.0,0.4,0.0,1.0,99,77,3.691,0.000,-12.0,99.2,0.0,2034,13.760
1208.0,0.0,3.94,14,4.7,0.000,100.0,12,12.9,4.7,84,366.0,11.0,-4.7,4.7,1.999,0.0,0.4,0.0,0.0,99,77,3.724,0.000,-12.5,99.2,0.0,2012,13.760
1223.1,0.0,3.99,14,4.7,0.000,100.0,12,12.7,4.7,84,322.5,11.0,-4.7,4.7,1.999,0.0,0.4,0.0,0.0,99,72,3.684,0.000,-12.5,99.2,0.0,1963,13.747
1238.2,0.0,4.03,14,4.7,0.000,100.0,12,12.5,4.7,84,286.8,11.0,-4.7,4.7,1.999,0.0,0.4,0.0,2.4,99,76,3.672,0.000,-12.5,99.2,0.0,2000,13.781
1253.3,1.9,4.11,14,4.5,0.053,100.0,12,13.4,4.5,84,257.0,11.3,-4.7,4.7,1.999,0.0,0.4,0.0,0.0,100,76,3.652,1.018,24.5,99.2,2.8,1948,13.760
1268.4,2.5,4.41,14,5.2,0.003,100.0,12,13.7,4.9,84,238.4,11.3,-4.7,4.7,1.684,0.0,0.4,0.0,0.0,100,88,3.758,0.000,-10.5,99.2,0.0,2157,13.707
1283.5,0.2,3.99,14,4.7,0.000,100.0,12,16.8,4.7,84,218.5,14.6,-4.7,4.7,1.999,0.0,0.4,0.0,0.0,100,80,3.653,0.000,-10.4,99.2,0.6,1526,13.760
1298.6,11.0,11.03,14,10.3,0.698,100.0,12,51.1,10.2,84,247.0,42.6,-1.6,10.1,1.003,0.8,5.7,96.5,0.0,98,81,2.208,0.524,28.6,99.2,10.8,1608,13.812
1313.7,0.0,3.90,14,4.7,0.000,100.0,12,15.4,4.7,85,291.6,13.8,-4.5,5.1,1.893,-0.1,0.9,10.9,0.0,100,87,3.271,0.320,-3.9,99.2,0.0,1630,13.800
1328.8,6.3,6.59,14,7.2,0.531,100.0,12,43.1,7.2,85,269.4,32.2,-3.8,7.8,1.744,-0.7,2.4,13.2,2.6,100,72,2.671,1.108,34.4,99.2,5.4,1346,13.841
1343.9,16.1,17.71,14,17.2,0.731,100.0,12,74.1,19.1,85,323.4,63.4,-1.0,19.0,1.001,-1.6,15.8,93.0,0.0,100,87,2.209,0.997,15.9,99.2,16.7,1801,13.664
1359.0,18.0,19.93,13,21.4,0.467,100.0,12,74.5,21.6,86,373.8,69.8,-1.6,23.3,0.992,-1.4,19.2,91.3,0.9,100,98,2.190,1.005,8.8,99.2,18.8,2008,13.760
1374.1,19.2,24.23,12,19.2,0.740,100.0,12,66.5,16.0,86,460.4,54.2,-2.1,18.1,0.999,1.7,14.7,92.3,0.0,99,116,2.179,0.999,18.5,99.2,19.1,2240,13.742
1389.2,0.0,4.15,12,4.5,0.000,100.0,12,13.1,4.9,86,455.4,11.8,-4.7,5.0,1.999,0.0,0.4,0.0,0.0,101,108,3.741,0.000,-12.5,99.2,0.0,2026,13.840
1404.3,4.0,7.92,14,6.9,0.088,100.0,12,20.5,14.0,86,441.7,59.3,-2.2,18.5,1.187,1.6,12.8,55.9,12.7,100,104,2.902,0.483,-0.2,99.2,7.3,2116,13.713
1419.4,14.2,17.57,14,14.5,0.714,100.0,12,53.0,14.2,86,473.0,43.5,-2.3,14.3,0.992,0.8,9.3,86.1,14.7,99,118,2.176,0.995,27.4,99.2,14.2,2262,13.760
1434.5,12.2,14.82,14,12.6,0.715,100.0,12,51.7,13.8,86,500.6,43.8,-2.3,13.3,1.005,1.3,8.5,92.1,1.4,99,121,2.192,0.997,29.4,99.2,12.4,2278,13.766
1449.6,18.4,24.62,14,21.7,0.704,100.0,12,74.6,20.9,86,523.3,62.6,-2.3,20.3,0.997,-0.6,16.3,91.7,0.0,100,123,2.191,1.012,18.3,99.2,18.8,2375,13.760
1464.7,22.6,29.60,14,29.0,0.704,100.0,12,84.5,29.0,86,562.7,73.9,-2.3,28.7,1.012,0.2,23.6,87.8,5.9,101,118,2.184,1.000,13.6,99.2,22.7,2522,13.811
1479.8,23.9,30.38,14,31.3,0.697,100.0,12,84.1,31.7,86,590.5,74.2,-2.3,31.4,0.995,1.6,26.3,87.8,4.6,100,111,2.190,1.004,13.6,99.2,24.4,2613,13.765
1494.9,23.2,30.71,14,31.7,0.715,100.0,12,83.7,33.3,86,611.6,73.8,-2.3,31.6,1.001,1.0,26.3,21.6,0.0,101,120,2.180,0.999,15.4,99.2,22.7,2521,13.770
1510.0,16.1,21.04,14,18.1,0.711,100.0,12,65.3,19.1,86,608.0,60.2,-2.3,18.7,1.007,-1.4,13.8,92.9,0.0,100,124,2.199,0.998,22.5,99.2,16.3,2342,13.785
1525.1,18.3,25.84,15,22.7,0.699,100.0,12,60.6,18.6,86,608.0,61.7,-2.0,21.9,0.999,-0.2,17.0,91.2,4.1,100,134,2.197,0.999,21.5,99.2,18.8,2536,13.686
1540.2,19.4,25.61,15,23.9,0.709,100.0,12,78.8,23.6,86,612.0,68.5,-1.9,23.7,0.997,-0.4,19.0,90.4,4.0,100,123,2.190,1.000,19.5,99.2,19.2,2347,13.746
1555.3,20.7,26.79,15,25.4,0.719,100.0,12,82.8,26.3,86,612.0,72.8,-1.6,26.1,1.000,0.0,21.2,89.6,3.2,100,124,2.180,1.000,15.6,99.2,20.8,2356,13.798
1570.4,16.9,23.19,15,19.9,0.707,100.0,12,71.6,19.6,86,614.4,60.6,-2.1,19.7,1.001,0.0,15.2,92.0,10.6,100,128,2.186,1.002,21.5,99.2,16.1,2445,13.760
1585.5,15.3,19.43,15,16.5,0.725,100.0,12,62.0,17.1,86,604.9,53.5,-2.3,16.9,0.998,1.6,12.2,93.3,4.8,100,120,2.187,1.001,22.8,99.2,16.0,2262,13.760
1600.6,19.2,24.42,16,23.5,0.720,100.0,12,76.8,23.8,86,604.0,68.2,-1.6,23.4,0.993,0.9,18.9,0.0,0.7,101,116,2.188,1.001,18.0,99.2,19.2,2224,13.760
1615.7,19.5,24.28,16,23.8,0.706,100.0,12,80.3,24.9,86,604.0,69.3,-1.6,24.2,0.997,1.8,20.0,90.6,1.0,100,114,2.172,1.000,15.9,99.2,19.6,2187,13.603
1630.8,22.4,29.72,16,28.7,0.710,100.0,12,83.5,29.0,86,615.2,73.0,-2.3,28.8,0.992,1.4,23.7,87.8,3.7,100,119,2.190,1.000,14.7,99.2,22.7,2517,13.813
1645.9,19.9,25.71,16,22.2,0.708,100.0,12,76.8,23.3,86,620.0,69.8,-1.6,24.7,0.996,0.1,20.2,89.5,0.0,100,124,2.189,1.000,16.6,99.2,20.8,2352,13.779
1661.0,23.4,29.42,16,30.2,0.684,100.0,12,82.7,29.7,86,618.3,73.1,-2.0,29.7,0.998,1.1,24.6,88.4,0.0,100,121,2.187,1.006,14.1,99.2,22.7,2441,13.755
1676.1,24.3,31.12,16,32.6,0.696,100.0,12,82.4,32.4,86,628.0,73.3,-2.2,30.7,1.004,-0.2,25.0,87.5,0.0,100,122,2.185,0.997,13.1,99.2,24.3,2493,13.760
1691.2,24.1,31.96,16,32.8,0.707,100.0,12,82.6,32.2,86,636.0,73.1,-2.3,29.5,0.999,0.0,25.0,87.7,0.1,100,122,2.194,0.998,15.1,99.2,24.3,2680,13.760
1706.3,23.4,29.45,16,31.1,0.700,100.0,12,85.2,31.7,86,640.0,73.1,-2.3,29.0,1.005,0.4,22.6,0.0,3.3,101,123,2.183,1.004,12.8,99.2,22.8,2389,13.692
1721.4,22.9,30.62,16,31.8,0.705,100.0,12,76.6,24.6,86,640.0,72.2,-2.3,27.9,1.000,-0.5,24.7,87.5,1.4,100,126,2.187,0.998,15.4,99.2,23.7,2713,13.799
1736.5,18.3,25.00,16,22.4,0.711,100.0,12,62.6,23.7,86,638.2,66.6,-2.0,26.6,0.998,0.3,22.0,80.1,10.6,100,136,2.204,1.002,20.1,99.2,20.4,2586,13.067
1751.6,12.2,14.05,16,12.4,0.802,100.0,12,42.7,12.1,86,600.9,41.7,-2.9,14.2,0.989,2.7,9.5,28.2,45.3,101,119,2.054,0.935,30.4,99.2,12.6,2235,12.980
1766.7,18.7,24.11,16,22.2,0.712,100.0,12,74.9,22.1,86,600.0,66.1,-0.8,22.0,0.995,0.8,18.5,80.9,24.5,100,116,2.206,0.994,16.6,99.2,19.6,2289,12.985
1781.8,12.8,16.95,16,15.9,0.691,100.0,12,67.0,19.6,86,605.2,57.7,-2.3,15.6,0.999,1.0,8.1,22.1,1.2,101,120,2.154,0.995,26.6,99.2,10.6,2254,13.040
1796.9,18.9,24.26,16,23.1,0.738,100.0,12,78.7,23.3,86,596.0,67.3,-0.8,23.5,0.999,1.6,18.9,80.4,8.0,100,120,2.179,0.996,18.1,99.2,18.7,2297,13.082
1812.0,0.0,4.01,16,4.4,0.000,100.0,12,13.8,5.5,86,558.3,16.2,-4.0,6.0,1.712,1.3,1.3,1.8,0.2,101,110,3.687,0.000,-11.9,99.2,0.0,2051,13.040
