BlueDriver Data Log
Nov 28, 2018 6:30:07 PM
Time (s),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Absolute Throttle Position B (%),Evap. System Vapor Pressure (Pa),Fuel Level Input (%),Barometric Pressure (kPa),Vehicle Speed (km/h),Absolute Load Value (%),Ambient Air Temperature (°C),Long Term Fuel Trim Bank 1 (%),Commanded Throttle Actuator (%),Timing Advance for #1 cylinder (°),Commanded Equivalence Ratio (λ),Accelerator Pedal Position E (%),Short Term Fuel Trim Bank 1 (%),Calculated Engine Load Value (%),Accelerator Pedal Position D (%),Engine RPM (rpm),Mass Air Flow Rate (g/s),Control Module Voltage (V),Relative Throttle Position (%),Intake Air Temperature (°C),Commanded Evaporative Purge (%),Absolute Throttle Position (%)
0.0,,,,,,,,,,,,,,,,,,,,,,,,
3.0,35,0.0,7.2,0.0,82.0,101,7,29.3,17,-3.9,6.7,17.5,0.999,4.2,1.3,29.6,4.1,1267,5.40,13.120,,,,
6.0,35,0.0,7.8,0.0,82.0,101,10,31.0,17,-3.9,8.0,24.4,0.998,5.1,0.1,36.1,0.8,1301,5.77,12.952,0.7,18,0.0,7.0
9.0,36,0.0,7.1,0.0,82.0,101,14,29.7,17,-3.9,6.6,5.3,0.998,1.5,2.1,34.7,0.0,1242,5.75,12.880,0.9,18,0.0,6.6
12.0,37,0.0,6.7,0.0,82.4,101,9,28.1,17,-3.9,6.4,4.5,0.998,1.2,3.9,32.1,2.0,1270,5.65,12.903,1.6,18,0.0,6.5
15.0,38,0.0,8.1,0.0,82.4,101,9,31.6,17,-3.9,8.0,11.0,0.998,4.7,2.7,34.8,5.9,1454,6.71,12.960,1.8,18,0.0,7.8
18.0,39,0.0,8.2,0.0,82.4,101,14,33.9,17,-3.9,9.5,21.2,0.997,9.2,-2.1,47.1,9.8,1668,11.30,12.966,4.5,18,0.0,9.7
21.0,39,0.0,7.4,0.0,82.5,101,20,30.3,17,-3.9,6.7,24.4,0.997,0.1,3.8,34.6,2.5,1379,7.72,12.960,2.8,17,0.0,8.6
24.0,40,0.0,6.7,0.0,82.7,101,8,27.5,17,-3.9,6.4,9.4,0.996,5.8,2.5,35.4,4.6,1262,7.29,12.926,2.8,17,1.4,7.8
27.0,41,0.0,11.7,0.0,82.7,101,12,40.4,17,-3.9,9.4,9.3,0.996,9.5,-0.6,46.0,9.0,1285,9.22,12.897,4.0,17,4.2,11.5
