BlueDriver Data Log
Aug 3, 2018 8:10:25 PM
Time (s),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Fuel Level Input (%),Barometric Pressure (kPa),Vehicle Speed (MPH),Absolute Load Value (%),Ambient Air Temperature (°C),Calculated Engine Load Value (%),Engine RPM (rpm),Relative Throttle Position (%),Control Module Voltage (V),Intake Air Temperature (°C),Absolute Throttle Position (%)
0.0,,,,,,,,,,,,,
3.1,50,8.0,86.3,101,12,24.9,15,27.8,1256,0.4,14.400,30,5.6
6.2,51,8.0,86.3,101,10,20.2,15,24.3,1149,0.3,13.660,30,5.1
9.3,52,8.0,86.3,101,4,24.8,15,31.7,928,0.0,13.518,30,5.2
12.4,52,8.0,86.3,101,0,37.2,15,47.6,948,0.7,13.279,30,5.6
15.5,53,8.0,86.4,101,6,51.4,15,58.9,1545,6.4,13.072,30,12.7
18.6,53,8.0,86.7,101,13,58.4,15,67.3,1406,7.1,12.967,29,13.3
21.7,54,8.0,86.7,101,18,41.2,14,53.2,1150,2.2,12.985,29,7.9
24.8,55,8.0,86.7,101,19,26.7,14,33.9,1195,0.7,12.990,29,5.1
27.9,56,8.0,86.7,101,16,19.6,14,23.2,1210,0.4,12.935,29,4.7
31.0,56,8.0,87.1,101,6,23.8,14,29.4,1002,0.4,12.903,29,4.8
34.1,57,8.0,87.1,101,5,33.0,14,40.2,971,0.4,12.800,29,5.8
37.2,57,8.0,87.1,101,3,36.5,14,45.8,922,0.4,12.936,29,6.2
40.3,58,8.0,87.1,101,1,35.6,14,45.9,885,0.4,13.024,29,5.9
43.4,58,12.7,87.1,101,0,33.7,14,43.3,875,0.4,12.900,29,5.5
46.5,59,19.0,87.1,101,1,34.6,14,43.6,940,0.7,12.960,29,5.5
49.6,59,31.5,87.1,101,5,34.8,14,39.7,1519,3.1,13.011,29,8.4
52.7,59,47.3,87.1,101,10,34.8,14,42.5,1244,2.8,12.960,29,7.1
55.8,60,58.1,87.1,101,15,44.9,14,54.4,1243,5.9,13.032,29,10.7
58.9,60,77.7,87.1,100,18,55.0,13,64.7,1362,7.3,12.960,29,11.7
62.0,61,102.6,87.1,99,22,54.6,13,65.7,1280,7.1,12.960,28,11.4
65.1,62,128.2,87.1,100,25,57.3,13,66.4,1300,7.1,12.960,28,12.1
68.2,63,153.7,87.1,100,28,58.8,12,69.4,1335,6.4,12.943,28,12.2
71.3,63,179.4,87.1,99,30,53.8,12,64.0,1277,5.0,12.945,27,11.5
74.4,64,200.1,87.1,99,32,50.3,12,61.4,1280,4.5,12.932,27,9.1
77.5,65,215.0,87.1,99,34,43.5,12,57.3,1251,4.0,12.939,27,9.2
80.6,65,220.0,87.1,101,34,22.4,12,26.4,1142,0.4,12.908,27,4.6
83.7,67,224.5,87.1,101,33,28.0,12,33.8,1300,0.8,12.960,27,5.7
86.8,67,232.5,87.1,99,32,41.8,12,48.7,1221,1.7,13.002,27,7.7
89.9,67,244.1,87.1,99,34,48.8,12,58.5,1270,3.3,12.880,27,9.7
93.0,67,264.4,87.1,99,35,49.5,12,59.0,1325,5.1,13.001,27,9.8
96.1,68,276.4,87.1,99,35,48.4,11,57.9,1310,5.1,12.960,26,9.5
99.2,68,288.6,87.1,99,36,46.4,11,56.2,1291,4.9,12.923,26,9.4
102.3,69,302.8,87.1,99,37,51.9,11,62.9,1297,4.8,12.884,26,10.7
105.4,69,318.5,87.1,99,37,60.1,11,72.3,1437,7.8,12.916,26,13.7
108.5,70,333.5,87.1,100,39,56.5,11,67.0,1362,7.8,12.958,26,12.7
111.6,70,344.5,87.1,101,41,52.9,11,62.6,1354,7.1,13.002,26,11.8
114.7,71,357.1,87.1,101,42,54.1,10,62.7,1392,7.5,12.960,25,11.8
117.8,71,369.5,87.1,101,42,54.9,10,64.1,1403,7.6,12.960,25,12.1
120.9,72,381.9,87.1,101,43,56.5,10,65.9,1403,7.1,12.897,25,12.9
124.0,72,393.1,87.1,101,43,50.9,10,57.6,1337,5.0,12.986,25,11.1
127.1,73,402.4,87.1,99,42,46.8,10,55.1,1316,4.3,12.892,25,9.4
130.2,74,406.0,87.1,99,42,42.5,10,51.4,1309,1.7,12.960,25,6.5
133.3,74,408.1,87.1,99,42,39.4,10,47.3,1277,3.1,12.960,25,7.5
136.4,75,414.4,87.1,99,42,46.1,10,55.0,1331,4.4,12.960,25,9.6
139.5,75,424.3,87.1,99,43,51.3,10,61.1,1370,5.3,12.915,25,10.6
142.6,75,430.6,87.1,99,43,51.2,10,61.2,1362,4.7,12.960,25,10.6
145.7,76,436.8,87.1,99,45,46.6,10,55.9,1362,5.1,12.997,25,10.5
148.8,76,442.7,87.1,99,45,44.0,9,52.5,1384,4.7,12.960,24,9.5
151.9,77,449.2,87.1,99,46,39.9,9,48.8,1385,4.4,12.960,24,8.8
155.0,77,452.0,87.1,100,45,28.7,9,31.4,1339,0.0,12.936,24,4.3
158.1,77,440.0,87.1,101,42,23.3,9,28.5,1270,0.0,12.898,24,5.7
161.2,77,440.0,87.1,100,41,26.5,9,32.1,1244,0.0,12.960,24,5.5
164.3,77,430.3,87.1,101,38,23.5,9,27.8,1249,0.3,12.903,24,5.4
167.4,77,428.0,87.1,100,37,31.3,9,37.1,1148,1.3,12.899,24,5.9
170.5,77,429.7,87.1,99,37,42.9,9,51.1,1223,4.1,12.960,24,8.7
173.6,77,435.9,87.1,99,37,31.0,9,40.2,1223,3.2,12.906,24,6.1
176.7,77,432.0,87.1,100,36,31.9,9,39.4,1128,1.9,12.960,24,6.9
179.8,77,430.4,87.1,101,31,29.2,9,34.5,1212,0.4,12.960,24,6.3
182.9,77,412.0,87.1,101,23,28.0,9,33.6,1200,0.4,12.951,24,5.7
186.0,77,400.0,87.1,101,16,25.1,9,30.0,1134,0.6,12.842,24,5.6
189.1,77,400.0,87.4,100,16,37.3,9,46.3,1173,2.4,12.960,24,6.6
192.2,77,0.5,87.5,99,19,40.2,9,48.4,1216,3.2,12.918,24,8.8
195.3,77,404.0,87.5,99,22,50.6,9,60.0,1241,5.0,12.953,24,10.5
198.4,77,412.1,87.1,99,26,58.9,9,69.9,1419,7.6,12.941,24,13.7
201.5,77,425.8,87.1,99,28,60.0,9,70.4,1490,8.9,12.976,24,14.0
204.6,77,439.8,87.1,99,30,58.2,8,68.5,1551,9.2,12.960,23,14.1
207.7,77,452.4,87.1,99,31,57.8,8,66.7,1513,9.1,12.960,23,14.1
210.8,77,468.0,87.1,100,32,61.3,8,70.2,1547,12.3,12.960,23,17.4
213.9,77,478.1,87.1,99,33,56.7,8,66.0,1602,9.4,12.960,23,14.2
217.0,78,488.8,87.1,99,35,58.5,8,68.6,1594,9.6,12.904,23,14.6
220.1,78,498.2,87.1,100,36,61.5,8,73.1,1507,9.8,12.970,23,15.2
223.2,78,508.0,87.5,99,40,55.0,8,64.7,1436,7.5,12.923,23,11.7
226.3,79,505.4,87.5,100,43,18.1,8,21.5,1304,0.4,12.958,23,4.9
229.4,79,494.6,87.5,101,44,15.7,8,17.9,1460,0.4,12.960,23,4.3
232.5,79,481.5,87.5,101,45,16.2,8,18.7,1401,0.3,13.056,23,4.3
235.6,79,469.6,87.5,101,43,22.5,8,26.4,1301,0.3,12.964,23,5.7
238.7,79,456.3,87.5,101,41,26.4,8,31.8,1244,0.4,12.838,23,5.9
241.8,79,456.0,87.5,100,41,32.8,8,38.9,1270,1.0,12.960,23,6.5
244.9,79,456.0,87.5,99,41,31.9,8,38.1,1293,1.6,12.882,23,6.3
248.0,79,456.0,87.5,99,41,30.6,8,37.0,1275,1.6,13.005,23,5.9
251.1,79,456.0,87.5,100,41,31.5,8,37.4,1272,2.1,12.960,23,5.9
254.2,79,456.6,87.5,101,41,41.9,8,49.1,1279,3.7,12.960,23,9.1
257.3,79,461.8,87.5,100,40,40.8,8,50.8,1269,3.5,12.960,23,8.5
260.4,79,461.0,87.7,101,40,29.4,8,32.3,1208,0.7,12.960,23,6.8
263.5,79,456.7,87.8,101,37,20.8,8,24.2,1225,0.6,12.960,23,5.0
266.6,79,451.5,87.8,101,20,18.0,8,21.5,1230,0.4,12.993,23,4.3
269.7,79,438.5,88.2,101,7,21.5,8,26.7,892,0.4,12.888,23,3.3
272.8,79,430.8,88.2,101,0,30.9,8,38.8,660,0.4,12.999,23,4.5
275.9,79,418.6,88.2,101,0,33.7,8,44.6,713,0.4,12.960,23,4.6
279.0,79,409.6,88.2,101,0,30.6,8,40.1,780,0.4,12.960,23,4.9
282.1,79,404.0,88.2,101,4,45.0,8,50.9,1499,6.8,12.895,23,11.0
285.2,79,409.6,88.2,101,13,54.5,8,62.2,1485,9.2,12.960,23,13.1
288.3,79,412.0,88.2,101,19,30.5,8,38.7,1165,1.9,12.960,23,3.9
291.4,79,406.6,88.2,101,18,15.3,8,19.2,966,0.4,12.960,23,4.0
294.5,79,404.0,88.2,101,17,23.5,8,28.8,1053,0.4,12.960,23,5.1
297.6,79,400.0,88.2,101,12,22.6,8,27.5,1125,0.1,12.960,23,5.1
300.7,79,396.2,88.2,101,6,22.0,8,28.5,909,0.3,12.937,23,4.2
303.8,80,389.9,88.2,101,2,22.5,8,30.0,713,0.4,12.880,23,3.2
306.9,80,384.0,88.2,101,4,36.1,8,40.9,1354,4.2,12.880,23,7.9
310.0,80,386.4,88.2,99,12,47.3,8,55.8,1499,8.2,12.956,23,11.8
313.1,80,391.7,88.2,100,18,59.4,8,71.0,1375,8.9,12.929,23,13.1
316.2,80,403.7,88.2,100,23,64.3,8,75.1,1388,10.5,12.927,23,15.3
319.3,81,416.0,88.2,100,27,64.4,7,76.7,1438,10.6,12.936,23,15.2
