BlueDriver Data Log
Dec 6, 2018 6:14:10 AM
Time (s),Accelerator Pedal Position E (%),Mass Air Flow Rate (g/s),Intake Air Temperature (°C),O2 Bank 1 - Sensor 2 - Oxygen Sensor Voltage (V),Absolute Throttle Position B (%),Fuel Level Input (%),Ambient Air Temperature (°C),Calculated Engine Load Value (%),Absolute Throttle Position (%),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Absolute Load Value (%),Long Term Fuel Trim Bank 1 (%),Commanded Throttle Actuator (%),Wide Range O2S: Bank 1 - Sensor 1 - Equivalence Ratio (λ),Short Term Fuel Trim Bank 1 (%),Relative Throttle Position (%),Commanded Evaporative Purge (%),Evap. System Vapor Pressure (Pa),Barometric Pressure (kPa),Vehicle Speed (km/h),Wide Range O2S: Bank 1 - Sensor 1 - Voltage (V),Timing Advance for #1 cylinder (°),Commanded Equivalence Ratio (λ),O2 Bank 1 - Sensor 2 - Short Term Fuel Trim (%),Engine RPM (rpm),Accelerator Pedal Position D (%),Control Module Voltage (V)
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.2,0.0,5.48,15,0.283,6.3,47.5,12,31.4,6.3,28,0.0,26.7,-2.3,6.3,0.998,1.6,1.6,0.0,1.3,101,0,2.189,5.4,0.999,99.2,1226,0.0,14.480
34.4,0.0,5.41,15,0.282,6.3,47.5,12,31.0,6.3,32,0.0,26.4,-2.3,6.3,1.001,1.9,1.6,0.0,2.6,101,0,2.183,4.1,0.999,99.2,1243,0.0,14.480
51.6,0.0,5.34,15,0.282,6.3,47.5,12,33.9,6.8,36,0.0,33.9,-6.1,6.9,0.997,0.1,1.4,0.0,0.0,101,0,2.194,2.6,0.999,99.2,1181,0.0,14.432
68.8,0.0,4.69,15,0.280,5.7,47.7,12,46.0,5.6,39,0.0,33.9,-9.4,5.7,1.005,8.3,0.7,0.0,3.9,101,2,2.197,1.1,0.999,99.2,825,0.0,13.526
86.0,1.3,5.97,15,0.294,7.2,47.7,12,50.9,7.5,40,0.0,31.7,-5.1,6.6,1.005,-0.4,0.5,0.0,0.2,101,10,2.218,12.8,0.998,99.2,1176,0.3,13.131
103.2,20.7,21.13,14,0.327,23.3,46.8,12,82.6,21.9,42,0.0,72.9,-1.3,23.4,1.012,-2.2,18.8,63.1,0.6,100,30,2.208,10.0,0.998,99.2,1936,22.1,13.680
120.4,13.6,15.49,14,0.619,8.7,46.1,12,39.3,8.0,47,100.6,32.8,-2.2,8.0,1.864,-0.4,2.0,3.7,6.6,101,56,3.331,-5.4,1.010,99.2,1470,15.7,13.698
137.6,14.5,15.99,14,0.694,15.8,47.1,12,69.5,14.6,50,-22.3,70.4,-1.6,17.9,1.015,-3.1,12.8,31.8,59.8,100,57,2.196,7.9,0.986,99.2,1604,15.4,13.763
154.8,12.1,12.44,14,0.734,12.3,47.5,12,65.4,12.1,54,314.2,53.0,-2.3,11.5,1.006,-1.5,5.8,59.1,0.0,99,64,2.208,14.2,0.990,99.2,1324,10.8,13.742
172.0,0.0,5.17,14,0.000,5.9,48.5,12,28.8,5.3,56,306.3,23.5,-2.3,5.7,1.999,0.0,0.4,0.0,0.0,101,46,3.651,-7.1,0.000,99.2,1208,0.0,13.760
189.2,19.3,20.69,14,0.705,23.0,49.2,12,85.4,23.9,56,316.0,73.9,-1.4,23.7,1.018,2.9,19.2,92.7,16.4,100,37,2.194,6.8,0.990,99.2,1870,19.7,13.760
206.4,4.4,8.57,14,0.777,10.2,47.8,12,39.3,7.3,58,423.2,38.3,-3.4,8.7,1.287,7.6,4.4,78.2,10.2,99,64,2.277,8.0,0.987,99.2,1351,12.5,13.771
223.6,23.2,28.36,13,0.722,28.8,47.3,12,82.3,31.0,59,436.0,78.7,-0.8,39.4,0.989,0.6,34.7,87.7,0.0,100,51,2.216,12.2,0.997,99.2,2659,26.4,13.657
240.8,20.6,22.93,12,0.751,25.0,45.3,12,83.0,25.9,63,529.9,72.9,-0.8,26.3,0.999,3.1,20.8,91.4,6.7,100,78,2.179,12.9,1.002,99.2,2007,20.8,13.811
258.0,23.8,27.09,12,0.735,31.3,45.8,12,84.6,30.3,68,579.5,73.0,-0.8,30.0,1.002,2.2,25.7,90.7,0.9,100,85,2.190,13.8,0.998,99.2,2288,23.7,13.760
275.2,24.0,27.76,12,0.712,32.9,43.9,12,85.9,33.3,72,614.8,74.1,-0.8,32.9,1.006,0.7,28.5,60.0,1.1,100,91,2.189,12.3,0.997,99.2,2347,24.3,13.760
292.4,23.9,29.35,12,0.702,31.0,45.1,12,87.0,31.2,77,635.8,74.4,-1.6,31.1,1.003,1.6,25.9,88.2,4.1,100,99,2.184,13.3,0.998,99.2,2455,24.1,13.760
309.6,22.7,27.75,12,0.725,28.5,44.7,12,86.7,28.9,78,639.4,74.0,-0.8,28.4,1.001,2.8,23.8,89.5,0.0,99,101,2.175,13.9,0.999,99.2,2380,22.8,13.785
326.8,19.1,22.60,12,0.772,25.0,44.7,12,82.6,25.9,81,636.0,70.3,-0.8,25.3,0.998,4.3,20.5,91.4,4.8,99,108,2.191,19.0,0.991,99.2,2110,19.0,13.650
344.0,22.6,29.68,12,0.721,29.9,45.8,12,84.3,29.6,81,610.9,73.1,-1.3,28.8,0.990,1.9,23.7,87.8,0.0,99,123,2.193,15.1,1.003,99.2,2527,22.6,13.695
361.2,19.2,24.21,12,0.729,22.7,47.1,12,76.1,22.7,83,617.5,67.5,-0.8,23.1,0.997,4.3,18.8,91.4,4.9,99,119,2.196,18.5,1.000,99.2,2248,19.5,13.831
378.4,16.9,21.22,12,0.759,17.2,44.8,12,61.7,18.3,84,614.0,58.5,-1.8,19.6,1.001,3.8,14.7,66.7,15.0,99,114,2.202,20.8,0.997,99.2,2174,16.6,13.760
395.6,19.0,22.66,12,0.719,19.7,45.0,12,62.5,18.4,85,600.0,61.2,-2.4,20.5,0.998,1.1,18.0,92.4,0.0,99,104,2.155,15.9,1.010,99.2,2019,19.8,13.625
412.8,4.6,5.91,12,0.261,7.1,46.7,12,43.7,15.7,86,599.7,51.7,-3.0,14.3,1.006,1.6,12.9,83.6,0.0,99,104,2.191,23.4,0.989,99.2,1964,6.8,13.716
430.0,20.6,23.95,12,0.716,25.8,45.6,12,84.1,23.7,86,592.6,62.8,-3.1,14.0,1.001,2.3,10.6,93.6,10.1,99,100,2.169,12.1,1.008,99.2,1988,20.2,13.712
447.2,13.7,15.43,12,0.743,14.4,45.0,12,61.6,17.5,86,592.0,59.5,-0.8,21.2,0.987,0.8,17.5,92.3,0.0,99,100,2.182,16.9,1.000,99.2,1991,16.5,13.696
464.4,21.0,23.72,12,0.696,25.5,44.7,12,77.1,25.3,86,602.6,74.7,-0.8,30.6,1.002,-0.3,23.3,89.2,0.0,99,103,2.175,20.6,0.996,99.2,1980,18.6,13.760
481.6,21.6,22.33,12,0.695,25.9,46.2,12,78.0,25.6,86,609.8,75.4,-0.8,30.9,0.994,0.7,27.2,89.1,1.9,99,102,2.196,9.7,1.000,99.2,1940,22.3,13.760
498.8,14.1,16.10,12,0.705,20.0,45.9,12,78.2,23.0,87,612.0,62.7,-1.4,20.2,0.997,1.8,18.8,83.8,0.0,99,102,2.191,10.2,0.999,99.2,2162,22.4,13.760
516.0,23.7,26.20,12,0.727,30.2,44.5,12,87.6,31.8,87,612.6,74.3,-0.8,31.1,1.000,1.6,27.8,82.1,0.0,99,96,2.199,12.5,1.006,99.2,2237,22.6,13.760
533.2,18.3,18.68,12,0.749,21.3,44.3,12,74.1,11.0,87,616.0,50.4,-2.3,17.6,0.978,-3.3,17.6,93.1,0.7,99,84,2.213,12.9,0.993,99.2,1953,15.9,11.397
550.4,9.2,9.28,12,0.561,9.9,44.7,12,39.0,10.3,87,593.4,28.2,-4.2,9.2,1.775,-0.6,4.8,13.6,0.0,100,92,3.624,-13.0,1.063,99.2,1731,10.7,13.811
