BlueDriver Data Log
Dec 15, 2018 4:23:54 PM
Time (s),Accelerator Pedal Position E (%),Mass Air Flow Rate (g/s),Intake Air Temperature (°C),O2 Bank 1 - Sensor 2 - Oxygen Sensor Voltage (V),Absolute Throttle Position B (%),Fuel Level Input (%),Ambient Air Temperature (°C),Calculated Engine Load Value (%),Absolute Throttle Position (%),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Absolute Load Value (%),Long Term Fuel Trim Bank 1 (%),Commanded Throttle Actuator (%),Wide Range O2S: Bank 1 - Sensor 1 - Equivalence Ratio (λ),Short Term Fuel Trim Bank 1 (%),Relative Throttle Position (%),Commanded Evaporative Purge (%),Evap. System Vapor Pressure (Pa),Barometric Pressure (kPa),Vehicle Speed (km/h),Wide Range O2S: Bank 1 - Sensor 1 - Voltage (V),Timing Advance for #1 cylinder (°),Commanded Equivalence Ratio (λ),O2 Bank 1 - Sensor 2 - Short Term Fuel Trim (%),Engine RPM (rpm),Accelerator Pedal Position D (%),Control Module Voltage (V)
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.2,0.0,3.14,28,0.260,4.9,,,,,,,,,,,,,,,,,,,,,,,
34.4,13.7,14.13,26,0.573,13.8,72.2,11,58.8,14.1,86,312.6,65.9,-0.8,20.8,0.996,0.1,17.0,81.3,5.6,100,60,2.183,16.7,0.996,99.2,1761,15.7,14.204
51.6,0.0,2.71,26,0.348,3.4,72.9,11,20.8,3.4,86,323.7,19.7,-7.8,3.5,0.928,5.9,1.2,0.0,0.0,101,10,2.228,-4.0,0.604,99.2,836,0.0,14.274
68.8,4.8,6.60,26,0.710,10.0,72.9,11,32.3,6.1,86,332.2,15.1,-2.3,3.9,1.000,6.2,2.4,8.5,7.7,101,25,2.184,7.9,0.984,99.2,1145,4.4,14.279
86.0,46.6,59.82,22,0.893,55.6,71.4,8,94.2,50.3,86,464.5,89.4,6.9,56.1,0.910,-6.7,39.4,16.5,0.0,101,76,2.136,16.0,1.010,99.2,3590,48.3,14.278
103.2,24.4,27.72,21,0.490,37.6,71.5,6,82.1,41.7,87,550.6,62.1,-0.6,21.4,0.982,1.3,19.0,7.3,0.0,101,103,1.966,21.6,0.989,99.2,2762,30.7,14.320
120.4,42.4,42.06,21,0.856,54.3,71.7,5,85.6,59.0,87,564.0,43.9,1.6,14.2,0.987,-1.8,12.9,2.0,2.0,101,99,2.095,30.3,0.997,99.2,2654,37.0,14.320
137.6,9.0,11.48,21,0.582,13.6,71.0,5,55.4,19.7,87,568.0,63.9,0.7,20.2,1.006,-1.6,16.9,87.8,3.2,100,102,2.236,30.8,0.990,99.2,1908,15.4,14.320
154.8,17.0,19.38,21,0.684,22.4,70.5,5,77.1,22.5,87,580.5,65.8,0.7,22.3,0.997,0.8,17.9,60.9,0.0,100,106,2.157,18.9,1.004,99.2,1996,16.0,14.289
