BlueDriver Data Log
Oct 15, 2018 7:03:39 PM
Time (s),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Absolute Throttle Position B (%),Evap. System Vapor Pressure (Pa),Fuel Level Input (%),Barometric Pressure (kPa),Vehicle Speed (km/h),Absolute Load Value (%),Ambient Air Temperature (°C),Long Term Fuel Trim Bank 1 (%),Commanded Throttle Actuator (%),Commanded Equivalence Ratio (λ),Timing Advance for #1 cylinder (°),Accelerator Pedal Position E (%),Short Term Fuel Trim Bank 1 (%),Calculated Engine Load Value (%),Accelerator Pedal Position D (%),Engine RPM (rpm),Mass Air Flow Rate (g/s),Relative Throttle Position (%),Control Module Voltage (V),Intake Air Temperature (°C),Commanded Evaporative Purge (%),Absolute Throttle Position (%)
0.0,,,,,,,,,,,,,,,,,,,,,,,,
3.0,29,0.0,5.0,,,,,,,,,,,,,,,,,,,,,
6.0,30,0.0,4.8,,89.6,102,0,27.5,23,-5.5,5.0,0.999,6.0,0.0,5.3,35.3,0.0,860,3.93,1.2,14.476,,,
9.0,30,0.0,4.7,0.0,89.8,102,0,27.5,23,-5.5,4.7,0.999,6.0,0.0,4.9,35.3,0.0,853,3.89,1.0,14.434,23,0.0,4.7
12.0,31,0.0,4.8,0.0,90.0,102,0,27.5,23,-5.5,4.7,0.999,5.8,0.0,4.9,35.3,0.0,850,3.87,0.9,14.408,23,0.0,4.7
15.0,31,0.0,4.7,0.0,90.2,102,0,27.5,23,-5.5,4.7,0.999,5.5,0.0,5.5,35.3,0.0,852,3.91,1.2,14.480,23,0.0,4.7
18.0,32,0.0,4.7,0.0,90.2,102,0,27.5,23,-5.5,4.7,0.999,5.5,0.0,5.8,35.3,0.0,854,3.91,1.2,14.442,23,0.0,4.7
21.0,32,0.0,4.7,0.0,90.2,102,1,27.8,23,-3.2,5.7,0.999,13.0,1.6,5.1,34.8,0.0,911,4.10,1.2,14.322,23,0.0,4.7
24.0,33,0.0,5.5,0.0,90.2,102,4,27.8,23,-0.5,6.9,0.999,30.7,5.8,1.6,32.9,0.0,1227,5.61,0.4,14.404,23,0.0,5.5
27.0,33,0.0,6.3,0.0,90.2,102,8,26.8,23,-2.3,5.9,0.999,38.3,4.6,-0.3,30.2,3.1,1388,5.78,0.6,14.356,23,0.0,6.1
30.0,34,0.0,6.5,0.0,90.2,102,10,28.2,23,-2.3,6.2,0.998,41.0,4.4,-1.3,30.4,4.3,1430,6.23,1.0,14.378,23,0.0,6.8
33.0,35,0.0,9.4,0.0,90.5,102,13,34.3,23,-2.3,8.4,0.998,32.4,5.6,-0.6,34.6,5.5,1447,7.45,1.6,14.323,23,0.0,8.1
36.0,36,0.0,7.5,0.0,90.6,102,17,31.9,23,-2.3,8.6,0.998,16.9,5.3,0.6,38.4,6.2,1509,8.80,2.6,13.675,23,0.0,7.1
39.0,37,0.0,6.5,0.0,90.8,102,17,26.9,23,-2.3,6.9,0.998,7.4,0.6,0.1,31.9,0.0,1335,5.78,1.6,13.458,23,0.0,6.5
42.0,37,0.0,7.5,0.0,91.0,102,11,28.2,23,-2.3,7.8,0.997,37.1,7.7,1.7,37.3,6.7,1570,8.44,2.8,13.247,23,0.0,8.0
45.0,38,0.0,9.9,0.0,91.0,102,16,36.0,23,-2.3,9.4,0.997,29.4,2.6,2.6,33.9,3.8,1622,7.97,2.1,13.054,23,0.0,8.8
48.0,39,0.0,6.7,0.0,91.0,102,19,28.6,22,-2.3,7.5,0.996,14.0,0.0,1.2,31.3,0.0,1463,6.06,0.8,12.960,23,0.0,6.3
51.0,40,0.0,6.4,0.0,91.0,102,20,26.4,21,-2.3,6.3,0.996,4.0,0.0,0.2,31.1,0.0,1255,5.66,1.6,12.960,23,0.0,6.3
54.0,40,0.0,6.3,0.0,91.0,102,14,30.2,21,-3.3,6.3,0.996,1.8,0.0,1.7,34.0,0.0,1215,5.56,1.6,12.970,21,0.0,6.3
57.0,40,0.0,6.0,0.0,91.0,102,4,34.2,21,-5.5,6.1,0.996,-8.0,0.0,-3.1,49.3,0.0,875,5.45,1.6,12.960,21,0.0,6.1
60.0,41,0.0,7.1,0.0,91.0,102,1,32.0,21,-5.5,5.1,0.999,10.0,0.0,4.4,37.6,0.0,883,4.47,0.9,13.004,21,0.2,6.7
63.0,42,0.0,12.6,1.7,91.0,102,6,49.3,21,-2.9,12.0,0.997,13.8,10.5,1.2,53.1,9.4,1398,10.90,4.5,13.009,21,6.4,10.4
66.0,43,0.0,18.3,53.7,91.0,101,23,66.3,21,-2.3,19.0,0.996,11.5,17.5,-1.9,72.6,17.2,1788,18.37,11.8,12.960,21,21.6,17.0
69.0,43,0.0,9.8,17.3,91.0,102,33,46.3,21,-2.3,14.3,0.996,10.1,13.1,-1.9,66.5,14.3,1656,16.96,14.8,12.960,21,31.7,14.9
