BlueDriver Data Log
Dec 11, 2018 6:10:11 PM
Time (s),Accelerator Pedal Position E (%),Mass Air Flow Rate (g/s),Intake Air Temperature (°C),O2 Bank 1 - Sensor 2 - Oxygen Sensor Voltage (V),Absolute Throttle Position B (%),Fuel Level Input (%),Ambient Air Temperature (°C),Calculated Engine Load Value (%),Absolute Throttle Position (%),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Absolute Load Value (%),Long Term Fuel Trim Bank 1 (%),Commanded Throttle Actuator (%),Wide Range O2S: Bank 1 - Sensor 1 - Equivalence Ratio (λ),Short Term Fuel Trim Bank 1 (%),Relative Throttle Position (%),Commanded Evaporative Purge (%),Evap. System Vapor Pressure (Pa),Barometric Pressure (kPa),Vehicle Speed (km/h),Wide Range O2S: Bank 1 - Sensor 1 - Voltage (V),Timing Advance for #1 cylinder (°),Commanded Equivalence Ratio (λ),O2 Bank 1 - Sensor 2 - Short Term Fuel Trim (%),Engine RPM (rpm),Accelerator Pedal Position D (%),Control Module Voltage (V)
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.2,0.0,6.17,18,0.275,7.1,69.8,18,42.6,6.9,37,0.0,33.5,-7.4,6.4,1.002,0.1,1.6,0.0,2.0,102,1,2.204,2.2,0.999,99.2,1177,0.0,13.073
34.4,0.0,4.65,18,0.285,5.2,69.4,18,27.1,5.4,41,0.0,23.7,-2.3,5.9,0.995,1.9,1.1,0.0,2.2,102,13,2.187,5.5,0.998,99.2,1204,0.0,12.961
51.6,0.4,5.12,18,0.280,5.6,69.4,18,26.7,6.5,43,0.0,30.6,-2.3,8.2,0.998,-1.0,2.0,1.9,3.3,102,14,2.193,21.3,0.996,99.2,1377,1.5,12.960
68.8,0.0,5.62,17,0.314,6.5,69.8,17,31.5,6.7,46,0.0,25.8,-2.3,6.9,1.002,1.3,1.7,6.8,25.6,101,18,2.157,20.3,0.996,99.2,1308,1.0,12.960
86.0,11.5,12.79,17,0.285,11.2,70.6,17,53.7,10.1,49,0.0,42.1,-7.3,5.6,0.993,3.8,5.6,7.1,12.4,102,8,1.997,17.8,0.996,99.2,1846,13.4,12.953
103.2,0.0,5.36,17,0.293,6.0,70.5,17,42.0,6.1,52,0.0,33.3,-5.3,6.2,0.999,-0.2,0.4,0.0,0.0,102,5,2.219,7.0,0.999,99.2,879,0.0,12.960
120.4,21.5,22.16,17,0.397,25.0,68.7,17,84.3,24.9,55,0.0,74.1,-1.6,24.7,1.006,1.7,19.9,91.4,14.0,101,37,2.197,7.8,0.996,99.2,1844,21.6,12.880
137.6,0.0,5.24,17,0.622,5.6,68.1,17,25.8,5.3,59,0.0,21.4,-4.5,5.4,1.608,-1.9,0.4,0.0,0.0,102,31,3.291,-5.0,0.098,99.2,1059,0.0,12.802
154.8,0.0,3.33,17,0.624,4.3,69.3,17,33.4,4.3,59,13.8,26.8,-10.2,4.6,0.997,4.7,0.4,0.1,0.0,102,0,2.221,3.9,0.999,99.2,753,0.0,12.960
172.0,1.6,5.48,17,0.777,6.0,68.6,17,31.2,5.3,60,93.6,22.2,-4.0,5.3,0.979,-0.5,0.4,0.0,0.0,102,36,2.188,15.2,0.996,99.2,1378,0.0,12.960
189.2,0.0,3.07,17,0.725,4.0,70.2,17,32.9,4.1,61,104.0,25.5,-10.2,4.1,1.002,6.8,0.4,0.0,5.2,102,0,2.196,2.6,0.999,99.2,736,0.0,12.800
206.4,0.0,2.66,18,0.667,3.6,70.2,17,29.1,3.6,62,104.0,22.4,-10.2,3.7,0.990,6.9,0.4,0.0,1.8,102,0,2.190,12.2,0.999,99.2,711,0.0,12.882
223.6,0.0,3.99,18,0.647,5.0,69.9,17,39.2,4.6,62,100.0,27.9,-10.2,4.5,0.998,7.0,0.4,0.0,0.0,102,0,2.195,11.1,0.999,99.2,800,0.0,12.817
240.8,17.7,18.52,18,0.689,18.3,69.8,17,79.4,18.3,62,132.3,67.5,-1.7,18.7,1.011,-0.6,14.1,49.1,22.8,101,27,2.203,15.4,0.995,99.2,1741,17.2,12.932
258.0,13.6,16.69,17,0.601,20.4,68.6,17,79.2,22.3,66,312.5,57.8,-2.9,8.6,0.946,-1.9,5.1,10.0,6.3,101,75,2.066,3.8,0.500,99.2,1593,11.0,12.960
275.2,7.6,7.07,17,0.840,15.3,69.8,17,71.8,17.7,68,307.0,52.5,-3.1,14.8,1.037,-1.9,8.8,9.5,0.0,102,33,2.110,9.7,0.918,99.2,1146,5.0,12.960
292.4,21.2,24.07,17,0.704,27.3,67.9,17,84.2,28.2,70,425.8,74.1,-1.1,27.5,1.002,1.2,23.1,52.4,5.3,101,75,2.195,12.7,1.000,99.2,2066,21.4,12.960
309.6,20.0,23.22,17,0.691,23.9,67.5,17,80.1,24.2,73,516.6,70.2,1.6,23.9,1.001,-1.6,19.9,86.6,2.9,101,96,2.178,15.1,0.998,99.2,2065,20.0,12.880
326.8,21.0,25.40,17,0.710,26.0,67.5,17,81.0,25.3,77,559.6,71.9,1.6,23.8,1.000,0.1,19.9,82.9,0.0,101,102,2.187,14.7,1.000,99.2,2207,21.1,12.887
344.0,21.2,26.07,17,0.729,26.3,67.2,17,81.4,26.1,79,585.8,71.4,1.6,26.1,1.002,-0.5,21.6,88.5,2.9,101,112,2.184,16.0,0.996,99.2,2287,21.2,12.960
361.2,22.7,28.21,17,0.714,29.0,67.1,17,83.1,29.0,82,598.8,73.7,1.4,28.5,0.992,-1.6,23.6,84.7,7.3,101,114,2.186,13.3,1.002,99.2,2437,22.7,12.960
378.4,20.3,24.79,17,0.703,24.9,67.1,17,78.2,24.9,84,609.2,69.2,1.6,24.8,1.008,0.0,20.5,89.5,0.5,101,114,2.199,16.4,0.998,99.2,2198,20.4,12.960
395.6,7.3,10.09,17,0.465,10.6,67.6,17,29.3,8.7,86,596.0,25.5,-2.9,11.2,0.892,4.5,12.2,7.2,3.9,101,107,2.093,23.2,1.007,99.2,2066,13.4,12.960
412.8,14.8,17.63,17,0.630,17.4,67.8,17,65.7,20.1,86,604.0,64.3,1.3,21.0,1.006,-2.3,13.7,1.3,0.0,101,112,2.210,32.3,1.003,99.2,2149,14.3,12.910
430.0,7.6,7.01,17,0.753,7.5,68.2,17,24.3,7.6,86,574.8,21.2,-3.1,7.5,1.010,-2.2,3.9,9.3,0.0,101,106,2.272,37.1,0.994,99.2,1993,7.1,12.960
447.2,13.6,15.08,17,0.757,12.9,68.8,17,57.8,14.9,85,540.9,49.9,-0.8,13.8,1.000,0.7,9.8,19.9,1.8,101,102,2.165,26.1,0.998,99.2,1952,13.6,12.880
464.4,15.0,16.44,16,0.677,13.1,68.6,16,51.4,12.8,85,536.4,39.3,-0.8,10.9,1.004,-0.2,8.7,31.3,0.0,101,93,2.150,23.7,1.003,99.2,1832,15.5,12.916
481.6,21.6,27.26,15,0.696,26.9,67.8,15,82.6,27.5,85,578.9,72.7,1.6,27.4,0.997,0.7,23.1,89.0,0.0,101,97,2.174,12.6,1.005,99.2,2327,22.4,12.960
498.8,13.0,14.93,15,0.685,15.5,67.8,15,60.9,17.5,87,592.0,49.6,-0.8,15.9,0.991,-1.9,13.2,69.3,7.7,101,108,2.194,20.0,0.997,99.2,2032,14.2,12.894
516.0,18.0,20.74,15,0.758,21.9,68.2,15,78.1,22.1,87,572.0,69.7,1.6,22.5,0.999,-1.5,13.4,26.1,0.0,101,100,2.210,24.9,0.991,99.2,1901,17.0,12.810
533.2,17.6,20.53,15,0.701,20.6,67.9,15,74.8,20.6,87,575.7,66.0,1.6,20.8,1.003,-1.6,17.0,90.4,5.3,100,96,2.198,15.9,1.003,99.2,1957,17.8,12.960
