BlueDriver Data Log
Sep 8, 2018 7:20:01 PM
Time (s),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Fuel Level Input (%),Barometric Pressure (kPa),Vehicle Speed (MPH),Absolute Load Value (%),Ambient Air Temperature (°C),Calculated Engine Load Value (%),Engine RPM (rpm),Relative Throttle Position (%),Control Module Voltage (V),Intake Air Temperature (°C),Absolute Throttle Position (%)
0.0,,,,,,,,,,,,,
3.1,58,12.0,69.8,101,0,23.5,21,30.6,885,0.4,14.314,36,4.3
6.2,58,12.0,69.8,101,0,29.4,21,36.6,959,0.4,14.185,36,5.0
9.3,59,12.0,69.8,101,0,34.5,21,44.7,812,0.4,14.019,36,5.5
12.4,59,12.0,69.8,101,0,33.7,21,43.6,812,0.4,14.160,36,5.5
15.5,60,12.0,69.8,101,0,36.6,21,46.2,882,0.5,14.304,36,5.9
18.6,60,12.0,69.7,101,3,43.1,21,53.0,1342,4.8,14.289,35,9.7
21.7,61,12.0,69.4,101,9,55.4,20,65.4,1749,8.3,14.320,35,13.5
24.8,61,12.0,69.0,101,17,57.2,20,67.8,1342,4.7,14.320,35,10.5
27.9,62,12.0,69.0,101,19,27.7,19,34.3,1283,3.4,13.580,35,9.0
31.0,62,12.0,69.1,101,17,21.2,19,24.0,1089,0.4,13.520,34,5.4
34.1,63,12.0,69.4,101,10,29.6,19,33.1,1190,0.4,13.332,34,6.1
37.2,64,12.0,69.4,101,10,35.5,19,39.2,1361,1.6,13.124,34,8.4
40.3,64,12.0,69.8,101,11,27.9,19,35.1,1258,1.3,12.960,34,6.7
43.4,65,12.0,69.8,101,10,28.6,18,33.8,1214,0.4,12.960,33,6.7
46.5,65,17.7,69.8,101,9,22.7,18,27.8,1231,0.4,12.960,33,5.5
49.6,67,26.9,69.8,101,9,23.4,18,27.6,1224,0.6,12.957,33,5.1
52.7,67,37.5,69.4,101,9,32.7,18,37.6,1490,3.5,12.924,33,7.6
55.8,67,53.3,69.4,101,12,31.2,18,37.1,1452,3.4,12.960,33,7.6
58.9,68,64.7,69.4,101,11,27.3,18,31.9,1217,0.4,12.919,33,6.2
62.0,68,72.0,69.4,101,10,28.0,18,34.4,1181,0.4,12.951,33,6.4
65.1,69,84.1,69.4,101,9,39.6,18,42.0,1595,3.7,12.905,33,9.2
68.2,69,98.6,69.2,101,14,41.6,17,48.7,1404,5.8,12.955,32,10.7
71.3,69,113.2,69.0,101,16,36.8,17,47.5,1086,2.0,12.970,32,6.6
74.4,70,124.3,69.0,101,18,39.7,17,47.3,1152,2.4,12.951,32,8.0
77.5,70,133.4,69.0,101,19,26.3,17,36.1,1142,0.8,12.806,32,7.3
80.6,71,142.8,69.0,101,19,25.0,17,30.3,1292,0.4,12.949,32,5.9
83.7,71,149.1,69.0,101,17,22.0,15,25.6,1255,0.4,12.880,32,5.3
86.8,71,152.0,69.3,101,7,25.5,15,30.6,1031,0.8,12.960,30,5.5
89.9,72,168.4,69.2,101,7,63.3,15,71.4,2091,13.4,12.887,30,17.8
93.0,72,192.5,68.6,101,17,61.2,14,69.9,1871,11.1,12.960,30,17.8
96.1,73,206.5,68.6,101,20,27.0,14,29.1,1478,0.8,12.881,29,7.0
99.2,74,208.9,68.6,101,20,21.3,14,24.4,1331,0.6,12.960,29,5.7
102.3,75,212.0,68.8,101,19,18.3,14,22.2,1197,0.4,12.960,29,4.7
105.4,75,216.0,69.4,101,13,24.6,14,28.9,1150,0.4,12.914,29,4.4
108.5,75,212.9,69.7,101,4,29.7,14,38.8,675,0.4,12.871,29,4.7
111.6,75,217.7,69.8,101,4,50.9,14,57.3,1555,6.1,12.901,29,12.0
114.7,76,230.2,69.4,101,12,56.9,14,67.6,1598,10.5,12.887,29,17.1
117.8,76,245.1,69.4,101,19,44.2,14,52.9,1550,4.2,12.905,29,10.4
120.9,76,248.0,69.7,101,20,28.9,14,32.3,1148,2.7,13.038,29,7.4
124.0,77,252.0,69.4,101,19,16.7,14,22.9,1118,1.6,12.819,29,4.6
127.1,77,252.0,69.8,101,19,25.2,14,29.4,1222,0.4,12.881,29,5.9
130.2,77,252.0,70.1,101,9,29.1,14,35.7,1055,0.4,12.943,29,5.2
133.3,77,251.2,70.2,101,2,25.3,14,33.3,820,0.4,12.849,29,4.2
136.4,78,248.0,70.2,101,0,23.5,14,30.3,718,0.4,12.956,29,3.6
139.5,78,244.0,70.6,101,0,22.9,14,32.6,692,3.2,12.960,29,4.7
142.6,78,248.9,70.2,101,7,51.8,14,58.9,1720,10.6,12.881,29,14.1
145.7,78,256.5,69.8,101,14,27.3,14,36.6,1358,2.0,12.960,29,6.0
148.8,78,260.0,69.8,101,13,22.9,14,26.5,1178,0.4,12.960,29,5.7
151.9,78,260.0,70.2,101,6,27.5,14,33.2,1175,0.4,12.995,29,5.9
155.0,78,260.0,70.5,101,1,34.3,14,44.0,884,0.4,12.880,29,5.9
158.1,79,254.6,70.6,101,0,33.7,14,44.8,862,0.4,12.880,29,5.1
161.2,79,252.0,70.6,101,0,25.9,14,34.1,837,0.4,12.854,29,4.2
164.3,79,248.0,70.8,101,1,27.3,14,33.3,738,0.8,12.867,29,7.9
167.4,79,252.7,70.6,101,8,43.6,14,52.9,1578,8.4,12.828,29,11.8
