BlueDriver Data Log
Aug 21, 2018 7:27:47 AM
Time (s),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Fuel Level Input (%),Barometric Pressure (kPa),Vehicle Speed (MPH),Absolute Load Value (%),Ambient Air Temperature (°C),Calculated Engine Load Value (%),Engine RPM (rpm),Relative Throttle Position (%),Control Module Voltage (V),Intake Air Temperature (°C),Absolute Throttle Position (%)
0.0,,,,,,,,,,,,,
3.1,38,4.0,,,,,,,,,,,
6.2,39,4.0,,170,,33.2,19,40.6,1312,0.8,13.759,,
9.3,39,4.0,100.0,101,7,27.6,19,32.3,1265,1.2,13.711,21,6.3
12.4,40,4.0,100.0,101,7,28.7,19,34.4,1200,1.2,13.728,20,6.7
15.5,41,4.0,100.0,101,7,25.3,19,31.8,1262,1.3,13.644,20,6.1
18.6,41,4.0,100.0,101,8,36.9,19,39.6,1641,2.7,13.413,20,9.0
21.7,42,4.0,100.0,101,13,36.2,19,43.0,1404,2.1,13.238,20,9.0
24.8,43,8.8,100.0,101,15,33.9,19,39.9,1298,0.8,13.043,20,7.5
27.9,43,28.9,100.0,101,17,38.8,19,44.9,1287,1.6,13.050,20,8.2
31.0,44,40.9,100.0,101,19,24.7,19,27.7,1395,0.4,13.037,20,6.1
34.1,44,48.5,100.0,101,17,21.2,19,25.4,1208,0.4,13.040,20,5.1
37.2,45,54.7,100.0,101,11,22.3,19,26.6,1127,0.4,13.136,20,5.1
40.3,45,60.0,100.0,101,5,28.1,19,34.8,939,0.0,12.988,20,5.1
43.4,46,71.4,100.0,101,5,50.9,19,58.2,1761,8.2,12.961,20,12.7
46.5,46,91.3,100.0,101,13,55.5,19,62.3,1461,7.5,13.040,20,11.8
49.6,47,107.2,100.0,101,17,32.4,19,40.0,1065,0.6,13.023,20,6.2
52.7,48,113.5,100.0,101,16,21.3,19,24.7,1194,0.0,13.022,20,5.1
55.8,48,119.7,100.0,101,8,33.0,19,39.9,1396,2.9,12.906,20,5.6
58.9,49,135.0,100.0,101,11,53.7,19,61.2,1999,8.9,12.938,20,13.9
62.0,49,155.0,100.0,101,17,61.7,19,71.4,1417,8.8,13.100,20,14.4
65.1,50,178.6,100.0,101,21,58.8,19,68.2,1268,7.0,13.040,20,12.8
68.2,51,195.2,100.0,101,24,57.8,19,68.3,1286,6.6,13.064,20,11.5
71.3,52,213.4,100.0,101,26,47.8,19,55.5,1194,3.7,13.326,20,9.4
74.4,53,223.0,100.0,101,27,31.4,19,39.8,1102,0.4,13.541,20,6.0
77.5,53,220.0,100.0,101,26,21.4,19,25.4,1196,0.4,13.737,20,5.1
80.6,54,220.0,100.0,101,25,21.6,19,26.4,1169,0.6,13.732,20,5.0
