BlueDriver Data Log
Sep 21, 2018 3:12:10 PM
Time (s),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Absolute Throttle Position B (%),Evap. System Vapor Pressure (Pa),Fuel Level Input (%),Barometric Pressure (kPa),Vehicle Speed (MPH),Absolute Load Value (%),Ambient Air Temperature (°C),Long Term Fuel Trim Bank 1 (%),Commanded Throttle Actuator (%),Commanded Equivalence Ratio (λ),Timing Advance for #1 cylinder (°),Accelerator Pedal Position E (%),Short Term Fuel Trim Bank 1 (%),Calculated Engine Load Value (%),Accelerator Pedal Position D (%),Engine RPM (rpm),Mass Air Flow Rate (g/s),Relative Throttle Position (%),Control Module Voltage (V),Intake Air Temperature (°C),Commanded Evaporative Purge (%),Absolute Throttle Position (%)
0.0,,,,,,,,,,,,,,,,,,,,,,,,
2.8,88,110.6,14.5,0.0,100.0,101,21,56.9,20,-2.3,13.4,0.996,15.2,12.6,0.4,63.8,12.5,1324,11.53,9.5,13.452,,,
5.6,88,131.2,13.4,0.0,100.0,101,24,53.7,20,-2.2,12.7,0.996,15.3,13.7,1.5,67.4,13.5,1377,12.47,10.7,13.085,36,0.0,12.9
8.4,88,150.6,9.9,0.0,100.0,101,27,38.1,20,-1.6,6.0,0.996,36.8,7.8,1.0,41.2,5.1,1246,7.18,5.7,12.960,36,0.0,9.7
11.2,88,159.9,3.9,0.0,100.0,101,26,18.3,20,-2.7,4.4,0.371,11.7,2.8,0.4,22.8,0.0,1154,2.99,0.8,12.978,35,0.0,3.8
14.0,88,151.4,3.6,0.0,100.0,101,20,14.1,20,-3.1,3.9,0.000,-12.3,0.0,0.0,16.8,0.0,1155,2.89,0.9,13.049,35,0.0,4.0
16.8,88,156.0,3.3,0.0,100.0,101,13,15.2,20,-4.3,3.8,0.164,-11.9,0.0,-0.2,18.5,0.1,1079,3.06,0.8,13.040,35,0.0,3.5
19.6,88,155.0,3.1,0.0,100.0,101,5,18.1,20,-8.5,3.7,0.996,2.6,0.7,-8.1,25.3,0.0,817,2.60,0.8,13.001,35,0.0,3.3
22.4,88,151.4,3.2,0.0,100.0,101,1,20.3,20,-9.1,3.2,0.997,1.2,0.0,-7.6,28.0,0.0,658,2.39,0.8,12.944,35,0.0,3.1
25.2,88,152.0,3.1,0.0,100.0,101,0,20.8,20,-9.4,3.1,0.998,1.4,0.0,-5.6,27.0,0.0,649,2.30,0.8,12.881,35,0.0,3.3
28.0,88,150.2,3.1,0.0,100.0,101,0,20.2,20,-9.5,3.1,0.998,3.8,0.0,-3.1,27.0,0.2,651,2.52,1.1,12.842,35,0.0,3.1
