BlueDriver Data Log
Aug 6, 2018 6:57:54 AM
Time (s),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Fuel Level Input (%),Barometric Pressure (kPa),Vehicle Speed (MPH),Absolute Load Value (%),Ambient Air Temperature (°C),Calculated Engine Load Value (%),Engine RPM (rpm),Relative Throttle Position (%),Control Module Voltage (V),Intake Air Temperature (°C),Absolute Throttle Position (%)
0.0,,,,,,,,,,,,,
3.1,,186.3,87.3,101,,,,,,,,,
6.2,,184.6,87.4,101,,,,17.8,817,0.4,13.551,17,4.7
9.3,52,184.0,87.5,101,0,27.3,16,35.9,821,0.4,13.680,17,4.3
12.4,52,181.6,87.5,101,0,26.0,16,33.9,809,0.4,13.654,17,4.1
15.5,52,178.5,87.5,101,0,25.0,16,32.8,797,0.4,13.680,17,3.9
18.6,53,176.0,87.5,101,0,24.3,16,32.1,750,0.4,13.601,17,3.9
21.7,53,173.2,87.5,101,1,36.0,16,40.9,1108,2.4,13.834,17,5.6
24.8,53,182.5,87.5,100,8,45.7,16,53.7,1563,5.9,13.760,17,11.4
27.9,53,197.6,87.5,100,15,62.1,16,71.9,1378,8.6,13.760,17,13.7
31.0,54,216.7,87.1,100,21,65.1,16,75.7,1497,9.9,13.702,17,14.7
34.1,54,239.6,87.1,99,25,61.6,16,73.8,1430,8.3,13.760,17,12.7
37.2,55,248.6,87.1,99,26,43.1,16,53.5,1257,3.8,13.760,17,6.9
40.3,56,256.8,87.1,98,26,40.5,16,49.3,1187,2.7,13.760,17,7.1
43.4,56,264.5,87.1,98,27,38.6,16,45.4,1169,1.2,13.760,17,6.2
46.5,57,264.0,87.1,100,25,18.8,16,22.4,1246,0.4,13.622,17,4.6
49.6,57,256.3,87.1,101,22,18.8,16,22.8,1206,0.4,13.378,17,4.7
52.7,58,253.2,87.1,101,19,24.6,16,34.6,1118,6.2,13.144,17,9.0
55.8,58,261.2,87.1,101,23,24.3,16,25.5,1299,2.7,13.048,17,8.3
58.9,58,267.9,86.7,99,26,43.2,16,50.7,1280,3.9,13.040,17,8.5
62.0,58,277.9,87.1,99,29,36.2,16,46.0,1223,1.4,13.040,17,5.2
65.1,59,280.0,87.1,101,29,29.9,16,35.3,1197,2.3,13.040,17,6.0
68.2,59,290.2,87.1,101,30,43.7,16,55.0,1284,6.3,13.040,17,9.9
71.3,59,301.8,87.1,100,32,40.4,16,47.8,1237,2.9,12.974,17,7.6
74.4,59,308.0,87.1,99,32,27.1,16,38.6,1140,1.5,13.040,17,4.8
77.5,60,310.0,87.1,100,33,33.0,16,40.8,1087,1.1,13.040,17,5.4
80.6,60,312.0,87.1,99,34,37.5,16,44.7,1196,2.6,13.031,17,6.6
83.7,61,319.0,87.1,99,34,46.7,16,55.7,1286,4.7,12.960,17,8.3
86.8,61,329.8,87.1,99,35,49.4,16,59.9,1334,5.9,12.983,17,10.1
89.9,61,341.6,87.1,99,36,48.3,16,60.2,1350,5.9,13.043,17,9.7
93.0,61,350.1,87.1,99,36,45.3,16,55.5,1332,5.4,13.040,17,9.3
96.1,62,362.6,87.1,99,36,36.7,16,43.8,1253,4.1,13.040,17,8.6
99.2,63,366.7,87.1,100,37,35.1,16,44.7,1136,2.0,13.041,17,5.6
102.3,63,368.0,87.1,99,36,30.9,16,39.6,1107,1.6,13.109,17,6.1
105.4,64,371.7,87.1,99,35,33.4,16,41.2,1141,1.8,13.040,17,6.0
108.5,64,377.1,87.1,98,35,37.4,16,45.0,1193,2.4,13.040,17,6.7
111.6,65,380.0,87.1,98,35,37.2,16,45.7,1200,2.4,12.960,17,6.7
114.7,2,385.4,87.1,99,35,34.8,16,43.3,1151,2.1,12.960,17,5.5
117.8,37,388.0,87.1,99,34,32.4,16,40.2,1102,1.6,12.960,17,5.5
120.9,65,388.0,87.1,99,34,32.4,16,40.5,1157,1.9,12.960,17,5.5
124.0,66,393.4,87.1,99,34,36.9,16,45.5,1197,2.6,12.960,17,6.5
127.1,67,396.0,87.1,99,34,34.7,16,42.6,1158,1.6,13.027,17,6.0
130.2,67,400.0,87.1,99,32,32.2,16,39.4,1130,1.3,12.960,17,4.8
133.3,67,396.6,87.1,100,32,21.2,16,23.4,1210,0.5,13.018,17,4.6
136.4,67,394.5,87.1,100,29,34.3,16,42.0,1170,2.6,12.961,17,6.4
139.5,67,396.0,87.1,100,28,29.5,16,38.7,1216,0.4,13.043,17,5.1
142.6,67,391.2,87.1,101,25,18.2,16,21.4,1216,0.4,13.040,17,4.3
145.7,68,380.8,87.1,101,17,25.0,16,23.1,1099,0.4,13.040,17,5.1
148.8,68,380.3,87.3,101,14,67.4,16,79.8,1421,12.9,12.968,17,13.6
151.9,68,391.1,87.2,100,21,64.8,16,76.4,1522,11.9,12.983,17,16.3
155.0,68,402.7,87.1,99,25,58.0,16,63.1,1349,6.1,12.958,17,10.9
158.1,68,409.2,87.5,99,27,37.9,16,46.6,1243,3.0,12.973,17,7.1
