BlueDriver Data Log
Aug 3, 2018 10:47:53 AM
Time (s),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Fuel Level Input (%),Barometric Pressure (kPa),Vehicle Speed (MPH),Absolute Load Value (%),Ambient Air Temperature (°C),Calculated Engine Load Value (%),Engine RPM (rpm),Relative Throttle Position (%),Control Module Voltage (V),Intake Air Temperature (°C),Absolute Throttle Position (%)
0.0,,,,,,,,,,,,,
3.1,29,27.4,92.7,101,3,40.4,21,48.2,1243,1.5,13.231,23,7.9
6.2,30,42.3,92.5,101,8,43.1,21,50.4,1290,2.1,12.960,23,9.0
9.3,31,56.0,92.5,101,12,36.8,21,42.1,1475,0.8,13.018,23,8.4
12.4,32,67.6,92.5,101,8,32.8,21,38.6,1190,0.8,13.081,23,7.2
15.5,32,79.3,92.3,101,6,44.7,21,52.4,1872,5.5,12.870,23,11.3
18.6,34,102.7,92.5,101,13,58.9,21,67.8,1833,9.5,12.960,23,16.0
21.7,35,129.7,92.5,101,20,58.9,21,66.0,1762,9.5,12.960,23,14.7
24.8,36,157.7,92.2,101,24,54.2,21,61.6,1589,6.7,12.960,23,13.0
27.9,37,177.4,92.2,101,26,48.8,21,60.0,1354,4.2,12.960,23,10.8
31.0,39,194.1,92.2,101,27,30.6,21,35.1,1421,0.9,13.040,23,7.8
34.1,39,205.4,92.2,101,26,31.4,21,36.4,1319,1.2,12.995,23,7.1
37.2,41,214.7,92.2,101,24,29.8,21,35.4,1306,1.1,12.960,23,7.1
40.3,41,220.4,92.2,101,21,26.8,21,31.5,1234,0.4,12.960,23,5.9
43.4,42,224.0,92.2,101,13,25.5,21,31.3,1183,0.4,12.960,23,5.3
46.5,42,224.0,92.2,101,5,27.5,21,34.2,986,0.4,12.941,23,5.1
49.6,43,224.0,92.2,101,0,33.9,21,42.2,858,0.1,12.880,23,6.3
52.7,43,220.0,92.2,101,0,39.1,21,48.4,865,0.4,12.977,23,5.5
55.8,44,220.0,92.2,101,0,35.7,21,46.0,837,0.4,12.890,23,5.5
58.9,44,216.0,92.2,101,0,34.5,21,44.8,848,0.4,12.903,23,5.5
62.0,45,216.0,91.9,101,2,42.4,21,50.0,1112,2.0,12.896,23,7.9
65.1,45,227.9,92.2,101,10,57.5,21,67.4,1506,7.4,13.003,23,13.9
68.2,46,242.3,92.2,101,16,66.8,21,76.8,1486,10.1,13.025,23,16.0
