BlueDriver Data Log
Sep 5, 2018 7:06:05 AM
Time (s),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Fuel Level Input (%),Barometric Pressure (kPa),Vehicle Speed (MPH),Absolute Load Value (%),Ambient Air Temperature (°C),Calculated Engine Load Value (%),Engine RPM (rpm),Relative Throttle Position (%),Control Module Voltage (V),Intake Air Temperature (°C),Absolute Throttle Position (%)
0.0,,,,,,,,,,,,,
3.1,78,580.0,78.4,100,46,68.4,16,78.5,1636,15.5,12.960,16,20.0
6.2,78,585.0,78.4,100,46,72.2,16,81.6,1908,19.7,12.960,16,23.7
9.3,78,592.1,78.4,100,48,75.4,16,86.9,2056,23.8,12.960,16,27.5
12.4,78,603.3,78.0,100,51,81.2,16,93.1,2499,34.3,12.960,16,39.7
15.5,79,609.7,78.0,100,54,74.5,16,83.6,2750,28.3,12.922,16,34.1
18.6,80,616.0,78.0,100,56,72.1,16,83.8,2013,22.8,12.960,16,27.0
21.7,81,618.9,78.0,99,57,65.5,16,76.5,1867,16.8,12.817,16,20.5
24.8,81,616.7,78.0,99,57,27.8,16,18.3,1707,3.6,12.960,16,11.5
27.9,81,611.9,78.4,99,57,46.5,16,42.5,1718,6.1,12.960,16,13.5
31.0,81,602.0,78.4,100,56,19.5,16,43.3,1718,3.7,12.960,16,7.2
34.1,82,595.8,78.4,99,57,49.6,16,40.3,1735,8.4,12.960,16,12.5
37.2,82,589.5,78.2,100,58,37.4,16,16.8,1817,16.9,12.960,16,8.9
40.3,82,580.0,78.0,101,61,12.3,16,14.4,1852,15.3,12.953,16,4.8
43.4,82,568.4,78.0,101,61,11.8,16,13.3,1863,0.4,12.905,16,4.7
46.5,82,554.5,78.1,101,61,11.8,16,13.3,1885,0.4,12.960,16,4.7
49.6,82,542.4,78.4,101,60,28.9,16,26.8,1922,1.2,12.960,16,14.8
52.7,82,543.9,78.4,100,60,77.6,16,89.1,2142,24.7,12.960,16,28.8
55.8,82,555.7,78.4,100,62,77.6,16,88.9,2473,26.8,12.960,16,31.6
58.9,82,566.4,78.4,100,65,77.6,16,88.6,2579,28.3,12.960,16,33.6
62.0,82,574.9,78.4,100,67,77.4,16,88.3,2601,30.0,12.837,16,35.0
65.1,82,582.2,78.6,100,68,77.8,16,87.5,2615,30.1,12.935,16,35.4
68.2,82,589.0,78.4,100,68,76.2,16,87.2,2616,29.1,12.960,16,34.4
71.3,84,596.0,78.6,100,69,72.0,16,84.7,2281,22.1,12.960,16,28.6
74.4,84,600.0,78.8,99,69,64.4,16,75.9,2243,17.1,12.905,16,14.5
77.5,84,595.9,78.5,99,68,55.2,16,63.8,2070,11.6,12.732,16,14.9
80.6,85,596.0,78.4,100,67,65.8,16,77.2,2061,18.2,12.960,16,21.8
83.7,85,599.7,78.4,100,67,71.0,16,80.1,2112,20.0,12.960,16,23.6
86.8,86,600.0,78.1,100,68,70.9,16,80.4,2149,21.2,12.960,16,24.6
89.9,86,601.7,78.0,100,68,61.3,16,71.8,2146,18.4,13.034,16,25.0
93.0,87,604.0,78.0,100,68,36.1,16,33.8,2057,4.4,12.960,16,14.6
96.1,87,601.8,78.0,99,67,41.2,16,41.4,2038,8.5,12.814,16,16.1
99.2,87,600.0,78.0,100,67,70.2,16,80.2,2133,19.2,12.948,16,23.5
102.3,87,600.0,78.0,100,67,45.8,16,61.7,2068,16.9,12.906,16,22.6
105.4,87,600.0,78.0,99,66,54.7,16,60.9,2002,8.8,13.035,16,12.2
108.5,87,596.6,77.7,99,64,46.9,16,48.5,1929,7.3,12.947,16,12.3
111.6,87,596.0,77.6,100,63,64.9,16,76.3,1970,14.6,12.936,16,20.4
114.7,87,596.0,77.4,99,63,49.2,16,50.7,1905,10.3,12.960,16,8.0
117.8,87,596.0,77.3,99,63,70.9,16,82.1,2031,19.7,12.960,16,22.6
120.9,87,599.6,77.5,100,64,71.7,16,82.3,2184,21.4,12.960,16,25.6
124.0,87,601.8,77.6,100,65,72.3,16,82.5,2254,22.4,12.960,16,26.6
127.1,87,608.0,78.0,100,66,72.9,16,83.4,2325,22.4,12.907,16,26.7
130.2,87,609.9,78.0,100,67,72.4,16,82.9,2324,21.7,12.960,16,26.2
133.3,87,612.0,78.0,100,67,64.3,16,74.3,2109,17.5,12.960,16,21.3
136.4,87,607.0,77.6,100,66,19.4,16,17.2,1961,0.4,12.960,16,6.8
139.5,87,596.0,77.6,100,63,61.6,16,61.3,1929,10.7,12.960,16,15.7
142.6,87,598.9,77.6,100,63,75.7,16,87.1,2158,24.5,12.880,16,28.4
145.7,87,605.2,77.3,100,65,75.2,16,87.2,2489,25.3,12.934,16,30.4
148.8,87,608.0,77.0,100,66,72.2,16,81.8,2234,22.5,13.030,16,26.8
151.9,87,612.0,76.9,100,67,64.4,16,76.1,2099,17.3,12.909,16,19.8
155.0,87,609.7,76.9,99,66,40.7,16,51.6,2014,9.9,12.960,16,14.3
158.1,87,604.0,77.3,98,65,41.5,16,50.0,1975,7.8,12.960,16,9.8
161.2,87,602.2,77.1,100,64,35.7,16,44.1,1936,8.0,12.960,16,13.1
164.3,87,596.0,77.3,101,62,25.6,16,32.6,1892,4.9,12.960,16,8.5
167.4,87,592.0,77.3,101,61,37.9,16,42.6,1839,6.9,13.038,16,11.8
170.5,87,592.0,77.3,100,61,70.7,16,78.5,1929,14.7,12.921,16,20.7
173.6,87,592.0,77.1,99,61,64.3,16,68.5,1852,7.2,12.959,16,14.3
176.7,87,592.0,77.3,99,61,64.2,16,74.2,1872,15.1,12.840,16,19.2
179.8,87,594.6,77.3,99,61,49.0,16,58.9,1880,14.1,12.960,16,18.1
182.9,87,592.0,77.3,99,60,58.4,16,62.1,1802,8.6,12.972,16,13.3
