BlueDriver Data Log
Aug 1, 2018 12:21:34 PM
Time (s),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Fuel Level Input (%),Barometric Pressure (kPa),Vehicle Speed (MPH),Absolute Load Value (%),Ambient Air Temperature (°C),Calculated Engine Load Value (%),Engine RPM (rpm),Relative Throttle Position (%),Control Module Voltage (V),Intake Air Temperature (°C),Absolute Throttle Position (%)
0.0,,,,,,,,,,,,,
3.1,46,20.0,89.4,101,0,24.4,19,30.1,1120,0.4,14.363,34,5.5
6.2,47,20.0,89.4,101,0,30.6,19,37.9,956,0.0,13.680,34,6.2
9.3,47,20.0,89.4,101,1,32.9,19,42.9,808,0.4,13.640,34,5.1
12.4,48,20.0,89.6,101,2,32.7,19,42.6,812,0.4,13.600,34,5.1
15.5,48,20.0,89.4,101,1,35.0,19,45.2,828,0.2,13.668,34,5.2
18.6,49,20.0,89.4,101,1,32.9,19,45.4,799,0.0,13.621,35,5.2
21.7,49,20.0,89.4,101,0,35.4,19,45.3,833,0.2,13.695,35,5.6
24.8,50,20.0,89.4,101,3,28.0,19,35.1,1074,0.4,13.450,35,5.6
27.9,50,24.0,89.4,101,7,39.8,19,44.2,1573,5.3,13.173,35,11.9
31.0,51,48.7,89.4,101,12,51.9,19,60.5,1410,5.1,13.031,35,11.6
34.1,52,68.0,89.4,101,16,37.5,19,43.2,1289,1.7,13.008,35,8.6
37.2,53,80.0,89.8,101,15,28.3,19,32.2,1222,0.4,13.103,35,5.8
40.3,53,87.7,89.8,101,8,28.1,19,35.2,1039,0.0,13.013,35,5.7
43.4,54,100.4,89.8,101,7,57.0,19,64.6,1923,11.8,13.039,35,14.4
46.5,55,132.1,89.4,101,16,66.0,19,74.1,1863,12.1,13.072,34,18.2
49.6,56,156.5,89.4,101,22,61.3,19,69.5,1612,9.0,13.047,34,13.9
52.7,56,180.1,89.4,101,26,48.2,19,54.0,1387,5.5,13.007,34,12.2
55.8,58,194.2,89.4,101,27,36.8,19,35.2,1214,0.5,12.960,33,6.7
58.9,58,197.0,89.4,101,25,24.2,18,28.8,1266,0.0,13.076,33,5.5
62.0,59,206.0,89.4,101,21,23.8,18,28.3,1212,0.4,13.050,33,5.5
65.1,59,208.0,89.8,101,11,25.8,18,30.8,1138,0.0,13.040,33,5.5
68.2,60,213.0,89.8,101,4,39.1,18,43.3,1158,6.8,13.040,33,11.8
71.3,60,223.6,89.8,101,11,58.1,18,64.7,1749,9.1,13.070,33,14.5
74.4,61,240.2,89.5,101,18,63.0,18,73.5,1512,9.8,13.063,33,14.7
77.5,62,258.3,89.5,101,23,59.6,18,69.5,1377,8.0,12.919,33,13.3
80.6,62,270.5,89.8,100,26,35.3,18,40.2,1248,1.7,13.040,33,8.9
83.7,63,279.3,89.8,99,26,33.6,18,39.8,1214,1.2,13.040,33,6.3
86.8,64,290.9,89.8,99,27,51.2,18,59.9,1302,4.8,12.943,33,10.4
89.9,65,305.8,89.5,101,30,55.8,18,65.1,1350,6.7,13.037,33,12.1
93.0,65,321.1,89.4,101,32,54.8,17,63.9,1350,7.0,13.009,32,11.8
96.1,66,333.1,89.4,100,34,52.9,17,62.7,1329,5.5,12.974,32,11.0
99.2,67,342.9,89.4,100,36,51.2,17,61.2,1313,5.2,13.040,32,10.4
102.3,68,355.4,89.4,99,37,50.3,17,60.5,1319,5.2,13.040,32,10.5
105.4,68,365.7,89.4,100,39,27.4,17,27.9,1158,2.2,13.071,32,9.3
108.5,69,371.4,89.4,99,39,46.8,17,55.3,1281,4.0,13.010,32,9.4
111.6,69,382.0,89.5,99,39,49.4,17,57.8,1312,4.0,12.880,32,9.8
114.7,70,391.0,89.8,100,40,39.0,16,50.3,1293,3.8,13.113,32,10.2
117.8,70,396.0,89.8,101,40,39.9,15,46.3,1250,0.9,13.040,30,7.4
120.9,70,391.1,89.8,101,37,27.5,15,32.3,1229,0.0,13.038,30,6.0
124.0,71,380.4,89.8,101,35,28.8,15,33.1,1248,0.0,12.997,30,6.6
127.1,71,384.0,89.8,101,35,37.6,15,44.6,1196,1.6,13.040,30,7.5
130.2,71,388.9,89.7,101,35,33.2,15,37.6,1194,1.0,13.086,30,7.7
133.3,71,392.0,89.6,101,35,23.9,15,28.5,1215,1.2,13.047,30,6.1
136.4,71,388.0,89.8,101,34,20.4,15,25.7,1220,1.3,12.880,30,5.6
139.5,72,391.3,89.8,101,32,49.9,15,61.2,1260,4.8,13.040,30,10.6
142.6,72,403.6,89.8,101,34,59.0,15,69.5,1383,7.9,13.040,30,13.6
145.7,72,418.4,89.8,101,35,59.9,15,69.3,1408,8.1,13.040,30,13.7
148.8,72,429.1,89.8,101,36,55.7,14,66.0,1334,6.2,12.884,29,12.0
151.9,73,438.2,89.8,100,37,54.7,14,65.7,1312,5.1,13.028,29,11.0
155.0,74,445.4,89.8,99,37,41.4,14,54.7,1162,2.5,13.015,29,7.8
158.1,75,440.4,89.8,101,36,29.6,14,34.9,1174,0.0,13.040,29,6.3
161.2,75,430.9,89.8,101,32,28.0,14,34.1,1165,0.9,13.040,29,5.7
164.3,75,428.0,89.8,100,30,26.3,14,32.3,1050,0.0,12.972,29,4.7
167.4,75,426.4,89.8,101,29,20.8,14,27.8,1196,0.0,12.989,29,4.8
170.5,75,413.9,89.8,101,24,27.4,14,31.8,1201,0.0,13.029,29,6.2
173.6,75,404.0,89.8,101,16,26.7,14,31.8,1223,0.0,13.007,29,6.1
176.7,75,401.4,89.8,101,7,32.8,14,41.1,993,0.0,12.962,29,5.9
179.8,75,396.3,89.8,101,0,37.1,14,46.8,882,0.1,12.960,29,5.9
182.9,75,387.2,89.7,101,0,35.3,14,45.2,872,0.1,12.912,29,5.5
186.0,75,384.0,89.7,101,2,37.3,14,46.5,1278,3.4,13.106,29,9.1
189.1,75,385.2,89.7,101,8,50.5,14,58.0,1405,5.5,13.040,29,11.0
192.2,75,388.0,89.4,101,15,58.2,14,66.6,1377,7.5,13.040,29,12.9
195.3,75,393.1,89.4,100,19,45.3,14,54.8,1200,3.4,12.989,29,9.4
198.4,75,396.0,89.4,100,20,28.8,14,37.1,1089,1.2,13.037,29,4.5
201.5,75,387.5,89.4,101,18,15.3,14,19.0,1128,0.4,13.040,29,3.5
204.6,75,384.0,89.8,101,14,27.5,14,29.3,1238,0.3,12.893,29,4.5
207.7,75,380.0,89.8,101,9,25.1,14,30.9,1053,0.3,12.991,29,5.3
210.8,75,374.5,89.8,101,3,31.6,14,41.2,835,0.4,12.887,29,5.4
213.9,75,367.1,90.2,101,0,32.9,14,43.0,853,0.4,12.914,29,5.5
217.0,75,361.2,90.2,101,0,32.6,14,42.1,837,0.4,12.880,29,5.2
220.1,76,355.3,90.2,101,0,31.5,14,41.0,846,0.6,12.925,29,5.8
223.2,76,352.0,90.2,101,5,41.6,14,48.6,1457,4.3,13.034,29,9.2
226.3,76,356.0,90.2,100,12,49.3,14,57.8,1420,5.6,13.082,29,11.0
229.4,76,360.7,90.6,100,16,56.5,14,66.9,1323,7.1,13.040,29,12.4
232.5,76,368.6,90.6,100,19,55.0,14,65.7,1269,5.9,13.003,29,10.4
235.6,77,372.0,90.6,100,20,36.9,14,43.8,1128,2.3,13.110,29,7.4
238.7,77,376.0,90.7,100,21,38.5,14,46.4,1147,1.3,12.951,29,6.2
241.8,78,373.6,91.0,101,21,20.4,14,31.3,1116,0.8,12.956,29,4.9
244.9,78,372.0,91.0,101,19,24.9,14,28.6,1247,0.0,13.040,29,5.5
248.0,78,372.0,91.0,101,18,24.5,14,29.2,1223,0.0,13.040,29,5.5
251.1,78,371.9,91.0,101,13,25.8,14,31.5,1142,0.0,13.040,29,5.4
254.2,78,368.0,91.0,101,6,33.4,14,43.7,1069,5.5,13.040,29,9.7
257.3,78,371.5,91.0,100,11,47.8,14,54.2,1887,7.4,13.025,29,12.5
260.4,78,381.2,91.0,100,16,48.0,14,51.2,1548,4.5,13.012,29,9.7
263.5,78,384.0,91.0,100,18,23.8,14,33.3,1301,0.1,12.971,29,4.4
266.6,79,378.5,91.0,101,17,16.6,14,21.8,963,0.4,13.040,29,3.5
269.7,79,372.5,91.0,101,11,21.4,14,28.3,931,0.4,12.973,29,4.7
272.8,79,368.0,91.0,101,4,46.3,14,51.5,1487,4.3,13.040,29,8.7
275.9,79,375.1,91.0,100,11,52.3,14,60.4,1612,6.8,13.040,29,12.2
279.0,79,380.0,91.0,100,16,36.1,14,41.8,1409,1.8,12.981,29,8.6
282.1,80,380.0,91.0,101,16,25.0,14,32.1,1100,0.3,13.040,29,5.5
285.2,81,376.0,91.0,101,16,24.3,14,29.0,1214,0.0,12.987,29,5.5
288.3,81,376.0,91.0,101,15,24.9,14,29.4,1217,0.1,13.039,29,5.5
291.4,81,376.0,91.0,101,16,23.7,14,29.5,1181,0.8,13.094,29,5.4
294.5,81,371.0,91.0,101,16,17.2,14,21.9,1097,0.3,12.989,29,3.7
297.6,81,365.3,91.0,101,13,16.2,14,23.5,1036,0.4,12.963,29,4.1
300.7,81,364.0,91.0,100,12,25.8,14,30.5,1235,0.8,13.040,29,5.9
303.8,81,364.0,91.0,100,13,23.9,14,27.0,1200,0.0,12.969,29,5.4
306.9,81,359.9,91.0,101,6,28.7,14,35.9,970,0.0,12.982,29,5.1
310.0,81,353.9,91.0,101,2,32.2,14,41.7,838,0.0,13.019,29,5.1
313.1,81,347.5,91.0,101,0,34.2,14,42.3,863,0.0,13.076,29,5.3
316.2,81,344.0,91.0,101,1,33.7,14,42.3,937,0.0,13.392,29,5.3
319.3,81,339.7,91.0,101,0,35.7,14,46.1,866,0.0,13.553,29,5.5
322.4,81,333.7,91.0,101,0,37.0,14,46.3,955,1.2,13.680,29,5.8
325.5,81,331.5,91.0,101,0,29.7,14,42.9,850,0.0,13.677,29,5.5
328.6,81,325.5,91.0,101,0,34.5,14,44.8,847,0.0,13.600,29,5.5
331.7,81,320.0,91.0,101,1,32.6,14,43.7,854,0.2,13.564,29,5.8
334.8,81,317.4,91.0,101,1,32.5,14,41.1,847,0.0,13.820,29,5.5
337.9,82,311.1,91.0,101,0,24.1,14,31.6,791,0.0,13.646,29,3.7
341.0,82,305.2,91.0,101,0,27.2,14,34.2,733,0.0,13.524,29,3.5
344.1,82,299.4,91.0,101,0,25.3,14,34.4,838,0.2,13.562,29,3.5
347.2,82,296.0,91.0,101,0,10.3,14,94.0,301,0.0,13.103,30,0.7
350.3,82,292.2,91.0,101,0,0.0,14,0.0,0,5.4,12.933,30,6.3
353.4,82,292.0,91.0,101,0,0.0,14,0.0,0,1.6,12.880,30,6.3
356.5,82,292.0,91.0,101,0,0.0,14,0.0,0,1.6,12.880,30,6.3
359.6,82,292.0,91.0,101,0,1.6,12.904,30,6.3
362.7,82,288.6,91.0,101,0,1.6,12.892,30,6.3
365.8,82,290.9,91.0,101,0,1.6,12.880,30,6.3
368.9,82,292.0,91.0,101,0,30,6.3
