BlueDriver Data Log
Oct 11, 2018 4:45:20 PM
Time (s),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Absolute Throttle Position B (%),Evap. System Vapor Pressure (Pa),Fuel Level Input (%),Barometric Pressure (kPa),Vehicle Speed (km/h),Absolute Load Value (%),Ambient Air Temperature (°C),Long Term Fuel Trim Bank 1 (%),Commanded Throttle Actuator (%),Commanded Equivalence Ratio (λ),Timing Advance for #1 cylinder (°),Accelerator Pedal Position E (%),Short Term Fuel Trim Bank 1 (%),Calculated Engine Load Value (%),Accelerator Pedal Position D (%),Engine RPM (rpm),Mass Air Flow Rate (g/s),Relative Throttle Position (%),Control Module Voltage (V),Intake Air Temperature (°C),Commanded Evaporative Purge (%),Absolute Throttle Position (%)
0.0,,,,,,,,,,,,,,,,,,,,,,,,
3.0,38,0.0,9.1,0.0,49.8,101,14,29.7,24,-1.6,7.9,0.998,29.7,6.3,-1.8,36.0,7.4,1616,9.85,4.3,,,,
6.0,39,0.0,8.4,0.0,49.9,101,18,31.6,24,-1.6,7.9,0.998,24.8,0.9,-0.1,32.8,0.8,1569,6.56,1.6,13.029,24,0.0,8.2
9.0,40,0.0,5.6,0.0,50.2,101,16,20.7,24,-1.6,6.1,0.997,8.2,0.3,-2.0,31.1,5.6,1389,8.83,3.5,13.040,24,0.0,7.8
12.0,41,0.0,12.5,0.0,50.5,101,17,35.5,24,-1.6,7.5,0.997,12.4,3.2,-2.6,34.0,9.4,1293,11.31,6.3,13.033,24,0.0,12.9
15.0,42,0.0,9.4,0.0,50.6,101,20,37.3,24,-1.6,8.1,0.997,22.2,7.3,-1.7,42.3,8.1,1512,9.38,3.1,12.962,24,0.0,8.6
18.0,42,0.0,6.0,0.0,50.7,101,24,20.4,24,-1.6,5.5,0.996,12.6,0.3,-3.8,23.3,0.6,1311,5.83,1.4,12.960,24,0.0,6.0
21.0,42,0.0,5.1,0.0,51.3,101,20,20.6,24,-5.9,5.2,0.996,12.3,0.0,-0.4,23.5,0.0,1200,4.17,0.4,12.960,24,0.0,5.1
24.0,43,0.0,5.1,0.5,51.8,101,10,24.4,24,-7.7,5.1,0.997,10.3,0.0,2.7,26.5,0.0,1138,4.21,0.4,12.960,24,0.0,5.3
27.0,43,0.0,5.0,3.2,52.3,101,0,28.7,24,-10.2,5.1,0.999,3.2,0.1,0.8,36.5,0.2,871,4.19,0.4,12.960,24,0.0,4.9
