BlueDriver Data Log
Dec 20, 2018 4:10:27 PM
Time (s),Accelerator Pedal Position E (%),Mass Air Flow Rate (g/s),Intake Air Temperature (°C),O2 Bank 1 - Sensor 2 - Oxygen Sensor Voltage (V),Absolute Throttle Position B (%),Fuel Level Input (%),Ambient Air Temperature (°C),Calculated Engine Load Value (%),Absolute Throttle Position (%),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Absolute Load Value (%),Long Term Fuel Trim Bank 1 (%),Commanded Throttle Actuator (%),Wide Range O2S: Bank 1 - Sensor 1 - Equivalence Ratio (λ),Short Term Fuel Trim Bank 1 (%),Relative Throttle Position (%),Commanded Evaporative Purge (%),Evap. System Vapor Pressure (Pa),Barometric Pressure (kPa),Vehicle Speed (km/h),Wide Range O2S: Bank 1 - Sensor 1 - Voltage (V),Timing Advance for #1 cylinder (°),Commanded Equivalence Ratio (λ),O2 Bank 1 - Sensor 2 - Short Term Fuel Trim (%),Engine RPM (rpm),Accelerator Pedal Position D (%),Control Module Voltage (V)
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.2,1.6,6.20,19,0.305,7.1,47.8,19,33.6,7.2,33,0.0,31.7,-0.8,7.6,0.988,-3.4,0.7,0.0,0.0,102,18,2.227,21.1,0.998,99.2,1360,0.5,13.030
34.4,1.4,5.49,19,0.279,6.6,48.3,19,32.1,6.1,38,0.0,26.3,-0.8,6.1,0.996,-0.3,1.5,0.0,0.0,102,14,2.180,8.9,0.996,99.2,1204,1.6,12.960
51.6,7.3,7.87,19,0.292,8.9,48.2,19,44.0,8.3,42,0.0,32.9,-0.8,7.9,1.004,-1.2,1.8,0.5,0.0,102,16,2.185,23.8,0.996,99.2,1417,6.9,13.037
68.8,15.7,18.33,19,0.280,17.3,47.9,19,71.7,17.0,45,0.0,63.8,-0.3,17.1,0.997,-3.5,11.8,36.0,13.9,101,36,2.187,13.2,0.996,99.2,1794,15.7,12.960
86.0,7.6,8.37,18,0.334,8.8,47.4,18,40.9,6.6,50,0.0,31.7,-0.8,6.7,1.434,-6.8,1.1,56.6,0.5,101,59,2.416,8.6,0.795,99.2,1202,6.1,13.031
103.2,0.0,3.48,19,0.328,4.4,49.9,18,32.7,4.4,52,0.0,25.1,-9.4,4.5,1.014,3.5,0.4,0.0,56.0,102,0,2.214,5.6,0.999,99.2,811,0.0,12.885
120.4,12.2,11.76,19,0.333,10.9,48.7,18,48.3,9.9,53,0.0,38.7,-5.4,8.4,0.994,3.4,3.6,0.1,0.0,102,5,2.238,26.5,0.996,99.2,1298,11.6,12.957
137.6,0.0,3.45,19,0.387,4.3,48.9,18,22.8,4.3,56,0.0,18.4,-2.3,4.3,0.997,-2.0,0.4,0.0,0.0,102,16,2.198,9.6,0.996,99.2,1065,0.0,12.960
154.8,0.0,2.84,19,0.361,3.9,49.8,18,29.2,3.9,57,0.0,22.3,-10.2,3.9,1.002,7.5,0.4,0.0,0.0,102,0,2.189,7.5,0.999,99.2,738,0.0,12.960
