BlueDriver Data Log
Oct 1, 2018 6:49:34 AM
Time (s),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Absolute Throttle Position B (%),Evap. System Vapor Pressure (Pa),Fuel Level Input (%),Barometric Pressure (kPa),Vehicle Speed (km/h),Absolute Load Value (%),Ambient Air Temperature (°C),Long Term Fuel Trim Bank 1 (%),Commanded Throttle Actuator (%),Commanded Equivalence Ratio (λ),Timing Advance for #1 cylinder (°),Accelerator Pedal Position E (%),Short Term Fuel Trim Bank 1 (%),Calculated Engine Load Value (%),Accelerator Pedal Position D (%),Engine RPM (rpm),Mass Air Flow Rate (g/s),Relative Throttle Position (%),Control Module Voltage (V),Intake Air Temperature (°C),Commanded Evaporative Purge (%),Absolute Throttle Position (%)
0.0,,,,,,,,,,,,,,,,,,,,,,,,
3.0,49,317.4,14.9,0.0,100.0,99,,,,,,,,,,,,,,,,,,
6.0,50,319.8,14.9,0.0,100.0,99,59,44.1,14,0.0,8.4,0.840,11.7,4.8,0.7,46.5,5.5,1188,,,,,,
9.0,51,322.2,14.9,0.0,100.0,99,58,39.9,14,0.0,7.6,0.617,7.2,3.6,0.5,41.6,5.4,1197,7.72,1.6,13.736,14,59.6,7.5
12.0,51,324.6,14.9,0.0,100.0,99,57,35.6,14,0.0,6.8,0.394,2.6,2.4,0.3,36.7,5.3,1206,7.04,1.8,13.672,14,42.8,7.7
15.0,52,327.0,5.5,0.0,100.0,99,56,31.4,14,0.0,6.1,0.170,-2.0,1.1,0.2,31.7,5.2,1215,6.37,1.9,13.608,14,26.1,7.9
18.0,52,329.3,8.5,0.0,100.0,100,53,31.0,14,0.0,5.6,0.000,-6.1,0.0,0.0,26.8,5.1,1224,5.69,2.0,13.545,14,9.3,8.1
21.0,53,331.7,7.3,0.0,100.0,100,51,34.8,14,0.0,7.4,0.303,-1.5,1.8,0.3,28.9,3.8,1219,5.70,1.7,13.426,14,0.3,8.0
24.0,53,334.1,6.1,0.0,100.0,101,50,32.6,14,0.0,7.1,0.181,-4.3,1.1,0.2,38.2,1.2,1197,6.53,0.7,13.179,14,19.1,6.7
27.0,52,336.5,5.9,0.0,100.0,101,48,30.4,14,0.0,6.8,0.060,-7.2,0.5,0.1,36.6,0.5,1199,6.25,0.6,13.071,14,10.6,6.5
