BlueDriver Data Log
Dec 12, 2018 6:26:20 PM
Time (s),Accelerator Pedal Position E (%),Mass Air Flow Rate (g/s),Intake Air Temperature (°C),O2 Bank 1 - Sensor 2 - Oxygen Sensor Voltage (V),Absolute Throttle Position B (%),Fuel Level Input (%),Ambient Air Temperature (°C),Calculated Engine Load Value (%),Absolute Throttle Position (%),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Absolute Load Value (%),Long Term Fuel Trim Bank 1 (%),Commanded Throttle Actuator (%),Wide Range O2S: Bank 1 - Sensor 1 - Equivalence Ratio (λ),Short Term Fuel Trim Bank 1 (%),Relative Throttle Position (%),Commanded Evaporative Purge (%),Evap. System Vapor Pressure (Pa),Barometric Pressure (kPa),Vehicle Speed (km/h),Wide Range O2S: Bank 1 - Sensor 1 - Voltage (V),Timing Advance for #1 cylinder (°),Commanded Equivalence Ratio (λ),O2 Bank 1 - Sensor 2 - Short Term Fuel Trim (%),Engine RPM (rpm),Accelerator Pedal Position D (%),Control Module Voltage (V)
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.2,1.0,6.58,17,0.278,7.6,47.4,17,39.4,7.6,26,0.0,32.9,-1.6,7.4,1.021,3.2,0.5,0.0,0.0,102,12,2.155,5.5,0.998,99.2,1221,0.5,14.331
34.4,0.0,6.36,17,0.275,7.1,48.7,17,36.9,7.3,30,0.0,30.8,-1.6,7.1,0.997,1.8,1.1,0.0,0.0,102,14,2.179,7.9,0.997,99.2,1253,0.0,12.987
51.6,11.2,13.00,16,0.280,12.0,48.7,16,53.6,11.1,35,0.0,33.3,-2.0,9.6,1.003,-2.4,3.4,0.0,0.0,102,18,2.209,18.0,0.996,99.2,1630,11.3,12.960
68.8,0.0,5.27,16,0.280,6.4,49.8,16,49.5,5.9,39,0.0,35.8,-10.2,5.9,1.013,9.5,0.6,0.0,0.0,102,0,2.209,0.9,0.999,99.2,848,0.0,13.036
86.0,0.0,3.76,17,0.280,4.7,49.4,16,35.3,4.7,42,0.0,30.9,-10.2,5.4,0.992,7.0,0.4,0.0,0.0,102,0,2.187,6.4,0.999,99.2,825,0.0,12.812
103.2,0.0,3.48,17,0.294,4.3,49.4,16,33.3,4.3,43,0.0,25.9,-10.2,4.5,1.001,8.6,0.4,0.0,0.0,102,0,2.196,9.6,0.999,99.2,780,0.0,12.880
120.4,21.3,23.10,16,0.330,26.5,48.2,16,84.4,25.2,45,0.0,75.6,0.0,24.9,0.999,1.8,20.7,86.3,0.0,101,47,2.182,8.8,0.996,99.2,1945,21.5,12.960
137.6,16.4,20.08,15,0.737,18.9,47.4,15,73.6,18.9,51,121.0,68.4,-0.1,19.4,0.996,0.3,14.9,84.5,15.9,101,58,2.189,14.4,1.003,99.2,1941,15.7,12.880
154.8,0.0,4.07,16,0.250,4.8,48.9,15,24.7,4.7,55,164.2,19.6,-1.6,4.7,1.999,0.0,0.4,0.0,0.0,102,23,3.737,-11.3,0.677,99.2,1209,0.0,12.920
172.0,0.0,3.92,16,0.718,4.6,50.2,15,35.4,4.4,55,155.9,31.4,-10.2,5.4,0.990,5.4,0.4,0.0,0.0,102,0,2.198,3.2,1.005,99.2,822,0.0,12.880
189.2,0.0,3.64,16,0.773,5.2,49.9,15,41.5,5.2,55,137.9,30.9,-10.2,5.2,1.006,4.2,0.4,0.0,0.0,102,0,2.221,3.5,0.273,99.2,768,0.0,12.937
206.4,15.9,15.72,16,0.833,15.7,49.1,15,62.6,15.1,56,155.4,56.2,-2.2,14.7,1.004,1.2,9.5,8.5,41.7,102,18,2.174,13.7,1.007,99.2,1488,15.5,12.880
223.6,19.8,22.29,15,0.736,23.8,47.4,15,82.8,23.8,59,309.5,73.7,-0.0,24.6,1.000,-0.5,19.5,91.0,0.2,101,68,2.185,8.0,0.996,99.2,1924,20.0,12.920
240.8,19.1,21.16,14,0.716,22.6,46.3,14,80.9,22.4,63,410.6,71.0,-0.1,20.7,1.000,-0.4,17.8,65.4,14.9,101,89,2.203,11.4,1.004,99.2,1905,19.6,12.930
258.0,20.3,22.95,15,0.726,24.2,46.3,14,81.6,24.8,68,478.2,71.6,0.0,23.0,0.995,0.4,19.0,84.0,0.0,101,101,2.175,12.8,1.000,99.2,2019,20.5,12.908
275.2,19.0,23.34,14,0.680,23.0,45.5,14,78.7,23.1,71,530.3,70.7,0.6,23.0,1.003,0.2,19.2,0.0,0.0,102,107,2.175,15.3,0.997,99.2,2100,19.2,12.933
292.4,15.1,18.30,15,0.742,16.0,45.9,14,67.0,15.6,75,547.3,54.1,-1.6,14.1,0.997,-0.8,9.9,80.8,32.7,100,104,2.188,21.7,0.998,99.2,1975,14.8,12.935
309.6,16.8,20.45,15,0.728,18.9,45.1,14,70.2,18.4,76,559.4,61.6,-1.6,18.2,0.991,0.8,14.2,93.3,6.0,101,108,2.195,20.5,1.004,99.2,2050,17.3,12.930
326.8,17.8,20.96,15,0.738,23.0,45.5,14,82.0,24.7,78,572.0,37.4,-1.1,8.2,0.989,-0.6,1.5,5.1,0.0,102,103,2.081,29.6,1.011,99.2,1955,17.5,12.933
344.0,22.9,29.54,15,0.713,28.6,45.9,14,84.6,29.5,79,587.4,75.9,0.1,29.3,1.003,-0.9,24.4,87.7,2.4,101,109,2.201,12.6,1.005,99.2,2453,23.5,12.928
361.2,15.5,18.14,15,0.282,16.0,45.9,14,62.0,15.4,81,592.4,48.6,-2.0,15.0,1.005,-1.2,10.5,63.5,0.0,101,109,2.182,29.4,0.985,99.2,2055,15.4,12.909
378.4,17.5,21.85,15,0.709,23.1,45.8,14,75.8,24.5,83,600.0,69.9,0.8,24.9,0.996,0.8,19.9,90.0,13.9,101,117,2.196,17.0,0.995,99.2,2280,20.4,12.960
395.6,10.3,11.87,15,0.745,11.7,45.9,14,40.3,11.9,84,572.8,34.3,-2.1,11.2,0.997,2.9,6.3,45.9,82.3,101,118,2.185,36.2,1.005,99.2,2217,8.7,12.852
412.8,24.5,28.43,15,0.742,30.4,46.3,14,79.8,27.2,84,535.3,51.9,-1.4,24.9,0.987,-1.1,16.0,91.4,44.1,102,95,2.050,9.0,1.010,99.2,2175,25.3,12.880
430.0,23.3,26.28,14,0.722,27.6,45.5,14,85.9,24.9,84,584.0,55.6,-0.6,15.1,1.010,1.1,14.4,93.6,11.6,101,102,2.158,10.8,1.007,99.2,1988,22.0,12.960
447.2,16.1,19.43,14,0.683,19.1,45.5,14,72.1,17.6,86,584.0,62.7,-0.5,19.3,1.007,0.2,13.1,90.9,27.8,100,107,2.146,21.8,0.993,99.2,2018,14.5,12.957
464.4,12.2,13.66,14,0.659,9.2,46.3,14,39.0,11.7,86,578.2,59.7,-0.1,19.8,1.011,-2.3,17.0,91.6,7.2,101,107,2.201,18.3,0.987,99.2,2025,11.3,12.889
481.6,18.3,22.15,14,0.700,21.7,45.9,14,77.1,22.2,86,581.3,69.0,0.8,22.2,1.004,-1.1,18.2,91.3,6.2,101,102,2.188,16.0,0.995,99.2,2040,18.4,12.992
498.8,11.1,13.40,14,0.768,5.6,45.5,14,17.7,4.1,87,572.0,21.1,-2.1,10.9,0.894,-4.9,8.1,61.2,5.3,101,94,2.187,22.3,1.011,99.2,1825,14.2,12.899
516.0,5.8,10.56,14,0.715,18.5,45.5,14,75.7,21.2,87,574.7,54.1,0.1,13.5,1.007,0.3,9.5,86.9,17.7,101,100,2.180,16.5,1.002,99.2,1928,13.7,12.980
533.2,14.6,16.83,14,0.687,17.9,44.9,14,67.8,20.1,87,577.5,69.8,0.1,24.2,1.002,-0.9,20.9,16.5,0.0,102,100,2.184,11.6,0.995,99.2,2163,17.6,12.901
550.4,0.5,3.84,14,0.010,4.7,44.3,14,15.9,7.2,87,576.0,23.9,-2.0,8.3,1.125,0.0,4.3,70.0,0.0,101,110,2.143,37.4,0.982,99.2,2048,0.0,13.009
567.6,19.8,22.48,14,0.725,22.8,45.5,14,78.0,22.2,86,568.9,67.9,0.8,21.2,0.999,-0.7,17.0,91.7,0.2,101,100,2.175,15.4,1.001,99.2,1921,18.5,12.903
584.8,23.1,28.89,14,0.705,29.0,44.9,12,85.6,29.0,87,593.5,75.7,0.7,29.0,0.993,-0.8,24.3,87.8,0.4,101,106,2.186,11.9,0.997,99.2,2443,23.1,12.932
602.0,12.0,13.38,14,0.509,12.1,45.2,12,44.7,11.0,87,599.7,37.6,-1.6,11.6,1.003,-4.8,8.2,93.9,0.0,99,112,2.213,24.9,0.994,99.2,2102,13.5,12.981
619.2,5.9,8.69,14,0.626,10.0,46.2,12,37.6,15.5,87,596.0,63.7,-1.6,20.5,1.001,-1.9,16.6,37.6,2.9,101,113,2.177,16.9,0.993,99.2,2155,14.6,12.960
636.4,20.4,25.12,14,0.721,25.2,45.4,12,80.0,25.1,87,596.0,70.5,0.8,25.4,1.002,3.1,21.1,89.8,2.4,101,111,2.175,15.3,1.001,99.2,2229,20.6,12.880
653.6,5.3,5.80,15,0.701,6.5,45.5,12,21.8,6.7,87,596.5,33.6,-1.2,13.2,0.963,-1.4,10.0,53.8,0.0,100,115,2.208,25.3,0.992,99.2,2141,5.2,12.903
670.8,8.2,7.78,15,0.781,7.8,46.3,12,24.5,8.1,86,569.4,21.7,-3.9,7.8,1.002,0.3,3.4,32.9,6.7,101,112,2.135,39.0,1.005,99.2,2092,7.9,12.960
688.0,14.6,17.50,15,0.782,14.9,46.7,12,48.7,12.7,86,532.0,45.5,-2.4,14.1,1.384,0.5,10.3,19.8,2.6,102,108,2.016,22.7,1.008,99.2,2205,14.4,12.960
705.2,18.0,22.30,15,0.720,20.3,46.3,12,73.7,20.2,86,552.9,64.5,-0.3,20.6,0.996,0.8,16.6,54.4,0.0,101,111,2.185,17.4,1.006,99.2,2125,18.1,12.880
722.4,17.4,22.32,14,0.686,20.6,45.5,12,72.7,11.9,87,568.0,50.7,-0.4,18.6,0.998,-0.2,15.0,24.7,152.1,101,112,2.182,19.5,0.999,99.2,2136,17.3,12.955
739.6,13.5,14.79,15,0.709,14.5,45.5,12,56.6,15.6,87,564.0,38.2,-1.8,11.2,0.972,1.6,5.5,63.1,12.2,100,106,2.144,36.1,0.980,99.2,1979,11.8,12.960
756.8,3.1,7.90,15,0.500,5.9,45.0,12,18.8,9.4,87,566.3,33.8,-1.6,12.1,1.030,0.2,7.2,0.0,0.0,102,108,2.304,19.6,0.930,99.2,2075,15.8,12.880
774.0,17.7,21.86,15,0.671,20.7,45.2,12,71.8,17.7,87,557.7,55.2,-0.1,16.8,0.986,-1.4,14.6,72.5,22.9,101,106,2.201,16.9,1.000,99.2,2125,18.3,12.963
791.2,14.8,18.04,15,0.766,16.4,45.1,12,63.8,16.8,87,560.0,55.8,-1.6,16.2,1.001,2.9,12.5,92.1,57.9,100,110,2.150,22.8,1.007,99.2,2048,11.3,12.906
808.4,10.2,10.79,15,0.233,9.6,45.9,12,36.0,9.7,87,544.0,33.3,-1.6,10.2,0.997,-10.2,5.4,91.8,1.7,100,110,2.220,32.4,0.994,99.2,2097,10.4,12.921
825.6,16.0,19.69,15,0.673,17.2,45.8,12,68.2,17.9,86,544.3,59.8,-1.6,18.0,1.000,0.9,13.9,93.0,0.0,100,110,2.180,21.2,0.997,99.2,2100,16.0,12.880
842.8,22.7,30.04,15,0.706,29.8,45.0,12,82.6,29.8,86,567.8,73.7,0.0,29.3,0.996,-0.8,24.3,86.9,2.7,101,119,2.185,13.8,1.002,99.2,2546,22.9,12.960
860.0,22.7,29.59,15,0.684,29.4,43.1,12,81.9,29.8,86,595.5,72.9,0.0,29.4,0.997,-1.4,24.3,87.6,0.0,101,121,2.188,14.8,0.999,99.2,2570,23.1,12.960
877.2,17.6,22.85,15,0.714,22.1,42.0,12,76.4,23.7,86,608.8,63.1,0.8,21.2,1.000,-1.3,9.2,7.9,0.0,101,123,2.165,25.1,0.996,99.2,2321,15.8,12.846
894.4,15.9,19.40,15,0.784,17.2,44.3,12,62.8,11.9,86,592.0,58.4,-0.8,18.3,0.991,0.2,14.8,92.3,5.7,101,108,2.128,23.6,1.005,99.2,2047,14.5,12.835
911.6,17.6,20.68,15,0.711,20.4,44.7,12,74.2,20.8,86,592.0,65.9,0.8,20.2,1.005,-1.2,16.7,91.8,12.1,101,103,2.187,17.4,0.994,99.2,1983,17.7,12.960
928.8,0.0,3.86,16,0.051,4.7,43.1,12,11.9,4.4,87,573.7,10.5,-3.9,4.7,1.466,5.0,0.4,0.0,0.0,102,110,2.977,0.3,0.179,99.2,2048,1.7,12.951
946.0,17.3,20.22,16,0.692,20.8,43.5,12,76.0,22.0,86,558.6,51.6,-1.1,17.6,0.974,0.0,13.6,92.8,25.0,100,102,2.210,21.7,1.007,99.2,2015,15.7,12.960
963.2,17.2,20.77,16,0.660,20.0,42.7,12,32.5,9.4,87,560.0,43.1,-1.6,15.6,1.012,-0.2,12.3,93.1,37.3,101,107,2.170,19.6,1.000,99.2,2053,16.9,12.896
980.4,17.9,22.13,16,0.682,19.5,43.4,12,66.9,18.2,86,546.6,50.5,-1.1,15.6,0.976,0.0,10.5,93.3,33.4,100,104,2.016,21.1,1.010,99.2,2141,17.5,12.960
997.6,16.7,19.64,15,0.705,17.6,43.9,12,72.5,20.7,86,545.3,67.9,0.8,21.3,1.011,-1.5,17.6,91.4,8.5,101,100,2.182,16.0,0.994,99.2,2033,17.7,12.813
1014.8,20.7,25.65,15,0.726,25.8,43.5,12,80.4,25.7,87,569.8,70.6,0.8,25.5,1.001,2.3,21.2,89.8,1.9,101,109,2.179,15.0,0.998,99.2,2250,20.8,12.809
1032.0,20.1,25.36,15,0.695,25.2,42.7,12,79.4,25.3,87,583.0,70.6,0.8,25.6,1.002,1.0,21.2,89.5,6.1,101,116,2.194,14.0,1.006,99.2,2290,20.5,12.955
1049.2,22.0,28.15,15,0.694,27.1,42.4,12,81.7,27.0,87,597.1,73.5,0.6,27.3,1.006,-0.8,22.7,87.8,3.7,101,120,2.203,13.6,0.998,99.2,2460,22.1,12.880
1066.4,21.4,27.82,15,0.705,21.0,43.1,12,80.6,25.0,87,608.9,70.8,0.7,25.8,1.009,-1.6,21.2,87.8,0.0,101,126,2.188,14.1,0.999,99.2,2430,21.5,12.960
1083.6,20.5,26.24,15,0.695,23.9,42.4,12,80.1,25.6,87,608.0,66.1,0.7,22.2,1.004,0.7,16.9,90.7,28.2,101,118,2.190,16.5,0.994,99.2,2293,19.4,12.910
1100.8,11.1,11.99,16,0.577,11.4,43.1,12,45.6,13.8,87,592.2,22.0,-3.6,6.9,0.965,-0.3,4.4,0.0,0.0,102,105,2.303,26.0,0.935,99.2,1982,13.2,12.960
1118.0,19.7,23.96,16,0.824,23.5,44.2,12,78.7,23.1,86,552.0,64.4,0.2,19.9,0.975,0.9,14.4,75.0,37.2,101,106,2.058,18.4,1.000,99.2,2086,19.1,12.996
1135.2,16.5,19.11,16,0.694,18.1,42.7,12,68.3,18.6,86,560.0,62.3,-1.6,18.5,0.998,1.6,14.4,93.0,1.3,100,103,2.178,19.2,0.997,99.2,1965,16.3,12.929
1152.4,9.4,9.59,16,0.252,9.2,43.5,12,34.7,9.3,87,556.7,47.0,-1.6,15.0,1.001,-4.5,12.6,81.1,2.8,100,107,2.176,27.7,0.982,99.2,2058,10.2,12.960
1169.6,16.3,20.27,16,0.734,17.3,43.1,12,69.8,9.6,87,571.0,40.1,-1.6,14.8,0.993,0.2,12.3,93.3,12.5,100,109,2.168,18.6,1.000,99.2,2066,16.7,12.942
1186.8,18.7,22.62,16,0.744,21.8,42.7,12,74.5,21.7,87,574.6,68.8,-0.1,22.4,1.001,0.8,17.9,90.8,2.0,101,110,2.184,16.8,0.998,99.2,2082,18.1,12.960
1204.0,16.1,19.34,16,0.676,17.0,42.4,12,63.7,16.5,87,576.0,50.2,-1.6,16.1,0.996,-0.4,12.0,93.4,1.0,100,113,2.214,22.5,0.989,99.2,2118,14.9,12.960
1221.2,11.5,13.02,16,0.702,13.0,42.6,12,48.0,12.9,87,565.7,41.7,-1.6,11.3,0.993,-0.0,5.8,36.4,3.3,101,113,2.189,34.5,1.011,99.2,2125,11.5,12.957
1238.4,17.4,22.26,16,0.703,20.3,42.7,12,73.0,20.0,87,565.6,63.3,-0.8,19.7,0.996,0.8,16.3,91.5,0.0,101,112,2.157,17.5,1.009,99.2,2149,17.5,12.871
1255.6,16.2,20.17,15,0.706,17.8,42.1,12,65.6,17.7,87,568.0,58.7,-0.7,18.1,1.000,0.8,13.2,92.6,2.0,100,113,2.194,22.5,1.001,99.2,2163,15.9,12.960
1272.8,15.8,18.09,15,0.685,15.5,41.8,12,57.1,15.4,87,568.5,49.4,-1.4,14.6,1.005,-0.8,10.6,93.7,0.0,100,106,2.177,20.6,0.992,99.2,2012,16.1,12.880
1290.0,17.0,21.33,15,0.694,18.9,41.3,12,67.8,18.0,87,584.0,61.0,0.7,19.0,0.994,-0.1,15.1,92.0,1.0,100,113,2.199,18.6,0.999,99.2,2139,17.2,12.921
1307.2,15.9,20.29,16,0.667,17.9,42.0,12,66.0,17.8,87,580.0,39.3,-1.6,9.4,0.973,0.4,5.0,84.1,56.6,100,119,2.156,31.5,1.010,99.2,2250,15.2,12.960
