BlueDriver Data Log
Oct 10, 2018 7:09:22 AM
Time (s),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Absolute Throttle Position B (%),Evap. System Vapor Pressure (Pa),Fuel Level Input (%),Barometric Pressure (kPa),Vehicle Speed (km/h),Absolute Load Value (%),Ambient Air Temperature (°C),Long Term Fuel Trim Bank 1 (%),Commanded Throttle Actuator (%),Commanded Equivalence Ratio (λ),Timing Advance for #1 cylinder (°),Accelerator Pedal Position E (%),Short Term Fuel Trim Bank 1 (%),Calculated Engine Load Value (%),Accelerator Pedal Position D (%),Engine RPM (rpm),Mass Air Flow Rate (g/s),Relative Throttle Position (%),Control Module Voltage (V),Intake Air Temperature (°C),Commanded Evaporative Purge (%),Absolute Throttle Position (%)
0.0,,,,,,,,,,,,,,,,,,,,,,,,
3.0,47,0.0,13.2,0.0,82.4,101,8,46.1,16,-4.3,9.9,0.999,5.7,4.6,-0.4,46.0,9.2,1075,7.00,3.1,13.040,,,
6.0,48,13.3,19.0,14.9,82.3,101,20,65.2,16,-1.5,18.7,0.998,12.4,17.5,-4.6,76.2,16.9,1730,17.27,11.7,13.040,17,32.9,18.1
9.0,48,39.7,20.9,33.2,82.0,100,34,69.1,16,-1.4,20.0,0.997,9.3,10.7,0.8,71.6,16.3,1861,19.04,12.4,13.063,17,45.3,19.1
12.0,49,97.5,11.8,0.0,81.8,100,41,63.4,16,-1.3,18.8,0.997,11.9,15.3,0.8,62.8,13.9,1813,16.42,7.6,13.105,16,34.0,14.4
15.0,50,122.7,13.5,0.0,81.6,100,46,44.3,16,-2.7,9.3,0.996,14.2,12.4,2.0,59.1,12.0,1705,15.07,7.1,13.061,16,40.6,13.8
18.0,51,140.6,10.3,0.0,81.8,100,51,43.7,16,-2.3,9.4,0.996,16.0,8.8,3.1,52.8,8.9,1431,9.48,3.1,12.881,16,31.8,9.2
21.0,51,158.7,7.6,0.0,82.0,100,52,38.8,16,-2.3,8.2,0.892,14.8,8.0,3.1,52.0,7.8,1229,8.62,3.1,13.073,16,58.8,8.5
24.0,52,172.6,6.2,0.0,82.0,99,52,28.2,16,-2.4,5.9,0.030,-6.0,0.0,1.0,36.9,3.0,1215,6.43,2.0,13.094,16,51.5,7.5
27.0,54,166.6,5.5,0.0,82.0,101,49,24.5,16,-2.3,5.5,0.000,-6.3,0.0,0.0,27.6,0.0,1206,4.56,0.8,13.040,16,0.0,6.0
30.0,54,173.3,5.4,0.0,82.0,101,45,21.2,16,-2.3,5.1,0.003,-5.9,0.0,0.0,25.5,0.3,1212,4.46,0.9,13.040,17,0.0,5.5
33.0,54,168.0,5.1,0.0,82.0,101,35,21.4,16,-2.4,5.1,0.000,-6.9,0.0,0.0,26.2,0.0,1184,4.38,0.7,13.040,17,0.0,5.1
36.0,54,160.0,5.1,0.0,82.0,101,24,23.4,16,-4.3,5.9,0.475,4.2,0.0,-1.2,27.1,0.0,1130,4.38,0.4,13.035,17,0.0,5.1
39.0,54,164.0,5.1,17.4,82.0,101,11,27.5,16,-6.2,6.3,1.100,21.5,0.0,-4.0,27.6,0.0,1150,4.32,0.4,12.961,17,0.0,5.1
42.0,54,164.0,5.0,41.3,82.1,101,2,31.9,16,-6.2,5.1,1.010,-1.5,0.0,-6.1,40.8,0.2,884,4.11,0.6,12.960,17,0.0,4.9
45.0,54,164.2,4.8,55.9,82.4,101,0,29.0,16,-6.2,4.8,0.994,-1.2,0.0,1.8,39.5,5.4,1001,6.24,2.0,12.960,17,0.0,6.0
48.0,54,165.0,11.7,56.0,82.4,101,7,39.0,16,-4.2,8.4,0.993,5.7,4.0,5.0,44.9,11.2,1294,9.75,4.7,12.972,17,0.0,10.6
51.0,55,178.9,11.8,56.0,82.4,101,17,50.1,16,-2.3,11.4,1.001,18.5,11.4,-1.5,63.3,12.2,1448,12.88,8.1,13.156,17,0.0,10.9
54.0,55,190.5,10.9,56.0,82.4,101,26,56.4,16,-2.3,7.8,0.996,30.4,0.0,1.6,23.7,3.0,1194,6.43,3.4,13.035,17,0.0,9.3
57.0,55,197.7,9.1,56.0,82.4,101,28,55.5,16,-2.4,12.4,1.009,13.3,8.8,-3.0,53.8,7.6,1256,9.13,5.4,12.960,17,9.6,9.4
60.0,56,213.6,16.3,55.1,82.6,100,34,62.4,16,-1.9,14.2,1.000,6.9,12.4,-2.5,68.6,12.0,1389,13.23,10.5,12.971,17,37.3,17.6
63.0,57,230.7,13.6,34.7,82.7,100,40,60.3,16,-1.8,14.0,0.989,11.9,9.5,4.7,47.8,6.0,1325,6.60,4.7,13.040,16,34.9,14.3
66.0,57,246.3,10.1,10.7,82.7,100,44,47.7,16,-2.3,9.6,0.993,19.0,10.1,4.7,57.8,9.8,1283,9.12,5.3,13.040,16,27.9,10.6
69.0,57,256.7,7.4,0.0,82.7,100,46,37.6,16,-2.3,6.3,1.003,24.0,2.7,4.1,38.1,3.5,1249,6.63,2.8,13.040,16,13.9,7.1
72.0,58,259.9,5.1,0.0,82.7,101,44,23.6,16,-2.3,5.8,0.928,32.2,0.0,5.1,27.5,0.0,1230,4.30,0.5,13.040,16,0.0,5.1
75.0,59,253.5,5.1,0.0,83.0,101,41,20.1,16,-2.3,5.3,0.483,20.6,0.0,4.2,26.0,0.0,1229,4.29,0.8,13.035,16,0.0,5.1
78.0,59,251.2,5.1,0.0,83.1,101,35,20.7,16,-2.3,5.1,0.000,-2.5,1.0,0.0,25.3,0.5,1199,4.29,0.4,12.960,16,0.0,5.1
81.0,59,249.5,6.9,12.5,83.1,101,28,26.4,16,-2.3,5.3,0.001,15.0,7.5,0.0,35.7,8.2,1160,7.61,2.0,13.012,17,2.2,7.4
84.0,59,254.1,11.0,42.9,83.1,101,30,57.9,16,-2.3,13.2,0.805,8.7,11.6,-4.8,60.8,11.4,1290,11.08,6.0,13.040,17,10.8,10.9
87.0,59,267.4,14.5,29.7,82.7,100,36,61.5,16,-2.3,13.8,0.997,6.5,13.3,-2.6,72.6,13.0,1375,13.52,9.1,13.040,16,25.0,13.8
90.0,59,281.2,14.0,49.1,82.7,100,41,62.4,16,-2.3,14.1,0.992,6.6,13.3,3.1,71.2,12.5,1376,12.94,7.1,13.040,16,31.2,11.8
93.0,59,297.1,12.6,41.3,82.6,100,45,61.1,16,-2.3,13.9,0.997,7.0,13.3,3.1,72.1,12.9,1384,11.99,7.6,13.040,16,37.5,11.4
96.0,60,313.3,10.1,0.0,82.4,100,50,57.2,16,-2.3,11.7,1.001,14.2,12.0,2.6,67.4,11.8,1366,10.68,6.4,13.040,16,39.2,9.7
99.0,61,322.5,5.1,0.0,82.4,101,50,34.1,16,-2.3,8.4,1.061,27.3,10.0,0.5,57.4,10.0,1310,8.60,4.4,13.040,16,31.5,6.9
102.0,61,326.4,8.7,4.2,82.4,101,50,33.0,16,-2.3,7.4,1.089,36.3,8.5,-2.0,45.6,7.7,1213,6.00,3.1,13.040,16,5.5,10.2
105.0,61,332.7,10.0,6.1,82.4,101,50,55.4,16,-2.3,12.9,0.992,16.9,10.1,0.8,66.8,5.9,1369,6.01,2.4,12.900,16,6.8,8.5
108.0,62,343.4,6.3,0.0,82.4,101,52,20.5,16,-2.3,7.9,0.386,4.5,5.2,0.4,48.1,3.5,1317,5.36,1.6,12.867,16,7.0,6.2
111.0,62,338.0,5.4,0.0,82.4,101,49,23.5,16,-2.3,6.3,0.328,4.1,2.4,0.2,28.8,1.6,1233,4.67,1.0,13.037,16,0.0,5.1
114.0,63,338.4,6.2,0.0,82.5,101,46,29.3,16,-2.3,7.8,0.909,29.4,8.0,0.7,45.6,8.4,1274,8.08,3.5,12.960,16,2.4,6.3
117.0,63,341.5,8.2,21.8,82.7,101,46,38.8,16,-2.3,7.2,1.004,34.9,3.1,0.0,29.0,3.1,1061,5.18,2.0,12.960,16,6.0,6.7
120.0,63,345.0,9.9,69.1,82.7,100,44,58.7,16,-2.3,12.1,1.013,22.9,8.3,-2.4,50.0,7.6,1219,7.57,3.3,13.020,16,12.1,6.6
123.0,63,354.0,4.7,13.9,82.7,100,45,36.0,16,-2.3,9.6,1.008,22.1,10.4,-3.6,60.8,11.3,1337,11.14,6.7,13.102,16,22.4,6.4
126.0,63,360.4,10.0,32.4,82.9,100,47,35.7,16,-2.3,9.1,1.000,26.7,9.9,-2.7,54.0,12.2,1300,12.28,9.4,12.960,16,56.1,14.1
129.0,63,371.2,14.2,39.0,83.1,100,50,62.7,16,-2.3,15.3,0.987,14.9,14.4,1.6,75.4,13.9,1479,14.37,10.2,13.009,16,27.1,14.3
132.0,64,388.0,11.8,0.0,83.1,101,56,36.1,16,-2.3,8.9,0.998,23.9,5.4,1.1,47.2,7.2,1419,10.40,6.8,13.040,16,0.0,12.1
135.0,65,385.9,4.7,0.0,83.4,101,53,26.0,16,-4.8,5.9,0.515,13.3,0.5,0.5,23.1,0.0,1269,4.19,0.8,13.040,16,0.0,4.7
138.0,66,383.2,4.9,0.0,83.5,101,49,19.6,16,-7.0,5.1,0.000,-6.6,1.0,0.0,23.1,0.0,1250,4.06,0.8,13.040,16,0.0,4.7
141.0,66,374.3,5.1,0.0,83.5,101,45,19.6,16,-7.0,5.1,0.000,-7.0,0.0,0.0,23.2,0.0,1236,4.10,0.8,13.040,16,0.0,4.7
