BlueDriver Data Log
Aug 11, 2018 11:58:36 AM
Time (s),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Fuel Level Input (%),Barometric Pressure (kPa),Vehicle Speed (MPH),Absolute Load Value (%),Ambient Air Temperature (°C),Calculated Engine Load Value (%),Engine RPM (rpm),Relative Throttle Position (%),Control Module Voltage (V),Intake Air Temperature (°C),Absolute Throttle Position (%)
0.0,,,,,,,,,,,,,
3.1,39,76.0,78.0,102,0,38.2,24,50.5,825,0.4,13.150,26,5.7
6.2,40,79.7,78.0,102,1,36.0,24,46.7,855,0.4,13.017,26,5.9
9.3,41,82.2,78.0,102,2,37.1,24,48.1,852,0.4,12.818,26,5.6
12.4,41,85.1,78.0,102,2,34.3,24,43.7,895,0.4,12.880,26,5.5
15.5,42,91.7,78.0,102,2,42.5,24,50.9,1301,2.5,13.018,26,6.2
18.6,42,107.4,78.0,102,8,53.9,24,63.6,1476,6.3,12.960,27,12.9
21.7,43,128.3,77.6,102,14,53.0,24,58.3,1228,3.4,12.960,27,10.1
24.8,43,141.7,77.6,102,17,43.1,24,49.9,1136,1.4,12.960,27,8.2
27.9,44,149.1,77.6,102,17,29.1,24,37.5,1089,0.3,12.960,27,6.5
31.0,45,155.5,77.6,102,13,27.8,24,33.2,1169,0.3,12.829,27,5.9
34.1,45,160.0,77.6,102,9,30.4,24,37.1,1027,0.0,12.960,27,5.9
37.2,46,167.5,78.0,102,7,48.4,24,57.5,1739,7.0,12.960,27,13.1
40.3,47,186.6,77.6,101,13,59.3,24,70.0,1416,7.5,12.960,27,13.8
43.4,47,205.1,77.6,101,19,62.6,24,72.9,1320,6.8,12.960,27,12.6
46.5,48,214.9,77.6,102,21,29.4,24,34.3,1213,0.1,12.960,27,6.9
49.6,49,221.3,77.7,102,15,26.8,24,32.1,1171,0.4,13.014,27,5.9
52.7,50,227.3,78.0,102,7,44.8,24,48.8,1434,3.2,13.022,27,14.9
55.8,51,242.0,77.6,101,13,58.3,24,65.9,2061,9.8,12.960,27,16.8
