BlueDriver Data Log
Nov 27, 2018 5:24:13 PM
Time (s),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Absolute Throttle Position B (%),Evap. System Vapor Pressure (Pa),Fuel Level Input (%),Barometric Pressure (kPa),Vehicle Speed (km/h),Absolute Load Value (%),Ambient Air Temperature (°C),Long Term Fuel Trim Bank 1 (%),Commanded Throttle Actuator (%),Timing Advance for #1 cylinder (°),Commanded Equivalence Ratio (λ),Accelerator Pedal Position E (%),Short Term Fuel Trim Bank 1 (%),Calculated Engine Load Value (%),Accelerator Pedal Position D (%),Engine RPM (rpm),Mass Air Flow Rate (g/s),Control Module Voltage (V),Relative Throttle Position (%),Intake Air Temperature (°C),Commanded Evaporative Purge (%),Absolute Throttle Position (%)
0.0,,,,,,,,,,,,,,,,,,,,,,,,
3.0,32,0.0,7.2,0.0,52.0,101,11,29.0,20,-2.3,7.4,14.9,0.998,2.0,1.8,35.9,1.3,1311,6.55,12.960,,,,
6.0,33,0.0,9.0,0.0,51.8,101,13,30.5,20,-2.3,8.3,30.4,0.998,7.3,-3.0,40.8,9.0,1646,10.78,12.960,4.1,20,0.0,9.4
9.0,33,0.0,9.5,0.0,51.9,101,20,31.9,20,-2.3,7.1,24.3,0.997,0.0,0.3,32.0,2.7,1461,7.97,12.960,3.0,20,0.0,9.0
12.0,34,0.0,6.3,0.0,52.5,101,16,27.6,20,-2.3,6.8,10.7,0.997,1.8,0.9,28.2,1.5,1368,5.83,12.960,1.3,20,0.0,6.5
15.0,35,0.0,7.5,0.0,52.5,101,17,31.3,20,-2.3,8.1,13.9,0.997,4.8,-0.1,32.0,4.4,1432,6.15,12.960,1.0,20,0.0,7.5
18.0,36,0.0,7.8,0.0,52.5,101,20,34.4,20,-2.3,8.4,24.7,0.996,5.8,-1.8,39.4,6.4,1563,9.06,12.960,2.7,20,0.0,9.1
21.0,37,0.0,7.1,0.0,52.7,101,22,33.0,20,-2.3,6.6,21.6,0.996,0.0,3.1,29.0,0.0,1374,5.92,12.960,1.9,20,0.0,7.6
24.0,37,0.0,6.3,0.0,53.0,101,20,29.0,20,-2.3,6.3,4.0,0.996,0.0,2.3,32.3,0.0,1282,5.69,12.908,1.6,20,0.0,6.5
27.0,38,0.0,6.2,0.0,53.3,101,4,44.5,20,-10.1,6.6,-11.3,0.998,0.0,-1.7,46.0,0.0,1016,5.56,12.917,1.6,20,0.0,6.3
30.0,39,0.0,5.9,0.0,53.7,101,1,37.3,20,-10.2,5.9,-5.5,0.999,0.0,2.3,49.5,0.0,839,5.19,12.960,1.4,20,0.0,6.2
33.0,40,0.0,5.6,0.0,53.7,101,0,33.2,20,-10.2,5.5,0.9,0.999,0.0,9.7,42.0,0.0,854,4.67,12.960,1.0,20,0.0,5.5
36.0,40,0.0,9.6,0.0,53.7,101,5,38.3,20,-7.1,8.0,5.4,0.998,2.9,7.7,44.0,1.4,871,5.41,12.960,3.5,20,0.0,9.3
