BlueDriver Data Log
Nov 27, 2018 5:24:13 PM
Time (s),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Absolute Throttle Position B (%),Evap. System Vapor Pressure (Pa),Fuel Level Input (%),Barometric Pressure (kPa),Vehicle Speed (km/h),Absolute Load Value (%),Ambient Air Temperature (°C),Long Term Fuel Trim Bank 1 (%),Commanded Throttle Actuator (%),Timing Advance for #1 cylinder (°),Commanded Equivalence Ratio (λ),Accelerator Pedal Position E (%),Short Term Fuel Trim Bank 1 (%),Calculated Engine Load Value (%),Accelerator Pedal Position D (%),Engine RPM (rpm),Mass Air Flow Rate (g/s),Control Module Voltage (V),Relative Throttle Position (%),Intake Air Temperature (°C),Commanded Evaporative Purge (%),Absolute Throttle Position (%)
39.0,41,0.0,15.2,0.0,53.5,101,14,658.2,20,-1.1,14.3,14.4,0.996,13.8,-4.7,66.7,14.4,1560,15.47,12.827,9.2,20,0.0,14.9
42.0,41,0.0,19.5,0.0,53.2,101,42,2948.2,19,1.5,21.1,7.9,0.996,17.5,-2.0,75.8,16.7,1669,17.74,12.800,13.7,20,0.0,19.1
45.0,42,0.0,22.7,0.0,52.5,101,44,1600.9,19,1.6,22.6,8.2,0.996,18.8,-1.4,82.7,18.8,1770,19.94,12.806,17.6,19,0.0,22.3
48.0,43,0.0,23.8,0.0,52.4,101,48,73.7,19,1.4,24.3,8.5,0.996,20.0,1.6,83.6,20.2,1806,20.80,12.960,20.4,19,7.6,24.1
51.0,44,0.0,23.6,7.8,52.2,101,56,73.5,19,-0.0,24.6,9.0,0.996,20.0,1.6,83.3,19.8,1829,20.76,12.915,19.1,19,31.8,23.6
54.0,45,0.0,19.2,43.0,52.2,101,62,66.4,19,1.3,19.5,9.7,0.996,17.5,-0.3,79.3,17.7,1760,19.07,12.850,14.8,19,51.8,19.6
57.0,47,0.0,13.2,66.6,52.2,101,65,63.2,19,-0.7,15.8,10.0,0.996,14.6,0.2,74.2,14.8,1612,16.40,12.813,9.5,19,40.7,13.3
60.0,48,0.0,12.2,42.9,52.3,101,67,55.3,19,-2.3,12.7,10.8,0.996,11.9,1.8,68.1,11.7,1423,13.74,12.881,7.4,19,94.3,12.8
63.0,48,0.0,9.4,16.2,52.7,100,68,42.6,19,-2.3,9.2,12.8,0.996,8.5,-6.9,49.3,0.0,1287,7.87,12.937,2.8,19,40.6,9.4
66.0,49,0.0,5.8,0.0,53.4,101,66,22.7,19,-2.3,5.5,-5.9,0.212,2.1,-1.9,33.8,0.0,1219,5.24,12.960,0.6,19,0.0,5.9
69.0,50,0.0,5.1,0.0,54.1,101,56,22.1,19,-2.3,5.5,-6.0,0.000,0.0,0.0,25.7,0.0,1196,4.51,12.960,0.7,19,0.0,5.1
72.0,51,0.0,5.1,0.0,54.6,101,46,21.6,19,-2.3,5.3,-6.0,0.000,0.0,0.0,25.3,0.0,1211,4.48,12.950,0.4,19,0.0,5.1
75.0,51,0.0,5.1,0.0,55.2,101,32,22.1,19,-4.0,5.4,-3.1,0.067,0.0,-0.1,25.9,0.0,1162,4.28,12.881,0.4,19,0.0,5.1
78.0,51,0.0,5.1,0.0,55.8,101,16,24.7,19,-10.2,7.1,17.0,0.996,0.0,-5.4,25.9,0.0,1144,4.21,12.929,0.4,19,0.0,5.1
81.0,51,0.0,5.1,0.0,56.1,101,2,29.8,19,-10.1,5.1,7.3,0.998,0.0,-1.2,33.3,0.0,982,4.14,12.960,0.4,19,0.0,5.1
84.0,51,0.0,5.1,0.0,55.8,101,1,28.8,19,-10.2,4.9,3.2,0.999,0.0,5.2,37.7,0.0,837,4.03,12.960,0.4,19,0.0,5.1
87.0,51,0.0,4.9,0.0,55.7,101,0,27.6,19,-10.2,4.7,3.2,0.999,0.0,10.8,35.5,0.0,836,3.85,12.960,0.4,19,0.0,4.7
90.0,51,3.4,4.7,0.0,55.6,101,0,26.5,19,-10.2,4.7,3.7,0.999,0.0,10.2,34.5,0.0,828,3.68,12.901,0.7,19,0.0,4.5
93.0,51,8.0,4.6,0.0,55.3,101,0,25.9,19,-10.2,4.3,6.5,0.999,0.0,10.2,33.6,0.0,799,3.47,12.926,0.8,19,0.0,4.3
96.0,52,8.4,4.3,0.3,55.3,101,0,25.1,19,-10.2,4.3,8.0,0.999,0.0,9.2,32.8,0.0,794,3.34,12.960,0.8,19,0.7,4.3
99.0,52,11.9,4.3,6.9,55.0,101,0,25.1,19,-10.2,4.3,8.8,0.999,0.0,7.1,32.4,0.0,796,3.29,12.960,0.7,19,2.6,4.3
102.0,53,14.4,4.1,3.3,54.9,101,0,24.8,19,-10.2,4.3,9.0,0.999,0.0,4.8,32.2,0.0,787,3.22,12.960,0.4,20,6.6,3.9
105.0,53,16.0,3.9,0.6,54.8,101,0,24.3,19,-10.2,4.3,9.0,0.999,0.0,6.3,31.8,0.0,780,3.13,12.857,0.4,20,6.7,3.9
108.0,53,16.0,3.9,2.5,54.5,101,0,24.3,19,-10.1,4.3,9.7,0.999,0.0,6.3,31.8,0.0,775,3.11,12.800,0.4,20,6.7,3.9
111.0,53,19.0,3.9,0.8,54.2,101,0,24.3,19,-10.2,4.3,9.4,0.999,0.0,6.5,31.8,0.0,777,3.14,12.817,0.4,20,6.7,3.9
114.0,54,22.1,3.9,0.0,53.9,101,0,24.1,19,-10.2,4.2,8.6,0.999,0.0,7.0,31.8,0.0,787,3.20,12.960,0.4,20,6.7,3.9
117.0,54,24.0,3.9,6.5,53.7,101,0,23.5,19,-10.2,3.9,9.0,0.999,0.0,6.3,31.4,0.0,768,3.13,12.960,0.6,20,6.5,3.9
120.0,54,24.4,3.9,27.3,53.7,101,0,23.5,19,-10.2,3.9,8.6,0.999,0.0,6.7,31.4,0.0,769,3.11,12.994,0.6,20,6.3,3.9
123.0,54,27.9,3.9,1.8,53.7,101,0,23.5,19,-10.2,3.9,8.5,0.999,0.0,7.0,31.2,0.0,775,3.08,12.983,0.4,20,6.3,3.9
126.0,54,28.0,3.9,0.5,53.7,101,0,23.5,19,-10.2,3.9,8.7,0.999,0.0,7.0,31.0,0.0,770,2.98,12.788,0.4,20,6.3,3.9
129.0,55,30.4,3.9,0.0,53.7,101,0,23.5,19,-10.2,3.9,9.1,0.999,0.0,7.0,30.9,0.0,750,2.95,12.640,0.4,20,6.3,3.9
132.0,55,32.0,3.9,0.0,53.7,101,0,23.5,19,-10.2,3.9,9.4,0.999,0.0,7.0,30.2,0.0,752,2.97,12.766,0.7,20,6.3,3.9
135.0,55,32.0,3.9,0.0,53.7,101,0,23.5,19,-10.2,3.9,9.0,0.999,0.0,7.0,30.5,0.0,758,2.95,12.800,0.8,20,6.3,3.9
138.0,55,32.0,3.9,0.0,53.7,101,0,23.5,19,-10.2,3.9,9.0,0.999,0.0,6.2,35.6,0.0,794,3.70,12.800,0.7,20,7.0,4.1
141.0,56,35.8,4.8,0.0,53.4,101,0,29.9,19,-10.2,4.6,7.3,0.999,0.0,5.2,41.6,0.0,840,4.78,12.800,0.4,20,9.8,5.1
144.0,56,38.3,5.1,10.0,53.3,101,1,38.8,19,-8.2,7.2,6.7,0.999,1.5,4.3,44.3,0.2,850,4.43,12.801,0.4,20,9.8,5.1
147.0,56,51.7,9.6,15.1,53.3,101,7,49.2,19,-2.0,13.6,14.4,0.996,16.1,-1.6,63.4,16.4,1708,14.43,12.920,7.5,20,48.3,11.5
150.0,56,76.9,19.6,3.2,53.3,100,24,70.5,19,1.6,21.1,6.0,0.996,18.2,-4.1,75.9,18.1,1835,18.04,12.971,14.0,20,84.8,19.0
153.0,57,107.7,22.7,0.0,52.9,101,34,72.2,19,1.6,21.7,6.3,0.996,19.0,-4.1,83.1,19.1,1741,39.56,12.939,17.2,20,92.2,22.3
156.0,57,142.1,22.2,5.6,52.9,101,43,72.9,19,1.6,22.6,6.7,0.996,18.9,-1.8,82.3,18.9,1754,19.85,12.880,18.0,20,91.9,21.5
159.0,58,179.2,22.7,6.2,52.8,101,51,71.1,19,1.0,20.6,9.9,0.997,18.4,0.0,82.0,19.6,1786,20.26,12.880,19.1,20,91.9,23.0
162.0,58,207.9,21.4,2.4,52.5,101,58,65.8,19,-1.6,5.1,28.4,1.006,0.0,0.0,32.1,4.9,1544,9.33,12.880,9.3,20,52.4,16.4
165.0,59,220.7,12.9,1.8,52.5,101,58,63.3,19,-2.1,11.7,14.6,1.001,8.1,-1.7,45.9,6.4,1473,7.28,12.907,0.8,20,1.0,5.6
168.0,60,242.6,17.9,26.5,52.3,101,60,68.6,19,-0.5,17.6,7.0,0.998,15.1,-3.8,73.6,13.9,1544,12.89,12.960,2.0,20,4.3,9.8
171.0,60,259.1,13.4,19.3,52.2,101,63,69.0,19,0.6,19.7,8.0,1.000,16.2,-5.3,78.8,17.3,1736,18.83,12.960,13.2,20,38.7,10.1
174.0,60,274.7,8.1,0.0,52.3,101,66,57.3,19,-2.3,13.6,12.5,0.997,0.0,0.8,45.9,3.7,1369,9.21,12.907,5.1,20,23.9,8.1
177.0,61,278.4,5.8,0.0,52.5,101,62,25.9,19,-2.3,5.9,-2.2,0.320,0.0,0.3,33.2,0.0,1230,5.01,12.916,0.6,20,0.0,5.7
180.0,62,267.3,5.1,0.0,52.8,102,56,21.6,19,-2.8,6.1,20.4,0.416,3.3,0.0,33.8,2.9,1204,5.32,12.944,1.3,20,0.3,5.2
183.0,62,270.6,5.6,4.2,52.9,101,54,19.2,19,-3.1,5.7,25.8,0.652,5.7,0.0,38.0,7.6,1190,7.41,12.881,3.9,20,4.3,8.2
186.0,62,272.0,5.4,4.4,53.0,101,53,23.3,19,-3.0,5.6,-5.1,0.029,0.1,0.0,21.2,0.0,1225,3.74,12.960,1.6,20,1.8,6.1
189.0,62,276.3,7.0,0.0,53.3,102,48,40.3,19,-2.3,12.5,14.5,0.884,13.2,-1.7,58.6,8.8,1339,9.74,12.960,5.7,20,6.3,8.9
192.0,62,289.0,15.3,0.0,52.9,101,52,65.0,19,0.7,15.7,13.8,0.962,14.5,-3.2,73.8,6.4,1458,10.01,12.960,7.1,20,11.8,12.7
195.0,62,303.4,5.5,0.0,52.9,102,52,37.6,19,-1.1,10.6,3.0,0.539,8.7,-2.3,58.0,0.0,1432,5.65,12.960,0.7,20,4.3,4.8
198.0,62,295.7,6.0,0.0,53.1,102,48,24.2,19,-2.8,5.6,-6.7,0.303,0.1,0.0,28.9,0.0,1214,5.49,12.959,0.4,20,0.0,6.3
201.0,62,290.1,5.8,1.8,53.4,102,42,24.3,19,-2.3,5.8,-4.9,1.113,0.4,0.0,30.6,0.0,1237,5.11,12.880,0.4,20,0.8,6.0
204.0,62,288.0,5.0,6.9,53.7,101,37,19.5,19,-2.3,5.1,11.0,1.010,0.0,0.0,24.8,0.0,1221,4.40,12.925,0.4,20,2.6,5.4
207.0,62,288.0,4.7,16.5,53.7,101,28,18.0,19,-2.9,4.5,9.7,1.006,0.0,0.4,22.7,0.0,1191,3.83,12.908,0.4,20,4.8,4.6
210.0,62,287.0,4.7,11.3,54.0,101,22,18.9,19,-3.1,4.3,7.9,1.003,0.0,0.6,23.2,0.0,1143,3.67,12.791,0.4,20,6.7,4.3
213.0,62,285.7,4.5,4.6,54.3,101,14,21.2,19,-5.1,4.3,8.4,1.002,0.0,0.2,25.2,0.0,1075,3.70,12.721,0.4,20,7.5,4.3
216.0,62,282.6,4.5,0.7,54.6,101,5,25.3,19,-10.2,4.4,14.8,0.994,0.0,3.9,36.1,0.0,841,3.57,12.830,0.4,20,9.3,4.9
219.0,62,279.1,5.2,2.4,54.9,101,0,32.9,19,-10.2,5.9,-1.5,0.994,0.0,4.4,42.6,0.0,816,4.15,12.880,0.4,20,11.0,5.5
222.0,62,271.8,7.1,0.0,54.6,101,1,40.1,19,-5.4,8.4,13.3,1.003,5.3,2.7,49.4,4.1,1127,7.21,12.880,2.0,20,15.4,6.2
225.0,63,280.2,11.1,0.0,54.0,101,11,50.3,19,-2.3,11.6,22.6,1.007,12.2,0.0,57.3,12.0,1654,13.28,12.880,8.2,20,49.7,12.9
228.0,63,289.6,14.7,2.1,53.6,101,23,60.5,19,-1.5,14.6,16.1,0.993,14.5,0.0,72.5,14.9,1437,14.51,12.960,10.7,20,79.9,14.7
231.0,63,303.3,17.3,4.1,53.2,100,33,67.8,19,1.6,16.9,13.0,1.009,16.5,-4.6,79.2,16.2,1559,16.52,12.960,13.7,20,93.7,17.5
234.0,63,322.5,19.6,0.0,52.5,101,42,70.5,19,1.6,19.6,12.2,1.003,17.1,-2.9,80.8,17.0,1600,17.63,12.924,15.5,20,93.3,19.6
237.0,64,339.7,19.6,0.0,52.5,101,47,69.4,19,1.6,19.6,12.9,1.001,17.3,-0.5,79.7,17.3,1624,17.79,12.903,15.6,20,93.3,19.3
240.0,65,361.5,16.7,8.7,52.3,100,53,66.0,19,1.6,17.7,13.9,1.003,16.3,0.1,76.6,16.5,1625,17.21,12.938,14.8,20,93.3,17.3
243.0,65,377.0,11.3,6.0,52.0,100,57,63.2,19,0.5,15.1,13.7,1.006,14.1,-1.9,71.7,13.7,1462,14.49,12.720,8.2,20,45.8,8.8
246.0,66,390.1,9.8,3.0,51.7,101,58,62.6,19,-2.3,14.5,11.2,1.011,14.5,-4.7,76.8,14.5,1452,15.22,12.836,10.2,20,67.6,9.7
249.0,67,401.7,12.6,8.2,51.4,100,60,62.0,19,-2.3,14.1,17.0,0.994,13.3,1.6,52.0,5.1,1397,9.01,12.922,5.7,20,59.5,10.6
252.0,67,407.9,5.1,0.0,51.8,101,58,33.8,19,-2.3,8.8,28.8,1.002,9.6,-0.9,39.7,3.0,1280,5.06,12.960,0.7,20,8.6,6.0
255.0,68,408.0,4.5,0.0,51.8,101,56,20.6,19,-2.7,5.4,18.7,0.679,4.8,-4.1,34.0,5.6,1169,6.07,12.960,1.5,20,58.7,3.9
258.0,68,401.9,4.5,0.0,52.0,101,48,17.3,19,-3.1,4.7,-7.5,0.000,0.0,0.0,20.0,0.0,1262,3.69,12.960,0.4,20,17.6,4.4
261.0,68,393.0,4.7,0.0,52.6,101,34,17.3,19,-3.1,4.7,-7.5,0.003,0.0,0.0,21.2,0.0,1203,3.68,12.960,0.4,20,0.0,4.5
264.0,68,384.0,4.7,0.0,53.3,101,24,22.0,19,-3.1,5.3,23.3,0.532,0.0,2.5,23.0,2.3,1169,4.06,12.960,0.4,20,1.5,4.4
267.0,68,379.2,4.4,0.6,53.6,101,22,20.1,19,-3.1,5.3,24.5,0.936,2.1,2.0,27.1,5.5,1146,5.13,12.946,1.3,20,7.4,4.7
270.0,68,380.0,9.4,0.3,53.5,101,22,34.5,19,-2.8,7.2,10.4,1.006,6.7,-2.7,37.1,7.9,1115,7.05,12.880,6.7,20,0.4,10.8
273.0,68,383.4,9.8,0.0,53.3,101,26,49.4,19,-2.3,11.1,16.4,0.987,11.8,-0.8,65.8,11.8,1350,12.12,12.937,7.3,20,58.3,12.0
276.0,68,388.0,5.9,4.0,53.3,101,32,22.7,19,-2.3,5.5,15.0,1.007,3.0,-3.0,40.5,4.3,1267,8.09,12.960,4.2,20,62.8,9.5
279.0,68,387.9,5.9,32.5,53.3,101,28,24.6,19,-2.3,5.8,12.1,0.998,0.0,0.3,29.0,0.0,1212,5.09,12.935,0.4,20,10.8,5.4
282.0,68,383.1,5.3,7.5,53.3,101,20,22.2,19,-2.3,5.3,8.8,0.993,0.0,3.6,28.9,0.0,1138,4.85,12.903,0.4,20,10.4,5.1
285.0,68,381.3,5.9,88.4,53.5,100,13,29.0,19,-2.3,6.9,14.9,0.996,2.7,1.4,31.0,1.8,1077,4.66,13.040,0.4,20,22.0,5.4
288.0,69,382.0,5.3,79.7,53.6,100,13,34.2,19,-2.5,9.4,32.1,0.998,11.0,-4.5,45.6,11.4,1962,12.31,12.960,5.5,20,74.3,7.6
291.0,69,382.7,4.9,27.0,53.3,100,20,21.3,19,-3.1,4.7,42.5,0.993,4.3,0.8,25.1,5.6,1418,6.63,12.853,2.7,20,74.0,6.9
294.0,69,379.4,7.1,87.8,53.3,100,22,22.0,19,-2.3,4.4,23.4,0.989,1.2,10.0,23.3,1.5,1186,4.00,12.880,0.4,20,37.9,4.8
297.0,69,376.4,12.1,0.0,53.7,101,22,59.7,19,0.7,12.2,13.5,1.004,8.5,3.4,50.8,7.2,1295,8.47,12.960,3.6,20,9.1,4.7
300.0,69,383.7,5.5,0.0,53.7,101,26,38.4,19,-6.1,9.5,11.0,0.999,7.3,0.6,60.9,12.0,1444,12.95,12.960,8.2,20,22.0,6.5
303.0,69,384.0,5.5,0.0,53.4,100,25,25.3,19,-5.9,5.5,14.5,0.991,0.0,7.0,35.7,5.9,1379,7.74,12.960,2.5,20,73.1,8.6
306.0,69,381.2,5.0,18.7,53.5,101,18,22.4,19,-2.3,4.9,14.1,0.999,0.0,6.5,24.0,1.1,1252,4.44,12.957,0.4,20,8.2,5.3
309.0,69,380.0,7.7,70.9,53.7,101,13,27.1,19,-2.3,6.2,11.5,1.001,1.3,4.3,27.2,7.2,1103,5.75,12.880,4.7,20,5.0,9.5
312.0,69,381.7,10.4,70.1,53.5,101,16,41.4,19,-2.3,10.6,30.6,0.999,11.0,0.0,45.5,10.6,1536,9.42,12.880,5.8,20,1.5,10.9
315.0,70,384.0,9.3,0.0,52.9,101,22,49.1,19,-2.3,10.6,20.5,0.997,10.4,0.6,53.9,10.6,1369,9.53,12.926,3.5,20,0.0,8.1
318.0,70,383.7,4.8,0.0,52.5,101,26,18.8,19,-2.3,6.4,14.3,0.992,4.0,4.4,37.2,5.1,1232,6.57,12.960,0.9,20,0.2,5.1
321.0,70,379.4,7.8,0.0,52.5,101,23,28.0,19,-1.4,6.8,25.3,0.999,3.4,2.7,26.3,2.6,1251,4.61,12.913,0.8,20,0.8,6.3
324.0,70,382.7,6.3,0.0,52.5,101,22,28.6,19,-0.8,7.8,29.4,1.007,6.4,-2.8,35.0,6.7,1395,7.00,12.730,3.1,20,0.8,5.5
327.0,71,382.0,5.7,0.0,52.8,101,18,25.5,19,-2.7,6.1,10.9,0.993,0.0,1.6,33.7,0.0,1162,5.39,13.040,0.4,20,0.3,5.8
330.0,71,378.7,5.4,0.0,53.3,101,8,30.7,19,-10.2,5.1,10.5,0.989,1.6,8.6,32.7,2.4,962,4.92,12.990,0.4,20,4.0,5.4
333.0,71,376.0,5.2,0.0,53.3,101,6,23.5,19,-8.6,7.1,21.5,0.998,7.5,7.2,41.6,7.9,1316,8.07,12.960,2.8,20,5.6,6.5
336.0,71,375.8,12.2,0.0,53.0,101,14,43.1,19,-2.8,11.5,22.9,1.000,12.7,1.8,56.9,12.8,1613,12.69,12.960,7.4,20,13.4,11.4
339.0,71,382.2,13.3,13.8,52.6,100,24,50.2,19,0.0,10.8,25.5,0.998,12.6,-2.5,61.3,13.1,1456,13.56,12.960,10.6,20,94.8,14.9
342.0,71,386.4,8.7,9.1,52.5,100,30,37.6,19,-0.3,6.6,25.8,0.996,6.9,-2.3,39.1,7.5,1260,6.92,12.960,3.1,20,22.6,7.8
345.0,71,386.4,4.8,0.0,52.6,101,27,18.8,19,-0.8,4.4,13.0,0.992,0.0,3.1,20.8,0.0,1125,4.25,12.960,1.2,20,0.0,4.7
348.0,72,383.1,5.0,0.4,52.9,101,16,25.1,19,-0.8,5.5,6.5,1.006,0.0,-1.5,29.0,0.0,1067,4.30,12.918,0.4,20,0.0,4.5
351.0,72,380.0,4.3,2.5,53.3,101,10,21.2,19,-6.6,4.7,10.1,0.994,4.0,-1.9,35.1,4.0,1125,5.97,12.880,2.2,20,8.8,5.6
354.0,72,376.9,8.7,59.1,53.0,100,14,32.2,19,-4.2,7.3,19.2,0.996,8.7,-2.0,43.0,9.4,1276,8.52,12.889,6.7,20,45.9,10.2
357.0,72,380.6,10.6,38.3,52.7,100,20,44.8,19,0.0,10.6,26.4,1.008,11.6,-3.3,55.8,11.5,1407,11.51,12.960,7.1,20,85.1,10.5
360.0,72,384.0,9.1,0.0,52.4,100,27,46.0,19,0.0,10.2,19.5,0.986,10.6,7.0,52.2,6.7,1237,6.88,12.960,3.3,20,39.6,7.6
363.0,73,383.2,5.6,1.7,52.2,101,30,17.3,19,-0.0,4.3,20.0,0.986,2.8,4.8,30.3,2.4,1183,4.25,12.960,1.0,20,2.6,4.7
366.0,74,380.0,3.9,12.3,52.5,101,28,17.3,19,-0.6,5.4,31.5,0.996,3.9,0.0,25.1,3.4,1254,4.46,12.885,1.4,20,8.7,4.5
369.0,74,379.4,7.1,82.9,52.5,101,29,27.6,19,-0.3,6.9,33.7,1.004,7.8,-3.6,35.7,7.5,1342,6.56,12.758,3.9,20,17.1,7.8
372.0,74,380.0,5.4,35.2,52.5,101,31,25.4,19,-0.3,6.4,16.2,0.724,6.7,-2.4,39.1,6.8,1173,6.21,12.960,3.9,20,1.2,5.1
375.0,74,377.8,4.1,0.0,52.7,101,31,16.5,19,-0.8,4.5,-4.6,0.098,2.5,0.1,20.0,3.5,1162,3.52,12.960,1.0,20,4.7,4.4
378.0,74,373.4,3.9,0.0,53.0,101,27,16.8,19,-1.3,5.1,21.0,0.999,3.9,3.1,23.1,0.9,1136,3.40,12.912,0.6,20,3.0,4.1
381.0,74,367.5,3.9,0.0,53.3,101,20,18.8,19,-10.2,4.7,-15.4,0.350,1.5,1.3,26.1,0.0,952,3.42,12.908,0.8,20,0.0,3.9
384.0,74,359.4,3.9,0.0,53.6,101,15,23.7,19,-4.6,5.9,10.8,0.399,3.3,-1.5,30.5,2.3,927,4.38,12.960,1.1,20,0.3,3.9
387.0,74,360.0,4.1,0.0,53.5,101,13,22.2,19,-0.3,6.1,31.4,1.009,8.2,-4.1,35.0,9.0,1537,7.81,12.960,4.3,20,56.4,5.1
390.0,74,357.0,4.4,0.0,53.4,101,12,16.5,19,-1.6,3.9,11.9,0.989,0.0,3.9,20.8,1.5,1140,4.45,12.960,1.8,20,25.5,4.7
393.0,74,351.2,5.1,0.0,53.7,101,4,25.9,19,-10.2,5.1,1.5,0.987,2.7,2.7,28.3,2.6,1088,3.82,12.876,1.2,20,0.0,4.6
396.0,74,347.7,6.6,0.2,53.7,101,8,26.6,19,-2.2,6.3,29.6,0.999,4.7,-0.9,29.4,1.8,1249,3.99,12.865,1.6,20,0.2,5.5
399.0,74,343.9,3.9,29.0,53.4,101,8,20.8,19,-0.5,5.3,22.4,1.001,5.2,-0.9,26.8,2.0,1342,4.10,12.960,1.1,20,0.7,4.4
402.0,74,341.1,5.3,10.0,53.1,101,9,18.0,19,-0.8,4.3,12.0,0.997,3.5,1.6,24.1,4.7,1253,4.94,12.960,2.4,20,0.0,5.9
405.0,74,337.8,4.9,11.3,52.9,101,9,18.2,19,-3.1,4.2,20.7,0.998,0.0,-0.4,19.6,0.0,1087,3.20,12.960,0.8,20,4.6,4.5
408.0,74,334.4,4.0,15.6,52.9,101,7,19.4,19,-10.2,3.9,7.9,0.989,0.0,6.3,25.9,0.0,1007,3.63,12.905,0.4,20,2.7,4.1
411.0,75,330.2,4.2,0.0,52.9,101,4,22.0,19,-10.2,3.9,5.0,0.991,0.0,6.3,31.3,0.0,796,3.72,12.880,0.4,20,2.7,4.1
414.0,75,323.6,3.7,0.0,52.9,101,0,25.9,19,-8.3,3.9,-0.2,0.997,0.0,8.1,32.2,0.0,751,3.05,12.937,0.6,20,4.4,2.9
417.0,75,319.8,0.0,0.0,52.9,101,0,8.6,9,0.9,4.4,5.3,0.999,0.0,5.6,19.4,0.0,539,1.83,12.907,1.0,20,0.0,0.7
420.0,75,314.2,4.4,0.0,52.9,101,0,0.0,4,6.3,4.7,11.0,0.999,0.0,0.0,0.0,0.0,0,0.66,12.560,1.6,20,0.0,6.3
423.0,75,312.0,6.3,0.0,52.9,101,0,0.0,4,6.3,4.7,11.0,0.999,0.0,0.0,0.1,0.0,4,0.68,12.562,1.6,20,0.0,6.3
426.0,75,310.8,6.3,0.0,52.9,101,0,0.2,4,6.2,4.7,10.9,0.999,0.0,0.0,0.0,0.0,0,0.66,12.560,1.6,20,0.0,6.3
429.0,75,312.0,6.3,0.0,52.9,101,0,0.0,4,6.3,4.7,11.0,0.999,0.0,0.0,0.3,0.0,11,0.71,12.564,1.6,20,0.0,6.3
432.0,75,309.3,6.3,0.0,52.9,101,0,0.0,4,6.3,4.7,11.0,0.999,0.0,0.0,0.0,0.0,2,0.67,12.561,1.6,20,0.0,6.3
435.0,75,311.4,6.3,0.0,52.9,101,0,0.2,4,6.2,4.7,11.0,0.999,0.0,0.0,0.0,0.0,0,0.66,12.560,1.6,20,0.0,6.3
438.0,75,312.0,6.3,0.0,52.9,101,0,0.0,4,6.3,4.7,11.0,0.999,0.0,0.0,0.2,0.0,8,0.70,12.563,1.6,20,0.0,6.3
