BlueDriver Data Log
Jul 26, 2018 6:00:04 PM
Time (s),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Fuel Level Input (%),Barometric Pressure (kPa),Vehicle Speed (MPH),Absolute Load Value (%),Ambient Air Temperature (°C),Engine RPM (rpm),Relative Throttle Position (%),Control Module Voltage (V),Intake Air Temperature (°C),Absolute Throttle Position (%)
0.0,,,,,,,,,,,,
2.7,,,,,,,,,,,,
5.4,,,,,,,,,,,,
8.1,,,,,,,,,,,,
10.8,,,,,,,,,,,,
13.5,,,,,,,,,,,,
16.2,,,,,,,,,,,,
18.9,,,,,,,,,,,,
21.6,,,,,,,,,,,,
24.3,,4.0,100.0,101,21,34.4,25,1362,0.3,14.280,,
27.0,47,4.0,100.0,101,21,20.5,25,1310,0.1,13.704,28,4.7
29.7,48,4.0,100.0,101,18,20.3,25,1200,0.1,13.760,28,5.2
32.4,48,5.9,100.0,101,11,28.6,25,1169,0.0,13.760,28,5.6
35.1,49,17.2,100.0,101,6,47.5,25,1329,3.3,13.698,28,12.3
37.8,49,44.5,100.0,101,12,63.1,25,1809,11.0,13.718,27,17.2
40.5,50,71.1,100.0,101,18,69.7,25,1579,13.0,13.741,27,18.6
43.2,51,98.0,100.0,101,24,59.3,25,1373,7.4,13.760,27,14.4
45.9,52,115.5,100.0,101,26,41.5,25,1172,3.3,13.760,27,10.2
48.6,52,132.2,100.0,101,26,41.6,25,1151,2.8,13.701,27,8.0
51.3,53,140.0,100.0,101,25,27.4,25,1183,0.1,13.680,27,5.7
54.0,54,140.0,100.0,101,22,25.9,25,1014,0.2,13.680,27,5.5
56.7,54,141.4,100.0,101,14,27.7,25,1160,0.0,13.680,27,5.9
59.4,54,146.7,100.0,101,5,32.6,25,982,0.0,13.680,27,6.0
62.1,55,148.9,100.0,101,0,36.3,25,875,2.3,13.715,27,7.6
64.8,55,160.6,100.0,101,4,55.4,25,1679,8.0,13.760,27,13.5
67.5,55,176.4,100.0,101,14,52.2,25,1492,8.4,13.680,27,11.5
70.2,56,184.0,100.0,101,17,23.4,25,1194,1.1,13.584,27,5.7
72.9,56,185.6,100.0,101,17,20.3,25,1216,0.3,13.379,27,4.6
75.6,57,188.0,100.0,101,16,18.8,25,1184,0.4,13.247,27,4.3
78.3,57,188.8,100.0,101,11,18.8,25,1128,0.1,13.026,27,5.0
81.0,57,194.3,100.0,101,10,34.2,25,1325,2.3,12.960,27,8.5
83.7,58,203.1,100.0,101,15,58.9,25,1616,8.6,12.984,27,14.6
86.4,58,218.3,100.0,101,20,65.7,25,1415,9.4,13.040,27,15.4
89.1,59,237.1,100.0,101,23,64.8,25,1415,9.5,12.884,27,15.5
91.8,59,257.5,100.0,101,27,65.0,25,1431,10.4,13.019,27,15.7
94.5,60,273.0,100.0,100,31,61.0,25,1429,9.0,13.003,27,13.4
97.2,60,288.9,100.0,100,34,54.1,25,1380,7.5,13.040,27,12.1
99.9,61,303.0,100.0,99,35,49.3,25,1228,4.5,12.977,27,9.0
102.6,62,313.2,100.0,99,36,51.2,25,1278,4.9,13.040,27,10.1
105.3,63,323.9,100.0,99,37,50.8,25,1300,4.7,13.107,26,10.6
108.0,63,335.0,100.0,99,38,50.7,25,1300,3.9,13.003,26,9.7
110.7,63,340.7,100.0,99,39,43.0,25,1203,3.2,12.880,26,7.6
113.4,64,348.1,100.0,99,39,47.8,25,1243,4.2,13.021,26,8.9
116.1,65,355.1,100.0,99,39,50.5,25,1333,5.3,13.040,26,10.2
118.8,65,365.2,100.0,99,41,47.5,25,1282,4.7,12.995,26,9.4
121.5,66,372.0,100.0,100,41,43.7,25,1240,0.5,13.026,26,6.7
124.2,66,369.4,100.0,101,39,28.5,25,1179,0.0,13.040,26,5.9
126.9,67,361.2,100.0,101,36,27.9,25,1200,0.1,12.977,26,6.3
129.6,67,348.6,100.0,101,34,24.5,25,1200,0.4,13.014,26,5.4
132.3,67,342.2,100.0,101,32,18.3,25,1210,0.4,13.010,26,4.3
135.0,67,333.2,100.0,101,30,20.0,25,1212,0.4,12.960,26,4.3
137.7,67,323.9,100.0,101,26,27.8,25,1220,0.0,12.995,26,6.1
140.4,67,320.0,100.0,101,20,29.0,25,1392,0.6,12.983,26,7.2
143.1,67,322.0,100.0,101,20,32.2,25,1373,1.6,13.035,26,11.0
145.8,67,330.3,100.0,100,21,54.2,25,1530,7.5,13.026,26,11.8
148.5,67,340.6,100.0,100,25,64.2,25,1444,9.6,12.960,26,14.7
151.2,67,358.4,100.0,100,28,67.9,25,1555,11.8,12.960,26,15.9
153.9,67,374.6,100.0,100,32,66.2,25,1511,10.4,12.984,26,16.4
156.6,67,389.7,100.0,100,33,59.8,25,1414,8.0,12.997,26,14.0
159.3,68,404.8,100.0,100,35,60.1,25,1387,7.1,12.960,26,13.2
162.0,68,415.2,100.0,99,36,54.3,25,1309,6.3,13.014,26,9.5
164.7,69,420.0,100.0,99,36,39.8,25,1186,1.3,12.960,26,5.7
167.4,69,417.9,100.0,101,36,21.3,25,1108,0.7,13.030,26,4.3
170.1,70,412.6,100.0,101,33,21.5,25,1212,0.0,12.925,26,5.5
172.8,70,402.3,100.0,101,30,26.6,25,1215,0.3,13.040,26,5.9
175.5,70,393.0,100.0,101,26,27.1,25,1212,0.1,13.040,25,6.1
178.2,70,383.1,100.0,101,23,27.3,25,1206,0.8,13.040,25,5.7
180.9,70,372.4,100.0,101,20,23.1,25,1156,0.4,12.944,25,5.1
183.6,70,364.6,100.0,101,18,20.9,25,1137,0.4,12.931,25,4.6
186.3,70,360.0,100.0,101,17,30.1,25,1144,2.0,12.987,26,5.7
189.0,70,360.9,100.0,101,17,49.5,25,1232,5.1,12.972,26,10.0
191.7,70,366.0,100.0,101,19,31.7,25,1179,1.0,12.850,25,7.9
194.4,70,368.0,100.0,101,19,25.6,25,1313,0.1,13.040,25,5.9
197.1,70,368.0,100.0,101,16,21.5,25,1350,0.1,13.067,25,6.7
199.8,70,368.0,100.0,101,17,21.9,25,1341,0.4,13.040,25,5.3
202.5,70,364.3,100.0,101,15,17.8,25,1174,0.3,13.040,25,4.4
205.2,70,364.0,100.0,101,11,24.6,25,1162,0.0,12.988,25,5.7
207.9,70,361.2,100.0,101,6,32.0,25,978,0.0,12.960,25,5.9
210.6,71,359.6,100.0,101,3,36.4,25,883,0.0,12.999,25,6.5
213.3,71,356.0,100.0,101,5,43.2,25,1621,6.4,13.040,25,10.8
216.0,71,361.5,100.0,101,12,56.3,25,1604,8.7,13.040,25,13.2
218.7,71,370.3,100.0,100,18,60.7,25,1384,8.6,12.969,25,13.1
221.4,72,379.2,100.0,99,22,53.1,25,1268,5.9,12.932,25,10.3
224.1,72,384.0,100.0,99,24,40.0,25,1117,2.2,12.986,25,5.8
226.8,72,384.0,100.0,100,23,25.2,25,1300,0.0,13.040,25,5.6
229.5,73,384.0,100.0,101,20,26.7,25,1265,0.0,13.040,25,5.9
232.2,73,384.0,100.0,101,15,31.4,25,1303,0.7,13.040,25,12.6
234.9,74,389.1,100.0,100,16,48.7,25,1668,7.0,13.040,25,11.8
237.6,74,395.7,100.0,100,19,28.1,25,1313,3.2,13.040,25,5.1
240.3,75,394.5,100.0,101,19,21.3,25,1138,0.4,12.975,25,5.2
243.0,75,392.0,100.0,99,19,37.0,25,1119,2.3,13.040,25,6.3
245.7,75,393.4,100.0,99,20,41.6,25,1149,3.2,12.810,25,7.7
248.4,75,396.0,100.0,99,20,37.8,25,1124,0.0,12.960,25,6.7
251.1,75,396.0,100.0,100,20,26.6,25,1150,0.4,12.980,25,5.5
253.8,75,395.1,100.0,101,20,20.5,25,1222,0.4,12.945,25,4.8
256.5,75,392.0,100.0,101,11,18.2,25,1061,0.1,12.807,25,3.9
259.2,75,387.5,100.0,101,4,23.4,25,866,0.4,12.959,25,4.6
261.9,75,384.0,100.0,101,3,38.7,25,1316,1.1,12.973,25,6.5
264.6,75,381.2,100.0,100,4,38.8,25,1283,1.0,13.040,25,10.0
267.3,75,384.3,100.0,99,9,55.2,25,1671,7.5,13.040,25,13.7
270.0,75,389.8,100.0,100,16,60.1,25,1412,7.5,12.972,25,13.6
272.7,75,398.8,100.0,100,20,43.7,25,1303,5.8,12.989,25,11.8
275.4,75,399.6,100.0,101,21,21.3,25,1241,0.4,12.878,25,4.6
278.1,76,396.0,100.0,101,20,17.6,25,1238,0.4,12.960,25,4.3
280.8,76,396.0,100.0,101,20,25.7,25,1177,1.9,13.040,25,5.9
283.5,76,395.0,100.0,101,20,28.2,25,1286,0.8,13.040,25,5.7
286.2,76,392.0,100.0,101,17,26.0,25,1269,0.1,13.029,25,5.8
288.9,76,392.0,100.0,101,12,21.8,25,1252,0.2,13.000,25,5.0
291.6,76,390.1,100.0,101,7,22.5,25,1028,0.4,13.040,25,4.4
294.3,77,384.9,100.0,101,5,24.2,25,826,0.0,13.026,25,3.5
297.0,77,379.7,100.0,101,0,34.0,25,796,0.0,12.960,25,4.4
299.7,77,376.0,100.0,101,3,38.8,25,1311,2.7,12.832,25,7.8
302.4,77,376.0,100.0,99,8,38.8,25,1599,4.3,12.894,25,9.8
305.1,77,380.0,100.0,99,13,52.2,25,1370,6.2,12.878,25,11.6
307.8,77,382.6,100.0,99,18,47.7,25,1292,5.4,12.918,25,9.8
310.5,77,388.0,100.0,100,20,41.9,25,1182,4.3,12.960,25,8.9
313.2,78,388.0,100.0,101,22,36.2,25,1134,4.6,13.040,25,8.3
315.9,78,388.0,100.0,101,22,23.5,25,1250,1.7,12.994,25,5.5
318.6,78,388.0,100.0,101,22,21.5,25,1003,0.1,13.001,25,4.4
321.3,78,384.7,100.0,101,21,23.8,25,1250,0.3,12.983,25,5.5
324.0,78,384.0,100.0,101,21,23.3,25,1359,0.3,13.040,25,5.1
326.7,78,384.0,100.0,101,17,16.7,25,1081,0.4,12.965,25,3.6
329.4,78,380.1,100.0,101,9,17.3,25,851,0.2,13.014,25,3.4
332.1,78,374.6,100.0,101,4,22.8,25,638,0.4,12.841,25,3.1
334.8,78,366.3,100.0,101,2,32.0,25,640,0.4,12.813,25,3.8
337.5,78,359.7,100.0,101,0,32.9,25,704,0.2,12.911,25,4.7
340.2,78,353.6,100.0,101,0,36.9,25,858,0.0,13.015,25,5.1
342.9,78,345.7,100.0,101,0,34.3,25,837,0.4,13.199,25,5.2
345.6,78,340.0,100.0,101,0,31.6,25,837,0.2,13.363,25,4.9
348.3,78,334.2,100.0,101,0,25.7,25,701,0.0,13.341,25,3.9
351.0,78,335.2,100.0,100,5,43.2,25,1528,6.6,13.261,25,9.8
353.7,78,336.0,100.0,101,11,19.2,25,1400,3.1,13.129,25,4.1
356.4,78,334.3,100.0,101,10,24.4,25,1151,0.0,12.974,25,5.4
359.1,78,332.0,100.0,101,7,30.5,25,1477,0.2,12.986,25,8.0
361.8,79,332.0,100.0,100,9,24.6,25,1451,0.4,13.040,25,5.8
364.5,79,332.0,100.0,101,9,16.8,25,1157,0.2,12.960,25,3.9
367.2,79,330.5,100.0,101,6,17.3,25,927,0.4,12.960,25,3.3
369.9,79,325.3,100.0,101,3,20.1,25,757,0.4,12.953,25,3.5
372.6,79,320.0,100.0,101,0,27.7,25,718,0.4,12.900,25,3.2
375.3,80,314.3,100.0,101,0,25.4,25,874,0.0,13.171,25,4.6
378.0,80,308.6,100.0,101,0,26.5,25,764,0.0,13.377,25,3.9
380.7,80,307.4,100.0,101,0,25.8,25,750,0.0,13.488,25,3.6
383.4,80,301.9,100.0,101,1,26.2,25,679,0.0,13.185,26,3.4
386.1,80,296.7,100.0,101,0,20.4,25,716,0.3,13.086,26,2.7
388.8,80,292.5,100.0,101,0,5.1,15,357,8.9,12.937,26,0.2
391.5,80,288.0,100.0,101,0,0.0,10,0,20.4,12.880,26,6.3
394.2,80,286.9,100.0,101,0,0.0,10,0,20.4,12.880,26,6.3
396.9,80,288.0,100.0,101,0,0.0,10,2,20.3,12.885,26,6.3
399.6,80,287.9,100.0,101,0,0.2,10,0,20.4,12.880,26,6.3
402.3,80,288.0,100.0,101,0,0.0,10,0,20.4,12.880,26,6.3
405.0,80,288.0,100.0,101,0,12.880,26,6.3
