BlueDriver Data Log
Dec 6, 2018 5:38:08 PM
Time (s),Accelerator Pedal Position E (%),Mass Air Flow Rate (g/s),Intake Air Temperature (°C),O2 Bank 1 - Sensor 2 - Oxygen Sensor Voltage (V),Absolute Throttle Position B (%),Fuel Level Input (%),Ambient Air Temperature (°C),Calculated Engine Load Value (%),Absolute Throttle Position (%),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Absolute Load Value (%),Long Term Fuel Trim Bank 1 (%),Commanded Throttle Actuator (%),Wide Range O2S: Bank 1 - Sensor 1 - Equivalence Ratio (λ),Short Term Fuel Trim Bank 1 (%),Relative Throttle Position (%),Commanded Evaporative Purge (%),Evap. System Vapor Pressure (Pa),Barometric Pressure (kPa),Vehicle Speed (km/h),Wide Range O2S: Bank 1 - Sensor 1 - Voltage (V),Timing Advance for #1 cylinder (°),Commanded Equivalence Ratio (λ),O2 Bank 1 - Sensor 2 - Short Term Fuel Trim (%),Engine RPM (rpm),Accelerator Pedal Position D (%),Control Module Voltage (V)
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.2,4.8,7.17,16,0.283,7.7,35.4,15,40.8,7.6,35,-30.2,29.0,-4.3,6.3,0.972,8.6,1.6,0.0,0.0,101,7,2.139,21.0,0.999,99.2,1356,4.5,12.931
34.4,7.5,9.24,15,0.303,9.7,35.7,15,51.6,9.4,38,0.0,31.4,-2.3,7.7,1.011,0.5,1.9,0.0,0.0,101,18,2.174,14.2,0.998,99.2,1530,6.3,12.960
51.6,1.2,6.32,15,0.281,6.7,36.5,15,29.5,7.1,42,0.0,29.1,-2.3,7.3,0.985,-1.4,2.4,7.4,40.0,101,19,2.174,16.1,0.996,99.2,1312,7.7,12.777
68.8,0.0,4.33,15,0.286,5.1,38.5,15,39.8,5.1,44,0.0,29.9,-9.4,5.1,1.009,1.2,0.4,0.0,0.9,101,3,2.208,6.6,0.998,99.2,966,0.0,12.857
86.0,20.3,27.08,15,0.383,25.8,36.8,15,82.5,25.1,48,36.4,73.0,-1.6,25.0,0.998,2.1,20.4,88.8,8.6,100,50,2.177,12.3,0.996,99.2,2282,20.4,12.960
103.2,0.8,4.12,15,0.881,4.7,36.1,14,13.0,5.6,55,260.6,22.7,-4.7,9.8,1.744,0.2,6.9,29.4,0.6,101,60,3.036,26.9,0.946,99.2,2028,1.4,12.909
120.4,0.0,3.75,15,0.069,4.7,38.8,14,27.4,4.3,57,237.5,26.8,-3.1,4.7,1.201,-3.1,0.4,0.0,0.0,101,16,2.926,0.4,0.394,99.2,960,0.0,12.960
137.6,4.9,4.82,15,0.720,6.2,38.8,14,29.1,6.8,57,220.0,27.6,-4.9,6.7,0.981,4.4,2.8,1.7,7.8,101,8,2.187,30.4,0.999,99.2,1198,5.6,12.894
154.8,21.6,23.58,15,0.741,27.0,36.5,14,83.6,26.2,59,322.6,74.4,-1.6,25.3,1.001,0.6,21.7,80.5,18.3,101,61,2.192,9.1,0.999,99.2,1889,20.1,12.880
172.0,15.3,16.47,15,0.823,18.8,34.9,14,78.8,19.0,64,418.0,54.1,-2.9,14.2,0.950,-2.9,9.3,15.2,7.1,101,79,2.687,20.7,0.995,99.2,1527,13.3,12.943
189.2,14.3,16.42,15,0.718,17.9,34.9,14,74.1,13.6,68,474.2,34.4,-2.3,9.2,0.972,-1.4,7.5,47.5,17.7,100,90,2.192,25.2,0.997,99.2,1714,11.9,12.897
206.4,23.9,29.56,15,0.715,33.7,34.9,14,87.6,33.2,71,514.0,76.3,-0.5,32.5,1.001,-0.3,28.2,0.0,0.0,101,97,2.185,12.2,1.003,99.2,2431,24.3,12.880
223.6,21.7,25.90,15,0.681,28.2,34.5,14,81.9,26.8,76,564.4,71.8,-0.8,25.2,0.996,0.7,20.0,74.0,2.1,100,108,2.175,15.4,1.004,99.2,2075,21.3,12.809
240.8,14.4,16.95,15,0.712,20.4,33.3,14,76.9,22.8,78,580.0,67.2,-0.8,22.4,0.993,1.6,19.8,90.7,6.2,100,113,2.184,14.5,1.006,99.2,2177,19.7,12.980
258.0,22.0,26.76,15,0.706,27.6,33.7,14,83.7,27.7,81,594.3,71.9,-0.8,24.8,1.004,0.5,21.0,58.7,28.1,100,112,2.187,13.2,1.003,99.2,2159,21.9,12.948
275.2,18.4,23.30,15,0.779,22.3,34.1,14,75.2,21.2,83,602.6,59.8,-2.2,22.2,1.003,2.3,18.8,89.8,12.1,100,114,2.178,17.5,1.000,99.2,2162,18.5,12.960
292.4,18.4,22.94,15,0.724,23.5,34.9,14,82.4,24.3,85,600.0,65.3,-1.7,23.3,0.999,2.3,20.7,89.6,19.9,100,114,2.192,21.0,1.003,99.2,2205,18.4,12.950
309.6,21.1,26.51,15,0.683,26.2,34.1,14,82.1,26.3,86,613.7,71.4,-0.8,25.9,1.001,1.6,21.8,79.4,3.4,100,118,2.179,14.5,1.010,99.2,2361,21.6,12.960
326.8,20.8,27.95,15,0.714,25.9,33.7,14,79.9,25.3,86,613.1,70.8,-1.0,25.7,1.001,0.0,21.6,16.5,0.3,101,130,2.186,16.2,0.999,99.2,2460,21.0,12.960
344.0,10.1,15.14,15,0.714,12.3,33.0,14,26.7,9.9,86,608.1,56.0,-0.8,21.4,0.935,5.1,18.0,22.5,12.5,101,126,2.122,18.4,1.010,99.2,2414,21.3,12.927
361.2,15.8,17.81,15,0.594,17.1,33.7,14,71.5,22.3,86,619.9,51.9,-2.9,13.4,1.001,1.3,10.6,40.1,29.9,100,115,2.199,18.4,0.997,99.2,2307,19.1,12.918
378.4,10.9,11.34,15,0.722,16.7,34.1,14,68.2,20.7,86,612.0,65.3,-0.8,21.2,1.004,1.6,17.1,79.2,25.8,100,117,2.197,26.0,0.998,99.2,2180,7.3,12.859
395.6,23.8,29.17,15,0.718,29.8,34.1,14,83.7,28.7,86,598.7,69.8,-2.2,28.2,0.994,1.2,23.7,88.3,1.9,100,110,2.196,11.2,1.001,99.2,2358,24.0,13.028
412.8,17.5,22.24,15,0.709,23.6,33.0,14,79.7,25.6,86,610.4,70.9,-1.2,28.1,1.003,1.6,24.0,87.4,4.9,100,112,2.182,15.4,0.999,99.2,2588,19.2,12.953
430.0,15.4,19.15,15,0.665,16.9,33.6,14,55.1,14.1,86,605.4,47.6,-3.1,14.9,1.016,1.9,10.5,0.2,0.0,101,112,2.170,19.8,1.000,99.2,2146,16.4,12.960
447.2,22.0,27.76,15,0.663,27.4,33.4,14,83.8,27.5,86,606.4,71.0,-0.8,26.2,0.999,-0.1,19.9,72.7,4.9,100,113,2.182,16.2,0.999,99.2,2376,21.6,12.960
464.4,17.0,21.42,15,0.645,19.2,32.3,14,65.7,18.3,86,600.0,55.0,-3.1,19.2,0.984,2.1,15.8,44.6,0.0,101,115,2.188,19.4,1.007,99.2,2190,17.6,12.960
481.6,25.3,33.32,15,0.702,34.8,32.3,14,84.1,34.2,86,614.1,74.1,-1.6,33.2,1.001,-0.2,28.6,85.5,0.0,100,121,2.209,15.2,0.996,99.2,2732,25.2,12.960
498.8,22.5,28.69,15,0.710,28.4,32.7,14,84.1,28.8,86,621.5,73.7,-1.6,28.7,1.005,-0.2,24.0,87.8,0.0,100,116,2.173,14.0,1.000,99.2,2483,22.6,12.948
516.0,23.9,31.69,15,0.711,32.0,33.4,14,81.6,31.9,86,632.3,73.6,-1.6,32.2,1.004,-0.7,26.6,85.7,0.0,100,123,2.189,16.5,0.996,99.2,2721,23.9,12.960
533.2,23.4,29.76,15,0.706,30.2,33.3,14,82.4,31.4,86,639.3,72.9,-1.6,32.6,0.999,0.8,27.3,70.5,6.3,100,127,2.200,17.6,1.001,99.2,2557,24.2,12.928
550.4,20.5,25.24,16,0.705,25.7,33.3,14,79.3,25.3,86,633.3,68.7,-0.8,24.8,1.007,0.4,20.6,36.0,7.6,101,120,2.201,16.3,0.997,99.2,2290,20.0,12.932
567.6,22.4,28.95,16,0.705,28.6,32.9,14,81.7,28.3,86,636.0,71.9,-1.6,28.6,0.997,0.6,22.4,81.6,0.6,100,127,2.195,16.7,1.001,99.2,2549,22.4,13.014
584.8,7.2,9.97,16,0.373,10.6,34.1,14,34.6,12.0,86,620.7,37.5,-0.4,13.6,0.987,0.5,1.9,0.4,0.0,101,134,2.860,-3.0,0.078,99.2,2458,4.6,12.960
602.0,14.0,16.55,16,0.791,17.0,34.9,14,59.4,17.7,86,581.0,56.2,-2.7,18.2,0.997,0.8,13.8,29.1,0.0,101,117,2.175,22.5,0.972,99.2,2266,17.1,12.907
619.2,18.8,23.20,16,0.726,21.3,33.7,14,74.8,21.4,86,592.0,65.8,-0.9,22.3,1.000,0.8,18.3,87.1,7.7,100,114,2.200,17.7,0.997,99.2,2175,18.6,12.960
636.4,18.0,22.45,16,0.705,21.1,33.2,14,74.8,21.0,87,592.0,65.1,-0.8,21.2,0.996,-0.6,16.8,85.3,3.7,100,112,2.197,18.3,0.995,99.2,2145,18.1,12.960
653.6,17.9,22.56,16,0.683,21.4,32.2,14,74.5,21.6,87,595.5,65.8,-1.2,22.5,1.011,0.6,18.1,0.0,0.0,101,115,2.205,17.8,0.998,99.2,2187,18.2,12.960
670.8,18.0,22.86,16,0.713,21.7,32.5,14,73.9,22.1,87,600.0,49.7,-2.8,16.5,1.004,2.0,17.8,58.1,2.8,100,120,2.181,22.5,0.995,99.2,2289,17.5,12.960
688.0,14.7,18.19,16,0.659,7.2,32.9,14,28.2,12.8,87,588.9,24.4,-4.8,9.3,1.653,0.5,6.8,24.2,0.0,101,116,2.174,28.8,0.990,99.2,2200,13.9,12.960
705.2,17.3,22.26,16,0.720,20.0,33.3,14,70.0,19.9,86,584.0,60.7,-3.1,19.7,0.999,1.6,14.9,92.3,2.1,100,121,2.177,21.2,1.001,99.2,2314,17.3,12.960
722.4,17.0,22.13,16,0.708,20.1,33.3,14,70.6,20.6,86,568.0,61.6,-1.7,20.3,1.002,1.0,15.3,66.8,1.6,100,115,2.194,20.4,0.998,99.2,2250,16.7,12.960
