BlueDriver Data Log
Dec 3, 2018 5:22:35 PM
Time (s),Accelerator Pedal Position E (%),Mass Air Flow Rate (g/s),Intake Air Temperature (°C),O2 Bank 1 - Sensor 2 - Oxygen Sensor Voltage (V),Absolute Throttle Position B (%),Fuel Level Input (%),Ambient Air Temperature (°C),Calculated Engine Load Value (%),Absolute Throttle Position (%),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Absolute Load Value (%),Long Term Fuel Trim Bank 1 (%),Commanded Throttle Actuator (%),Wide Range O2S: Bank 1 - Sensor 1 - Equivalence Ratio (λ),Short Term Fuel Trim Bank 1 (%),Relative Throttle Position (%),Commanded Evaporative Purge (%),Evap. System Vapor Pressure (Pa),Barometric Pressure (kPa),Vehicle Speed (km/h),Wide Range O2S: Bank 1 - Sensor 1 - Voltage (V),Timing Advance for #1 cylinder (°),Commanded Equivalence Ratio (λ),O2 Bank 1 - Sensor 2 - Short Term Fuel Trim (%),Engine RPM (rpm),Accelerator Pedal Position D (%),Control Module Voltage (V)
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.2,4.8,6.87,16,0.717,4.9,27.9,16,28.2,6.8,63,378.6,36.1,-3.3,10.2,1.361,-1.6,8.9,3.2,5.9,102,69,2.149,11.7,0.991,99.2,1577,16.6,12.960
34.4,0.1,4.02,16,0.713,4.9,29.3,16,22.7,5.0,65,380.0,19.7,-4.0,5.3,1.001,1.3,0.4,0.0,0.0,102,37,2.195,10.0,1.008,99.2,1189,0.0,12.968
51.6,0.0,2.78,16,0.737,3.9,29.9,16,30.8,3.9,65,344.1,23.8,-4.7,3.9,0.997,1.0,0.4,0.0,0.0,102,0,2.170,6.1,0.998,99.2,723,0.0,12.868
68.8,0.0,2.80,16,0.681,3.6,27.9,16,30.6,3.6,66,310.9,22.6,-4.7,3.7,1.002,0.8,0.4,6.0,0.0,102,0,2.144,12.2,0.998,99.2,739,0.0,12.816
86.0,0.0,3.10,17,0.701,3.5,26.2,16,30.4,4.7,66,280.2,29.3,-4.7,4.6,0.991,-4.6,0.4,7.5,16.5,102,0,2.221,8.2,1.003,99.2,735,0.0,12.829
103.2,0.0,2.54,17,0.710,3.1,25.5,16,28.2,3.1,66,251.7,22.0,-4.7,3.5,0.995,-0.8,0.4,5.5,0.0,102,0,2.195,12.6,0.999,99.2,685,0.0,12.924
120.4,9.6,8.96,17,0.804,7.5,25.3,16,39.2,6.7,66,233.1,29.1,-4.2,5.0,0.979,0.4,1.2,12.3,1.5,102,0,2.162,10.9,0.998,99.2,787,11.8,12.880
137.6,9.2,9.56,17,0.802,11.4,24.4,16,60.6,16.5,67,291.6,48.0,-1.4,9.1,0.990,-2.3,0.8,3.2,6.9,102,44,2.355,9.1,1.113,99.2,1179,6.6,12.960
154.8,10.1,9.78,16,0.803,5.7,25.8,16,27.3,5.2,69,342.1,21.3,-3.8,4.5,1.404,-2.4,0.4,0.0,0.0,102,49,2.518,-5.8,0.846,99.2,1261,9.3,12.878
172.0,8.7,7.82,17,0.760,7.5,28.2,16,37.0,8.4,69,320.0,40.3,-0.8,9.1,0.976,-6.5,5.0,47.9,0.4,101,11,2.184,33.4,1.002,99.2,1552,9.4,12.785
189.2,4.9,4.96,17,0.705,4.3,27.1,16,19.4,4.6,71,351.3,21.4,-3.2,6.0,1.712,-0.5,2.7,0.0,0.0,102,39,2.908,16.9,0.598,99.2,1221,3.2,12.937
206.4,14.3,14.53,17,0.758,14.5,28.2,16,70.2,14.6,71,338.6,61.1,-0.3,14.8,1.016,-0.5,11.0,0.0,0.0,102,22,2.204,19.6,0.989,99.2,1673,15.2,12.960
223.6,0.0,4.30,16,0.725,5.0,28.9,16,26.7,5.8,72,344.0,25.7,-3.9,6.0,1.004,-0.3,0.4,1.8,7.3,102,27,2.206,12.9,1.005,99.2,1238,0.0,12.914
240.8,5.6,6.42,17,0.303,4.2,29.9,16,20.8,4.2,73,331.1,15.1,-3.9,3.9,0.966,6.2,0.8,14.7,1.6,102,21,2.158,10.5,0.984,99.2,1233,4.3,12.960
258.0,5.0,4.74,17,0.721,5.1,29.0,16,25.6,4.1,73,334.7,19.6,-5.1,4.5,1.007,4.9,0.4,1.5,1.9,102,32,2.143,8.8,0.991,99.2,1158,1.2,12.974
275.2,0.0,3.19,17,0.705,4.4,29.0,16,26.0,5.3,73,314.5,27.7,-5.0,6.2,1.000,-0.4,2.0,0.0,0.0,102,12,2.215,37.9,0.997,99.2,1281,0.0,12.880
292.4,0.0,0.91,17,0.641,5.2,28.2,6,6.6,3.6,73,290.1,43.3,6.3,2.8,1.348,0.0,0.0,0.0,0.0,102,0,2.516,11.0,0.999,99.2,0,0.0,12.567
309.6,0.0,0.68,17,0.645,6.3,28.2,1,0.0,6.3,73,288.0,0.0,6.3,6.7,1.336,0.0,0.0,0.0,0.0,102,0,2.516,11.0,0.999,99.2,0,0.0,12.560
