BlueDriver Data Log
Oct 16, 2018 6:10:40 PM
Time (s),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Absolute Throttle Position B (%),Evap. System Vapor Pressure (Pa),Fuel Level Input (%),Barometric Pressure (kPa),Vehicle Speed (km/h),Absolute Load Value (%),Ambient Air Temperature (°C),Long Term Fuel Trim Bank 1 (%),Commanded Throttle Actuator (%),Commanded Equivalence Ratio (λ),Timing Advance for #1 cylinder (°),Accelerator Pedal Position E (%),Short Term Fuel Trim Bank 1 (%),Calculated Engine Load Value (%),Accelerator Pedal Position D (%),Engine RPM (rpm),Mass Air Flow Rate (g/s),Relative Throttle Position (%),Control Module Voltage (V),Intake Air Temperature (°C),Commanded Evaporative Purge (%),Absolute Throttle Position (%)
0.0,,,,,,,,,,,,,,,,,,,,,,,,
3.0,42,0.0,5.5,1.6,71.8,102,3,26.2,26,-4.6,5.1,0.999,17.2,0.0,2.9,31.9,0.0,934,3.95,0.4,,,,
6.0,43,0.0,6.0,1.6,71.8,102,5,28.8,26,-1.6,6.5,0.999,25.6,0.1,2.3,28.4,0.0,1347,5.00,0.4,14.400,26,0.0,4.8
9.0,43,0.0,5.8,0.0,71.8,102,8,25.0,26,-2.1,7.4,0.999,26.9,5.3,0.2,31.8,4.0,1525,6.70,1.2,14.400,26,0.0,6.2
12.0,43,0.0,7.6,0.0,72.1,102,12,24.6,26,-1.6,7.2,0.998,25.4,3.4,-0.1,30.8,4.0,1544,7.12,1.7,14.285,26,0.0,8.0
15.0,44,0.0,5.9,0.0,72.2,102,15,22.2,26,-1.6,6.2,0.998,18.8,0.0,0.6,26.0,0.0,1367,4.96,0.4,13.774,26,0.0,5.1
18.0,44,0.0,4.8,0.0,72.3,102,14,22.7,26,-1.6,5.6,0.998,10.5,0.0,0.1,25.0,0.0,1098,3.96,0.4,13.598,26,0.0,5.1
21.0,44,0.0,5.3,0.0,72.5,102,8,36.7,26,-1.8,10.8,0.997,20.6,7.4,-1.0,36.1,5.6,1494,7.80,2.0,13.420,26,0.0,5.6
24.0,45,0.0,7.0,0.0,72.5,102,15,31.9,26,-1.6,8.4,0.997,22.5,6.5,-0.4,38.9,7.2,1709,10.15,3.3,13.242,26,0.0,7.1
27.0,46,0.0,5.6,0.0,72.7,102,18,25.2,26,-1.6,5.9,0.997,18.4,0.0,1.4,27.4,0.0,1307,4.91,0.4,13.056,26,0.0,5.5
30.0,46,0.0,4.7,0.0,72.9,102,18,19.6,26,-1.6,5.0,0.996,11.9,0.0,0.0,23.5,0.0,1182,4.02,0.4,12.859,26,0.0,4.8
33.0,47,0.0,4.7,1.5,73.0,102,16,20.1,25,-1.9,4.7,0.996,10.1,0.0,1.6,24.4,0.0,1151,4.02,0.4,12.752,26,0.0,4.7
36.0,47,0.0,4.7,5.6,73.3,102,4,24.3,25,-7.0,4.7,0.998,6.0,0.0,-0.5,30.8,0.0,988,3.94,0.4,12.720,26,0.0,4.7
39.0,48,0.0,4.7,0.0,73.6,102,1,25.3,25,-7.0,4.7,0.999,4.7,0.0,0.6,34.5,0.0,847,3.79,0.4,12.733,26,0.0,4.7
