BlueDriver Data Log
Oct 9, 2018 6:20:58 PM
Time (s),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Absolute Throttle Position B (%),Evap. System Vapor Pressure (Pa),Fuel Level Input (%),Barometric Pressure (kPa),Vehicle Speed (km/h),Absolute Load Value (%),Ambient Air Temperature (°C),Long Term Fuel Trim Bank 1 (%),Commanded Throttle Actuator (%),Commanded Equivalence Ratio (λ),Timing Advance for #1 cylinder (°),Accelerator Pedal Position E (%),Short Term Fuel Trim Bank 1 (%),Calculated Engine Load Value (%),Accelerator Pedal Position D (%),Engine RPM (rpm),Mass Air Flow Rate (g/s),Relative Throttle Position (%),Control Module Voltage (V),Intake Air Temperature (°C),Commanded Evaporative Purge (%),Absolute Throttle Position (%)
0.0,,,,,,,,,,,,,,,,,,,,,,,,
3.0,37,12.0,8.4,6.4,91.0,101,19,36.8,26,0.0,9.2,0.998,12.4,2.6,-3.1,48.3,0.3,1390,6.82,0.4,14.379,,,
6.0,38,12.0,7.1,6.4,91.0,101,19,30.9,26,0.0,7.3,0.998,3.8,0.0,-3.0,37.3,1.5,1262,6.57,1.1,13.751,26,0.0,6.8
9.0,38,12.0,6.6,2.6,91.0,101,17,28.8,26,0.0,6.7,0.998,3.0,0.2,-1.7,39.1,0.3,1240,6.48,1.2,13.482,26,0.0,6.9
12.0,39,12.0,7.8,0.4,91.0,101,14,40.0,26,0.0,7.4,0.997,24.9,3.5,-3.5,37.8,3.8,1264,7.65,2.4,13.265,26,0.0,8.6
15.0,41,12.0,11.7,7.4,91.0,101,17,46.0,26,0.0,8.6,0.997,27.3,3.4,-3.9,38.8,4.7,1321,8.27,3.3,13.030,26,0.0,12.5
18.0,42,12.0,8.8,3.8,91.0,101,18,41.3,26,0.0,9.3,0.997,13.0,0.0,-2.3,40.5,0.0,1409,6.60,0.4,13.007,26,0.0,8.5
21.0,42,16.0,8.6,0.0,91.0,101,18,29.1,26,0.0,6.3,0.996,10.6,0.1,-2.3,32.4,0.0,1268,6.37,5.5,12.960,26,0.0,10.9
24.0,42,25.6,13.1,0.0,91.0,101,18,40.8,26,0.0,7.6,0.996,18.8,0.0,-1.9,32.0,0.5,1402,6.16,5.0,12.960,26,0.0,12.2
27.0,43,39.5,5.6,0.0,91.0,101,19,27.1,25,0.0,6.4,0.996,17.7,0.0,-2.9,29.2,0.5,1422,5.72,0.3,12.960,26,0.0,6.3
30.0,44,47.6,6.0,0.0,91.0,101,19,23.4,25,0.0,5.9,0.996,10.8,0.0,-4.8,26.1,0.0,1230,4.92,0.0,12.975,25,0.0,6.3
33.0,44,56.5,6.3,0.0,91.0,101,15,28.4,25,-0.3,6.7,0.996,6.5,0.0,-5.5,36.3,0.0,1168,5.86,0.3,12.960,25,0.0,6.3
36.0,45,64.5,6.3,0.0,91.0,101,4,33.0,25,-3.1,6.4,0.996,4.3,0.0,-5.0,43.7,0.0,987,5.49,0.4,12.861,25,0.0,6.2
39.0,46,67.7,5.9,0.0,91.0,101,1,35.7,25,-3.1,6.1,0.998,2.8,0.0,-3.0,47.2,0.0,858,5.12,0.4,12.764,25,0.0,5.9
42.0,47,70.6,5.9,0.0,91.0,101,0,36.2,25,-3.1,5.9,0.999,2.2,0.0,-0.2,46.0,0.0,850,4.94,0.4,12.967,25,0.0,5.9
