BlueDriver Data Log
Sep 18, 2018 7:09:26 AM
Time (s),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Absolute Throttle Position B (%),Evap. System Vapor Pressure (Pa),Fuel Level Input (%),Barometric Pressure (kPa),Vehicle Speed (MPH),Absolute Load Value (%),Ambient Air Temperature (°C),Long Term Fuel Trim Bank 1 (%),Commanded Throttle Actuator (%),Commanded Equivalence Ratio (λ),Timing Advance for #1 cylinder (°),Accelerator Pedal Position E (%),Short Term Fuel Trim Bank 1 (%),Calculated Engine Load Value (%),Accelerator Pedal Position D (%),Engine RPM (rpm),Mass Air Flow Rate (g/s),Relative Throttle Position (%),Control Module Voltage (V),Intake Air Temperature (°C),Commanded Evaporative Purge (%),Absolute Throttle Position (%)
0.0,,,,,,,,,,,,,,,,,,,,,,,,
2.8,37,2.8,5.1,0.0,93.3,101,1,29.9,12,-5.5,5.2,0.999,0.6,0.0,6.7,39.4,0.0,862,4.72,0.8,,,,
5.6,38,7.9,5.7,0.0,93.3,101,2,31.0,12,-4.3,5.7,0.999,4.6,0.3,8.5,36.3,0.0,1057,5.02,1.7,13.510,14,0.0,5.5
8.4,38,15.6,6.9,0.0,93.3,101,3,36.9,12,0.5,6.6,0.999,27.8,4.5,-1.8,40.3,3.4,1211,6.74,1.8,13.302,14,0.0,6.9
11.2,39,26.9,9.2,0.0,93.3,101,6,36.2,12,0.8,8.1,0.998,26.5,5.7,-2.7,42.4,5.6,1379,8.22,1.6,13.107,14,0.0,9.3
14.0,40,38.9,7.7,0.0,93.3,101,7,32.2,12,0.8,7.9,0.998,20.1,4.8,-2.2,40.4,5.0,1488,8.34,1.6,13.048,14,0.0,7.4
16.8,40,47.7,6.5,0.0,93.3,101,5,29.3,12,-0.5,5.8,0.998,12.6,0.0,-1.6,31.1,0.0,1021,5.43,1.6,13.102,14,0.0,7.0
19.6,40,53.0,6.1,0.0,93.3,101,0,36.8,12,-5.5,5.5,0.999,0.0,0.0,-1.0,40.7,0.0,914,4.85,1.1,13.120,14,0.0,6.0
22.4,41,56.0,5.1,0.0,93.3,101,0,31.4,12,-5.5,5.2,0.999,1.3,0.0,3.6,40.9,0.0,856,4.42,0.8,13.092,14,0.0,5.1
25.2,42,54.8,5.1,0.0,93.3,101,0,29.9,12,-5.5,5.1,0.999,3.1,0.0,6.2,37.9,0.0,843,4.28,0.7,13.019,14,0.0,5.1
28.0,42,58.5,5.1,0.0,93.3,101,0,29.0,12,-5.5,5.1,0.999,4.5,0.0,5.0,36.8,0.0,827,4.28,0.4,12.889,14,0.0,5.1
30.8,42,60.0,5.0,0.0,93.3,101,0,28.7,12,-5.5,5.1,0.999,4.5,0.0,6.2,36.6,0.0,850,3.94,0.7,12.986,14,0.0,4.9
33.6,43,60.5,4.7,0.0,93.3,101,0,27.5,12,-5.5,4.7,0.999,5.8,0.0,5.3,35.8,0.0,832,3.79,0.8,13.012,14,0.0,4.6
36.4,43,62.4,4.7,0.0,93.3,101,0,27.2,12,-5.5,4.7,0.999,7.1,0.0,4.5,35.2,0.0,818,3.73,0.8,12.960,14,0.0,4.3
39.2,43,64.0,5.0,0.0,93.3,101,0,26.7,12,-5.5,4.7,0.999,8.8,0.0,4.0,35.1,0.0,873,4.92,0.4,13.078,14,0.0,4.9
42.0,43,63.2,5.5,0.0,93.3,101,0,32.5,12,-1.7,9.8,0.998,10.2,8.5,-0.8,49.0,6.0,1171,8.92,2.9,13.040,14,1.3,5.5
