BlueDriver Data Log
Oct 30, 2018 6:10:36 PM
Time (s),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Absolute Throttle Position B (%),Evap. System Vapor Pressure (Pa),Fuel Level Input (%),Barometric Pressure (kPa),Vehicle Speed (km/h),Absolute Load Value (%),Ambient Air Temperature (°C),Long Term Fuel Trim Bank 1 (%),Commanded Throttle Actuator (%),Commanded Equivalence Ratio (λ),Timing Advance for #1 cylinder (°),Accelerator Pedal Position E (%),Short Term Fuel Trim Bank 1 (%),Calculated Engine Load Value (%),Accelerator Pedal Position D (%),Engine RPM (rpm),Mass Air Flow Rate (g/s),Relative Throttle Position (%),Control Module Voltage (V),Intake Air Temperature (°C),Commanded Evaporative Purge (%),Absolute Throttle Position (%)
0.0,,,,,,,,,,,,,,,,,,,,,,,,
3.0,46,0.0,5.4,0.0,74.6,101,11,23.1,24,-1.6,5.5,0.997,12.0,0.0,1.8,26.5,0.1,1193,4.44,0.4,,,,
6.0,46,0.0,5.1,0.0,74.8,101,11,21.8,23,-1.6,5.5,0.997,12.0,0.0,2.3,25.5,0.4,1234,4.47,0.4,12.960,24,0.0,5.5
9.0,46,0.0,5.2,0.0,74.5,101,12,21.2,23,-1.6,5.5,0.996,11.6,0.0,3.5,25.8,0.1,1199,4.41,0.4,12.960,24,0.0,5.4
12.0,47,0.0,5.5,0.0,74.5,101,10,23.8,23,-1.6,7.0,0.996,21.6,3.1,0.4,29.8,2.5,1284,5.37,0.9,12.960,23,0.2,5.1
15.0,48,0.0,8.4,0.0,74.3,101,13,30.9,23,-1.6,8.7,0.996,29.7,7.2,-4.5,37.5,7.0,1529,8.16,2.7,12.960,23,6.0,9.2
18.0,48,0.0,8.7,0.3,74.1,101,17,37.0,23,-1.6,9.6,0.996,14.5,7.4,-3.0,47.0,5.3,1235,6.83,1.0,13.002,23,2.5,7.6
21.0,48,0.0,6.4,1.2,74.1,101,20,22.7,23,-1.6,5.5,0.996,12.5,1.8,0.3,31.8,1.8,1221,5.38,0.4,13.040,23,0.0,5.9
24.0,49,0.0,7.1,4.1,74.5,101,8,32.3,23,-1.6,9.5,0.996,14.9,5.3,-0.2,35.5,4.5,1456,7.29,2.0,13.032,23,2.6,6.1
27.0,50,0.0,7.1,1.5,74.3,101,15,32.1,23,-1.6,9.7,0.996,16.6,8.3,-1.9,45.0,9.1,1757,11.96,5.5,12.960,23,13.5,10.9
30.0,50,0.0,6.3,0.0,74.2,101,20,27.3,23,-1.6,6.2,0.996,14.0,0.0,0.0,29.4,0.0,1224,4.63,0.8,12.960,23,5.2,7.7
33.0,51,0.0,5.1,0.3,74.5,101,20,22.0,23,-1.6,5.1,0.996,12.4,0.0,1.6,28.3,0.0,1140,4.42,0.6,12.960,23,0.0,5.4
36.0,51,0.0,5.1,3.4,74.5,101,16,22.0,23,-1.6,5.1,0.996,11.5,0.0,2.3,27.1,0.0,1101,4.23,0.4,12.960,23,0.0,5.1
39.0,52,0.0,5.1,1.3,74.6,101,9,24.2,23,-2.3,5.1,0.997,9.6,0.0,2.1,27.8,0.0,1093,4.14,0.4,12.959,23,0.0,5.1
42.0,52,0.0,5.0,0.0,74.8,101,0,28.2,23,-3.9,5.1,0.999,4.2,0.0,0.8,36.1,0.0,841,3.87,0.4,12.884,23,0.0,4.9
45.0,52,0.0,4.7,0.0,74.9,75,0,27.2,23,-3.9,4.9,0.999,4.2,0.0,1.7,35.8,0.0,817,3.76,0.5,12.880,23,0.0,4.7
48.0,53,0.0,7.1,5.1,74.9,101,1,36.2,23,-3.0,7.6,0.998,8.0,2.9,2.2,38.1,1.8,899,4.36,0.8,12.881,23,0.0,4.3
51.0,53,0.0,11.1,6.0,74.8,101,6,51.7,23,-1.4,13.3,0.996,19.5,14.4,-2.3,58.1,14.3,1829,15.17,6.7,12.938,23,11.2,10.0
54.0,53,0.0,14.3,0.0,74.5,101,24,66.5,23,-0.0,17.5,0.996,8.4,16.9,-3.3,74.1,17.0,1681,17.12,13.3,12.996,23,44.3,17.3
57.0,54,0.0,5.1,0.0,74.5,101,32,33.3,23,-4.2,10.5,1.063,9.1,10.4,-3.9,61.4,12.5,1480,15.11,15.2,13.028,23,85.7,22.7
60.0,55,0.0,5.1,1.4,74.3,101,34,18.3,23,-5.7,5.1,1.085,14.2,0.0,-3.0,22.1,0.0,1279,3.95,0.4,12.960,23,0.0,4.7
63.0,55,1.5,5.0,1.7,74.1,101,30,19.6,23,-3.1,5.1,0.996,11.5,0.0,1.6,23.1,0.0,1151,3.80,0.7,12.908,23,0.0,4.7
66.0,56,4.5,4.7,0.0,74.1,101,24,19.6,23,-3.1,4.7,0.996,10.5,0.0,3.4,23.5,0.0,1138,3.82,0.6,12.910,23,0.0,4.7
69.0,57,11.9,4.7,0.0,74.4,101,12,24.6,23,-3.5,4.7,0.997,6.9,0.0,2.2,27.6,0.0,1044,3.80,0.4,12.950,23,0.0,4.7
72.0,57,14.3,4.7,0.0,74.7,101,3,27.7,23,-3.9,4.7,0.999,1.6,0.0,-2.9,36.5,0.0,788,3.61,0.8,12.845,23,0.0,4.4
75.0,57,17.2,4.6,0.6,74.9,101,0,26.6,23,-3.9,4.7,0.999,2.6,0.0,2.3,34.0,0.0,769,3.41,0.8,12.865,23,0.0,4.3
78.0,57,20.0,4.3,2.5,74.9,101,0,25.1,23,-3.9,4.4,0.999,4.9,0.0,1.9,33.1,0.0,757,3.23,0.8,12.880,23,0.0,4.2
81.0,58,20.0,4.0,2.5,74.9,101,0,24.6,23,-3.9,4.1,0.999,6.7,0.0,1.8,32.0,0.0,748,3.08,0.8,12.880,23,0.0,3.9
84.0,58,22.3,3.9,1.2,74.7,101,0,24.0,23,-3.9,3.9,0.999,7.2,0.0,2.3,31.4,0.0,737,2.96,0.8,12.881,23,0.0,3.9
87.0,58,24.0,3.9,1.0,74.4,101,0,23.5,23,-3.9,3.9,0.999,8.5,0.0,2.3,31.0,0.0,741,2.88,0.8,12.930,23,0.0,3.9
90.0,59,24.0,3.9,3.3,74.1,101,0,23.5,23,-3.9,3.9,0.999,9.2,0.0,2.3,30.8,0.0,731,2.85,0.8,12.960,23,0.0,3.9
93.0,59,23.8,3.9,0.0,73.8,101,0,24.0,23,-0.3,6.2,0.998,15.9,5.6,1.2,39.3,4.4,987,5.36,2.2,12.931,23,0.5,4.1
96.0,59,33.6,11.6,0.0,73.3,101,8,38.0,23,2.1,10.9,0.996,22.2,15.1,-0.9,58.0,14.9,1686,13.79,10.2,12.721,23,11.7,15.6
99.0,59,55.3,20.4,0.0,72.8,101,22,66.1,23,-0.8,18.6,0.996,7.0,19.1,-1.6,80.1,19.0,1734,18.09,15.9,12.866,23,53.4,20.4
102.0,59,87.4,26.8,0.0,72.5,101,32,73.4,23,-0.8,26.5,0.996,8.7,21.2,1.3,82.7,21.5,1841,21.33,21.0,12.907,23,91.6,25.9
105.0,60,154.6,28.8,0.0,72.3,101,41,75.1,23,-0.8,29.0,0.996,9.9,23.1,2.6,84.4,23.1,1967,23.47,24.6,12.809,23,90.9,28.6
108.0,61,180.0,30.0,0.4,72.0,101,48,75.8,23,-0.8,31.3,0.996,10.5,24.3,1.6,84.7,24.3,2074,24.64,27.4,12.960,23,89.8,30.6
111.0,62,217.5,31.1,1.8,71.8,101,52,75.3,23,-0.8,31.0,0.996,10.5,24.2,0.8,85.2,24.3,2084,25.15,27.5,12.960,23,89.6,31.4
114.0,63,256.8,29.7,3.9,71.8,101,56,75.0,23,-0.8,31.6,0.996,10.8,24.1,0.8,85.0,23.9,2156,25.59,24.0,12.931,23,70.8,27.1
117.0,64,293.8,11.7,0.0,72.1,101,57,41.7,23,-2.1,17.7,1.002,22.9,19.4,-0.2,70.3,20.2,2181,23.31,16.9,12.874,23,19.2,13.7
120.0,65,304.5,8.2,0.0,72.2,101,57,15.8,23,-3.6,4.6,0.776,33.7,10.0,-2.1,35.8,11.3,2044,14.04,2.0,12.801,23,4.8,7.5
123.0,66,308.3,4.6,0.0,72.2,101,53,10.4,23,-4.6,4.3,0.002,-10.9,0.0,0.0,12.3,0.0,1733,6.50,1.0,12.897,23,0.0,4.7
126.0,67,299.4,4.3,0.0,72.2,101,48,12.5,23,-3.1,4.3,0.000,-9.9,0.0,0.0,15.5,0.0,1499,3.47,0.4,12.960,23,0.0,4.3
129.0,67,295.7,4.3,0.0,72.4,101,45,15.3,23,-3.1,4.5,0.000,-8.8,0.0,0.0,18.6,0.0,1282,3.51,0.4,12.977,23,0.0,4.3
132.0,67,290.2,4.3,0.0,72.7,101,39,18.0,23,-3.1,4.9,0.000,-7.7,0.3,0.0,20.5,0.7,1220,3.71,0.4,13.040,23,0.0,4.3
135.0,67,288.0,12.0,0.0,73.2,101,35,31.8,23,-2.6,7.7,0.116,-6.7,1.2,0.0,23.5,5.1,1175,5.03,4.3,12.981,23,3.1,12.3
138.0,67,295.1,21.7,2.4,73.7,101,38,73.7,23,-0.0,22.4,1.004,11.0,14.1,-1.6,63.7,14.2,1517,14.03,12.6,12.845,23,27.9,19.3
141.0,67,319.0,23.8,13.9,73.3,100,52,73.1,23,-0.5,23.8,1.001,11.3,19.5,-0.6,82.9,19.7,1779,20.70,19.6,12.769,23,66.4,22.8
144.0,68,343.1,24.1,12.0,73.3,100,58,72.6,23,-0.8,24.6,0.999,11.8,20.3,1.6,82.7,20.4,1881,21.80,20.8,12.960,23,91.0,24.2
147.0,68,368.9,24.0,8.9,73.2,100,66,71.4,23,-0.8,23.7,0.999,13.0,20.0,1.6,82.5,20.3,1933,21.99,20.5,12.960,23,90.5,23.6
150.0,69,390.0,21.3,5.2,72.9,100,72,67.4,23,-0.8,18.4,1.001,13.7,17.3,-0.0,73.4,15.8,1740,15.18,11.6,12.960,23,59.1,17.3
153.0,69,399.4,5.1,5.2,72.5,101,72,33.7,23,-2.3,10.6,1.006,28.7,11.0,-1.1,51.1,9.8,1505,8.08,2.0,12.979,23,0.0,4.7
156.0,70,397.3,4.6,2.1,72.5,101,70,17.8,23,-3.1,5.5,0.680,30.0,4.1,-1.3,24.8,4.1,1313,4.55,0.8,13.040,23,0.0,4.3
159.0,70,391.2,4.3,0.0,72.5,101,67,16.6,23,-3.1,4.7,0.046,-8.0,0.0,0.0,20.4,0.0,1200,3.61,0.4,12.983,23,0.0,4.3
162.0,71,384.9,5.0,2.6,72.5,101,62,17.3,23,-3.1,4.3,1.118,20.2,2.9,0.0,21.2,5.0,1164,6.31,4.1,12.995,23,1.0,6.9
165.0,71,390.9,12.9,52.3,72.5,101,62,45.3,23,-2.6,9.5,1.054,29.8,2.3,-0.7,24.3,5.1,1168,6.96,6.6,13.025,23,2.8,12.3
168.0,71,394.7,7.4,20.1,72.5,101,62,39.0,23,-2.6,10.1,1.044,27.1,0.0,-0.5,26.7,0.0,1229,3.68,1.6,12.960,23,0.0,4.7
171.0,71,394.2,8.8,0.7,72.6,101,62,25.4,23,-2.8,6.6,1.107,24.4,0.0,3.9,19.6,0.0,1262,3.59,1.0,12.960,23,0.0,4.7
174.0,71,393.4,13.7,1.6,72.9,101,60,58.0,23,-1.6,13.3,1.013,19.9,5.2,0.2,30.7,4.6,1314,5.36,2.5,12.960,23,0.0,4.7
177.0,71,398.8,3.1,0.0,72.5,101,61,55.9,23,-1.1,16.6,1.013,13.0,12.9,-2.9,56.7,12.2,1435,10.37,8.3,12.948,23,0.4,5.9
180.0,71,412.4,20.2,0.0,72.3,101,66,64.4,23,-1.1,23.9,1.007,6.5,21.0,-3.6,88.3,21.4,1679,20.14,25.1,12.880,23,5.5,30.5
183.0,71,433.2,33.4,0.0,72.1,101,72,77.0,23,-1.5,33.6,0.994,11.5,25.1,1.6,86.6,25.4,2322,27.93,29.0,12.934,23,2.3,33.2
186.0,72,459.3,36.0,0.0,71.8,101,78,77.6,23,-0.8,35.6,1.001,11.5,25.4,-0.2,87.5,26.0,2341,28.66,31.8,12.960,23,0.0,36.6
189.0,72,484.3,39.2,0.0,71.8,101,86,77.1,23,-0.8,37.8,0.996,12.1,26.4,-0.4,87.8,26.9,2382,29.39,33.3,12.935,23,15.7,38.8
