BlueDriver Data Log
Jul 10, 2018 5:59:02 PM
Time (s),Calculated Engine Load Value (%),Vehicle Speed (MPH),Engine RPM (rpm),Absolute Throttle Position (%)
816.0,27.5,12,1249,5.1
816.8,27.3,12,1207,5.1
817.6,28.2,12,1221,5.3
818.4,28.1,12,1244,5.5
819.2,27.3,12,1292,5.3
820.0,24.9,12,1252,4.4
820.8,20.4,12,1198,3.9
821.6,19.6,12,1140,3.6
822.4,18.5,12,1025,3.2
823.2,19.6,11,923,3.1
824.0,20.2,11,1008,3.5
824.8,18.3,11,1141,3.2
825.6,17.6,11,1073,3.3
826.4,18.5,10,944,3.1
827.2,21.2,9,925,3.1
828.0,21.2,7,924,3.1
828.8,21.4,5,905,3.1
829.6,22.4,3,838,3.1
830.4,26.3,2,732,3.5
831.2,40.8,1,727,4.1
832.0,32.4,1,690,3.5
832.8,30.6,0,647,3.3
833.6,33.3,1,680,3.5
834.4,30.5,1,689,3.1
835.2,27.9,2,715,2.7
836.0,25.8,2,735,2.7
836.8,28.5,2,737,3.8
837.6,35.8,2,785,4.0
838.4,36.1,1,720,3.9
839.2,38.6,1,724,4.6
840.0,43.2,0,712,4.7
840.8,42.0,0,744,4.7
841.6,41.0,0,809,5.1
842.4,43.3,0,808,5.5
843.2,42.6,0,920,5.5
844.0,38.9,1,993,5.3
844.8,42.2,1,996,5.4
845.6,40.0,2,964,5.5
846.4,41.6,1,865,5.5
847.2,43.4,1,846,5.9
848.0,43.1,0,862,5.4
848.8,40.1,0,844,4.8
849.6,32.4,0,848,4.1
850.4,30.6,0,822,3.9
851.2,30.2,0,787,3.9
852.0,33.2,0,775,3.8
852.8,31.0,0,768,3.5
853.6,30.2,0,745,3.5
854.4,29.7,0,727,3.5
855.2,29.4,0,725,3.2
856.0,29.3,0,737,3.1
856.8,28.8,0,727,3.1
857.6,30.7,0,725,4.2
858.4,39.1,0,762,4.7
859.2,39.7,0,778,4.3
860.0,38.6,0,800,4.4
860.8,43.0,0,803,5.1
861.6,43.3,0,808,5.1
862.4,41.4,0,823,4.8
863.2,39.8,0,825,4.7
864.0,39.1,0,813,4.7
864.8,38.6,0,825,4.7
865.6,37.6,0,834,4.7
866.4,29.8,0,870,3.5
867.2,27.8,0,666,2.3
868.0,100.0,0,297,0.0
868.8,83.6,0,200,0.0
869.6,0.0,0,10,15.7
870.4,0.0,0,0,16.5
871.2,0.0,0,0,6.8
872.0,0.0,0,0,6.3
872.8,0.0,0,0,6.3
873.6,0.0,0,0,6.3
874.4,0.0,0,0,6.3
875.2,0.0,0,0,6.3
876.0,0.0,0,0,6.3
876.8,0.0,0
