BlueDriver Data Log
Sep 25, 2018 6:40:52 PM
Time (s),Accelerator Pedal Position E (%),Mass Air Flow Rate (g/s),Intake Air Temperature (°C),Absolute Throttle Position B (%),O2 Bank 1 - Sensor 2 - Oxygen Sensor Voltage (V),Fuel Level Input (%),Ambient Air Temperature (°C),Calculated Engine Load Value (%),Absolute Throttle Position (%),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Absolute Load Value (%),Long Term Fuel Trim Bank 1 (%),Commanded Throttle Actuator (%),Wide Range O2S: Bank 1 - Sensor 1 - Equivalence Ratio (λ),Short Term Fuel Trim Bank 1 (%),Relative Throttle Position (%),Commanded Evaporative Purge (%),Evap. System Vapor Pressure (Pa),Barometric Pressure (kPa),Vehicle Speed (km/h),Wide Range O2S: Bank 1 - Sensor 1 - Voltage (V),Commanded Equivalence Ratio (λ),Timing Advance for #1 cylinder (°),O2 Bank 1 - Sensor 2 - Short Term Fuel Trim (%),Accelerator Pedal Position D (%),Engine RPM (rpm),Control Module Voltage (V)
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.1,2.5,6.55,20,7.1,0.275,51.8,20,39.0,7.9,32,0.0,34.5,-0.8,7.7,0.998,-0.7,0.8,0.0,0.0,101,12,2.218,0.999,28.9,99.2,3.7,1396,13.229
30.2,4.0,5.42,20,6.4,0.280,52.4,19,29.0,7.0,35,0.0,26.2,-0.8,6.9,0.998,-1.4,0.9,0.0,0.0,101,10,2.201,0.997,4.9,99.2,0.3,1265,12.880
45.3,5.0,7.76,19,8.4,0.280,51.9,19,37.9,8.9,39,0.0,34.4,-0.8,8.1,0.986,-3.7,0.7,0.0,0.0,101,17,2.199,0.996,23.8,99.2,3.7,1490,12.960
60.4,0.0,4.52,19,5.3,0.287,52.7,19,26.2,5.1,42,0.0,21.4,-1.9,5.1,0.984,-4.6,0.4,0.0,0.0,101,16,2.186,0.996,12.7,99.2,0.0,1231,12.960
75.5,0.0,3.50,19,4.3,0.282,53.3,19,33.1,4.4,45,0.0,25.4,-5.5,4.5,0.997,3.5,0.4,0.0,0.0,101,0,2.191,0.999,7.4,99.2,0.0,825,12.960
90.6,17.2,17.98,19,18.9,0.286,52.8,19,76.6,17.7,46,0.0,70.6,-0.1,18.9,1.008,-2.6,14.2,53.6,0.0,101,29,2.187,0.996,9.6,99.2,16.4,1587,12.960
105.7,0.0,3.76,19,4.7,0.295,53.7,19,35.0,4.7,50,0.0,27.7,-5.5,4.7,1.001,-0.4,0.4,0.0,0.0,101,0,2.213,0.999,4.8,99.2,0.0,872,12.834
120.8,0.0,3.26,19,4.3,0.295,52.5,19,31.1,4.0,52,0.0,23.5,-5.5,4.3,0.999,2.7,0.4,0.0,0.0,101,0,2.189,0.999,9.1,99.2,0.0,800,12.893
135.9,19.0,18.22,19,18.7,0.313,51.1,19,67.1,17.6,53,5.1,66.0,0.0,18.4,0.977,-4.6,13.7,30.9,32.1,101,18,2.156,0.996,12.7,99.2,17.4,1589,12.911
151.0,27.8,27.19,18,36.9,0.832,49.8,18,87.8,32.1,58,217.1,76.5,0.0,31.0,0.998,-1.3,27.3,76.9,5.2,101,56,2.174,1.000,8.5,99.2,28.1,2151,12.936
166.1,0.0,3.10,18,3.9,0.000,51.0,18,17.3,3.9,62,273.5,14.2,-3.9,3.9,1.999,0.0,0.4,0.0,0.0,101,42,3.630,0.000,-9.3,99.2,0.0,1258,12.960
181.2,0.0,3.01,19,3.7,0.764,52.7,18,31.2,3.8,62,250.6,24.1,-5.5,3.9,0.998,2.4,0.4,0.0,0.0,101,0,2.191,0.994,4.5,99.2,0.0,737,12.880
196.3,9.4,8.83,19,9.3,0.779,52.6,18,50.1,9.7,63,248.9,43.2,-0.8,10.8,0.992,-3.7,8.1,19.7,25.9,101,22,2.208,1.008,24.3,99.2,10.7,1329,12.886
211.4,21.2,22.94,18,26.0,0.743,51.2,18,82.9,25.6,65,360.4,73.7,0.0,25.9,1.002,0.9,22.6,88.3,4.9,101,67,2.193,1.000,11.8,99.2,21.6,1991,12.923
