BlueDriver Data Log
Oct 3, 2018 7:14:18 AM
Time (s),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Absolute Throttle Position B (%),Evap. System Vapor Pressure (Pa),Fuel Level Input (%),Barometric Pressure (kPa),Vehicle Speed (km/h),Absolute Load Value (%),Ambient Air Temperature (°C),Long Term Fuel Trim Bank 1 (%),Commanded Throttle Actuator (%),Commanded Equivalence Ratio (λ),Timing Advance for #1 cylinder (°),Accelerator Pedal Position E (%),Short Term Fuel Trim Bank 1 (%),Calculated Engine Load Value (%),Accelerator Pedal Position D (%),Engine RPM (rpm),Mass Air Flow Rate (g/s),Relative Throttle Position (%),Control Module Voltage (V),Intake Air Temperature (°C),Commanded Evaporative Purge (%),Absolute Throttle Position (%)
0.0,,,,,,,,,,,,,,,,,,,,,,,,
3.0,42,0.0,6.5,5.7,59.2,101,8,30.9,17,-0.8,7.9,0.999,19.6,0.0,1.2,31.2,0.0,1469,6.09,0.4,,,,
6.0,42,0.0,5.3,0.0,59.3,101,6,25.2,17,-1.7,5.4,0.998,9.6,0.0,-0.8,29.9,0.0,1114,4.70,0.4,13.781,18,0.0,5.8
9.0,43,0.0,6.5,0.0,59.6,101,0,31.6,17,-5.9,5.4,0.999,5.9,0.0,0.3,35.7,0.0,937,4.31,0.4,13.760,18,0.1,7.1
12.0,43,0.0,14.5,1.2,59.2,101,7,48.4,17,-3.5,11.4,0.998,8.9,7.0,-1.3,51.1,5.7,1148,8.21,2.8,13.760,18,2.4,10.9
15.0,44,0.0,17.6,0.0,59.0,101,18,63.4,17,-1.1,18.3,0.998,14.3,17.0,-4.4,73.6,17.0,1778,18.10,11.7,13.765,18,30.5,17.3
18.0,44,13.2,21.5,0.6,58.7,100,32,72.9,17,0.0,23.4,0.997,11.3,19.7,-1.5,81.5,19.3,2006,22.55,17.1,13.760,18,62.3,21.6
21.0,45,48.3,25.3,2.5,58.4,100,43,72.1,17,-0.0,24.4,0.997,12.7,19.6,0.4,81.9,19.5,2094,24.19,18.9,13.760,18,88.0,23.4
24.0,47,115.4,17.6,1.6,58.2,100,49,70.2,17,0.0,21.9,0.997,14.2,16.8,1.6,75.7,17.5,2062,22.80,16.5,13.760,18,80.5,16.6
27.0,48,134.7,17.4,0.0,58.0,100,55,64.7,17,-0.0,15.3,0.996,17.2,6.6,1.6,49.6,8.3,1418,9.92,3.6,13.775,18,73.5,15.1
30.0,49,172.5,10.4,2.0,58.0,100,57,62.3,17,-0.2,14.9,0.996,16.4,7.4,1.6,51.8,9.3,1406,10.37,4.0,13.767,18,46.3,9.8
33.0,50,189.9,10.5,0.6,58.1,100,57,51.5,17,-0.8,11.3,0.999,14.3,9.3,0.6,58.8,10.3,1393,11.13,4.5,13.760,18,51.5,10.2
36.0,51,209.7,11.3,0.0,58.0,100,60,53.4,17,-0.8,11.6,0.999,13.4,11.4,-0.8,68.4,11.3,1377,12.69,6.6,13.762,18,81.5,11.5
39.0,52,231.6,12.8,0.4,58.1,99,59,57.5,17,-0.8,13.0,1.001,12.5,11.2,-0.6,68.8,11.7,1385,12.85,6.8,13.787,18,71.8,12.5
42.0,53,247.8,12.9,0.0,58.0,99,62,57.8,17,-0.8,13.3,1.001,11.6,12.1,-0.8,68.5,12.0,1402,12.77,6.9,13.840,18,0.0,12.2
45.0,53,263.3,11.9,0.0,58.0,101,64,52.4,17,-0.8,9.8,1.002,14.3,11.4,-0.3,66.8,11.7,1386,12.68,7.1,13.805,18,0.0,10.9
48.0,54,278.6,6.3,0.1,58.0,101,64,32.1,17,-0.8,7.2,0.430,4.9,5.8,0.0,49.9,6.9,1330,9.98,5.7,13.776,18,0.0,7.5
51.0,55,274.1,5.5,0.0,58.2,101,60,22.7,17,-0.8,5.3,0.000,-5.6,0.0,0.0,27.6,0.0,1250,4.48,0.8,13.840,18,0.0,5.1
54.0,55,267.7,5.1,0.0,58.7,101,54,20.4,17,-0.8,5.1,0.000,-6.0,0.0,0.0,23.9,0.0,1251,4.39,0.4,13.778,18,0.0,5.1
57.0,55,261.6,5.1,0.0,59.4,101,47,20.4,17,-0.8,5.1,0.008,-5.7,0.0,0.0,24.5,0.0,1250,4.38,0.4,13.804,18,0.0,5.1
60.0,55,255.9,5.1,0.0,60.4,101,34,21.4,17,-0.8,5.1,0.000,-7.5,0.0,0.0,26.0,0.0,1191,4.37,0.4,13.840,18,0.0,5.1
63.0,55,245.0,5.1,0.0,60.9,101,23,23.5,17,-0.8,6.6,0.389,5.3,3.4,-1.8,35.0,2.7,1219,5.59,0.6,13.833,18,0.0,5.1
66.0,55,248.0,5.1,0.0,61.2,101,17,27.9,17,-0.8,8.4,0.913,29.5,9.2,-5.5,51.2,9.9,1506,10.00,2.0,13.761,18,0.0,5.1
69.0,55,252.5,7.6,0.0,61.1,101,20,35.9,17,-0.8,9.0,1.013,41.0,8.2,-5.5,34.5,11.7,1660,14.67,5.8,13.760,18,0.0,9.8
72.0,55,261.0,11.8,0.0,60.8,101,26,52.4,17,-0.8,9.4,0.993,32.4,10.1,-2.9,45.3,10.3,1612,11.66,4.7,13.760,18,0.0,11.1
75.0,55,265.5,5.1,0.2,60.8,101,27,31.1,17,-3.0,7.1,0.990,21.4,6.4,1.2,41.1,6.1,1476,7.75,3.2,13.772,18,0.0,5.7
78.0,56,275.6,14.5,0.0,61.0,101,29,38.9,17,-3.3,9.0,0.992,11.2,2.7,4.0,29.1,1.2,1279,5.15,12.5,13.840,18,0.0,20.3
81.0,56,288.5,20.8,0.0,61.2,101,33,68.1,17,-0.1,20.1,1.012,7.5,17.6,-7.0,82.2,17.5,1760,16.54,15.1,13.784,17,57.8,20.4
84.0,56,306.2,20.8,0.0,61.2,100,42,70.5,17,-1.6,20.7,0.988,6.7,17.9,-1.1,82.1,17.8,1747,19.45,16.3,13.760,17,93.3,20.7
87.0,57,331.4,20.8,0.1,61.2,100,47,70.6,17,-1.6,20.3,0.994,6.8,17.7,1.2,81.5,17.0,1724,18.27,13.6,13.720,17,81.7,19.4
90.0,58,349.1,10.0,0.0,61.2,101,49,49.6,17,-1.3,14.5,1.004,16.3,14.7,-0.6,73.5,14.0,1634,15.43,5.8,13.608,17,10.2,4.7
93.0,58,357.8,6.9,8.3,61.1,100,50,31.2,17,-0.8,6.7,1.011,36.8,7.5,-5.5,42.0,7.5,1214,7.98,3.5,13.840,17,63.7,7.4
96.0,59,363.3,9.3,19.6,60.8,99,52,47.1,17,-0.8,9.4,0.998,20.0,9.6,-4.3,52.9,9.3,1284,9.31,4.6,13.800,17,97.3,9.5
99.0,60,376.3,9.0,7.0,60.8,99,52,46.5,17,-0.8,9.7,0.996,21.5,8.4,-1.8,50.5,9.3,1298,9.35,4.7,13.760,17,97.3,9.3
102.0,60,380.8,7.1,11.3,60.8,99,52,32.8,17,-0.8,7.6,0.562,11.9,4.9,0.0,38.7,6.4,1255,7.54,2.9,13.760,17,96.8,7.5
105.0,61,382.0,6.5,19.1,60.9,100,51,25.4,17,-0.8,5.7,0.172,-4.1,0.3,0.0,23.5,0.0,1226,4.22,0.8,13.761,17,0.0,5.6
108.0,61,381.8,6.9,23.3,61.2,101,48,36.3,17,-0.8,8.2,1.013,24.5,8.9,-3.3,43.0,5.9,1233,7.03,3.2,13.780,17,37.4,7.0
111.0,62,386.7,11.4,1.9,61.6,99,50,54.7,17,-0.8,10.1,0.998,21.1,10.5,-4.0,59.1,10.4,1299,10.33,6.4,13.795,17,96.4,11.3
