BlueDriver Data Log
Jul 23, 2018 5:18:34 PM
Time (s),Barometric Pressure (kPa),Vehicle Speed (MPH),Absolute Load Value (%),Ambient Air Temperature (°C),Intake Air Temperature (°C),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Engine RPM (rpm),Fuel Level Input (%)
0.0,,,,,,,,,
1.3,,0,32.9,33,33,45,8.0,800,41.6
2.6,101,0,32.9,33,33,45,8.0,800,41.6
3.9,101,0,32.9,33,34,45,8.0,800,41.6
5.2,101,0,32.9,33,34,45,8.0,807,41.6
6.5,101,0,32.9,33,34,46,8.0,806,41.6
7.8,101,0,32.9,33,34,46,8.0,800,41.6
9.1,101,0,32.9,33,34,46,8.0,798,41.6
10.4,101,0,32.9,33,34,46,8.0,788,41.6
11.7,101,0,34.1,33,34,46,8.0,800,41.6
13.0,101,1,40.8,33,34,47,8.0,889,41.6
14.3,101,3,52.2,33,34,47,8.0,1378,41.3
15.6,101,6,55.2,33,34,47,8.0,1572,41.2
16.9,101,10,61.7,33,34,47,8.0,1558,41.0
18.2,101,14,66.6,33,34,48,8.0,1522,40.7
19.5,101,17,68.5,33,34,48,8.0,1500,40.3
20.8,101,18,58.6,33,34,48,8.0,1478,40.0
22.1,101,20,41.1,33,34,49,8.0,1414,40.0
23.4,101,20,30.1,33,34,49,8.0,1415,40.0
24.7,101,20,26.0,33,34,49,8.0,1257,40.0
26.0,101,18,25.7,33,34,50,8.0,1162,40.0
27.3,101,15,27.0,33,34,50,8.0,1138,40.4
28.6,101,11,27.7,33,34,51,8.0,1104,40.4
29.9,101,7,29.1,33,34,51,8.0,983,40.7
31.2,101,4,34.8,33,34,51,8.0,875,41.1
32.5,101,1,36.8,33,34,52,8.0,850,41.2
33.8,101,0,36.0,33,34,52,8.0,850,41.2
35.1,101,0,35.3,33,34,52,8.0,842,41.2
36.4,101,0,35.3,33,34,52,8.0,837,41.2
37.7,101,0,34.5,33,34,52,8.0,837,41.2
39.0,101,0,34.5,33,34,53,8.0,837,41.2
40.3,101,0,33.7,33,34,53,8.0,837,41.2
41.6,101,0,33.7,33,34,53,8.0,831,41.2
42.9,101,0,32.3,33,34,53,8.0,825,41.2
44.2,101,0,32.8,33,34,54,8.0,825,41.2
45.5,101,0,32.9,33,34,54,8.0,825,41.2
46.8,101,0,32.9,33,34,54,8.0,820,41.2
48.1,101,0,32.9,33,34,54,8.0,812,41.2
49.4,101,0,32.9,33,34,54,8.0,812,41.2
50.7,101,0,32.9,33,34,54,8.0,801,41.2
52.0,101,0,32.7,33,34,55,8.0,809,41.2
53.3,101,0,32.2,33,34,55,8.0,812,41.2
54.6,101,0,32.2,33,34,55,8.0,821,41.2
55.9,101,0,32.2,33,34,55,8.0,815,41.2
57.2,101,0,32.2,33,34,55,8.0,812,41.2
58.5,101,0,32.2,33,34,56,8.0,812,41.2
59.8,101,0,32.2,33,35,56,8.0,820,41.2
61.1,101,2,31.5,33,35,56,8.0,881,41.1
62.4,101,2,31.4,33,35,56,8.0,958,40.8
63.7,101,2,33.0,33,35,56,8.0,974,40.8
65.0,101,2,34.1,33,35,56,8.0,838,41.2
66.3,101,1,34.5,33,35,56,8.0,850,41.2
67.6,101,0,34.3,33,35,57,8.0,860,41.2
68.9,101,0,33.7,33,35,57,8.0,843,41.2
70.2,101,0,33.7,33,35,57,8.0,837,41.2
71.5,101,0,33.7,33,35,57,8.0,831,41.2
72.8,101,0,32.9,33,35,57,8.0,825,41.2
74.1,101,0,32.9,33,35,57,8.0,828,41.2
75.4,101,0,32.4,33,35,57,8.0,834,41.2
76.7,101,0,32.2,33,35,58,8.0,825,41.2
78.0,101,0,40.5,33,35,58,8.0,896,41.2
79.3,101,2,38.1,33,35,58,9.5,1391,40.8
80.6,101,4,27.9,33,35,58,16.4,1175,40.8
81.9,101,3,28.1,33,35,58,20.0,1014,40.8
83.2,101,2,32.9,33,35,59,20.0,875,40.8
84.5,101,0,35.8,33,35,59,22.9,845,40.8
85.8,101,0,34.4,33,35,59,24.0,850,40.8
87.1,101,0,33.7,33,35,59,26.4,843,40.8
88.4,101,0,33.7,33,35,59,30.1,837,40.8
89.7,101,0,33.7,33,35,59,32.0,837,40.8
91.0,101,0,33.1,33,35,60,32.0,837,40.7
92.3,101,1,32.4,33,35,60,33.4,851,40.4
93.6,101,2,29.8,33,35,60,36.7,895,40.4
94.9,101,3,26.4,33,35,60,40.0,1075,40.4
96.2,101,4,24.3,33,35,60,40.0,1075,40.4
97.5,101,4,27.1,33,35,60,43.4,1121,40.1
98.8,101,5,34.3,33,35,61,46.9,1377,40.0
100.1,101,6,28.6,33,36,61,50.5,1428,40.0
101.4,101,7,32.9,33,36,61,56.2,1300,39.8
102.7,101,9,36.0,33,36,61,61.7,1208,39.6
104.0,101,10,27.7,33,36,61,66.8,1185,39.6
105.3,101,10,24.8,33,36,61,72.0,1205,39.6
106.6,101,10,25.1,33,36,61,72.8,1175,39.6
107.9,101,10,25.5,33,36,62,76.7,1171,39.6
109.2,101,9,25.9,33,36,62,80.0,1137,40.0
110.5,101,9,25.9,33,36,62,83.6,1147,40.0
111.8,101,9,25.9,33,36,62,84.0,1160,40.0
113.1,101,8,25.9,33,36,62,87.6,1153,40.0
114.4,101,7,25.9,33,36,63,91.6,1140,40.0
115.7,101,6,26.0,33,36,63,92.0,1153,40.0
117.0,101,5,26.8,33,36,63,95.0,1097,40.2
118.3,101,4,28.2,33,36,63,98.2,1044,40.4
119.6,101,3,28.9,33,36,63,100.0,988,40.4
120.9,101,1,33.2,33,36,63,101.9,875,40.5
122.2,101,0,33.9,33,36,63,104.0,850,40.8
123.5,101,0,33.7,33,36,63,104.0,850,40.8
124.8,101,0,33.3,33,36,64,104.0,850,40.4
126.1,101,0,32.6,33,36,64,104.0,850,40.4
127.4,101,0,32.2,33,36,64,104.0,838,40.4
128.7,101,0,32.2,33,36,64,104.0,827,40.1
130.0,101,0,32.1,33,36,65,107.4,825,40.0
131.3,101,0,31.4,33,36,65,108.0,825,40.0
132.6,101,0,31.4,33,36,65,108.0,825,40.0
133.9,101,0,31.4,33,36,65,108.0,825,40.0
135.2,101,0,31.4,33,36,65,108.0,819,40.0
136.5,101,0,30.7,33,36,65,108.0,812,39.9
137.8,101,0,30.6,33,36,65,108.0,812,39.6
139.1,101,0,30.6,33,36,65,108.0,812,39.6
140.4,101,0,30.9,33,36,66,108.0,812,39.6
141.7,101,0,31.4,33,36,66,108.0,812,39.6
143.0,101,0,31.4,33,36,66,108.0,814,39.6
144.3,101,1,35.3,33,36,66,108.5,872,39.6
145.6,101,2,42.7,33,36,66,112.2,1325,39.2
146.9,101,6,45.2,33,36,66,117.0,1638,39.2
148.2,101,8,47.5,33,36,67,124.3,1399,38.9
149.5,101,11,53.8,33,36,67,131.7,1400,38.8
150.8,101,13,55.9,33,36,67,141.6,1352,38.6
152.1,101,15,57.4,33,36,67,147.3,1325,38.4
153.4,101,16,58.0,33,36,67,153.4,1325,38.4
154.7,101,18,56.4,33,36,68,163.2,1292,38.2
156.0,101,18,23.7,33,36,68,168.0,1177,38.2
157.3,101,17,28.1,33,36,68,170.2,1137,38.4
158.6,101,16,25.1,33,36,68,172.0,1180,38.4
159.9,101,15,25.1,33,36,68,173.9,1157,38.5
161.2,101,11,25.8,33,36,69,176.0,1107,38.9
162.5,101,9,26.5,33,36,69,177.9,1074,39.2
163.8,101,6,28.5,33,36,69,180.0,977,39.3
165.1,101,3,31.8,33,36,69,180.0,871,39.6
166.4,101,1,33.9,33,36,69,178.6,859,39.6
167.7,101,0,34.1,33,36,69,176.0,850,40.0
