BlueDriver Data Log
Dec 5, 2018 6:29:30 PM
Time (s),Accelerator Pedal Position E (%),Mass Air Flow Rate (g/s),Intake Air Temperature (°C),O2 Bank 1 - Sensor 2 - Oxygen Sensor Voltage (V),Absolute Throttle Position B (%),Fuel Level Input (%),Ambient Air Temperature (°C),Calculated Engine Load Value (%),Absolute Throttle Position (%),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Absolute Load Value (%),Long Term Fuel Trim Bank 1 (%),Commanded Throttle Actuator (%),Wide Range O2S: Bank 1 - Sensor 1 - Equivalence Ratio (λ),Short Term Fuel Trim Bank 1 (%),Relative Throttle Position (%),Commanded Evaporative Purge (%),Evap. System Vapor Pressure (Pa),Barometric Pressure (kPa),Vehicle Speed (km/h),Wide Range O2S: Bank 1 - Sensor 1 - Voltage (V),Timing Advance for #1 cylinder (°),Commanded Equivalence Ratio (λ),O2 Bank 1 - Sensor 2 - Short Term Fuel Trim (%),Engine RPM (rpm),Accelerator Pedal Position D (%),Control Module Voltage (V)
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.2,0.0,5.52,15,0.304,6.3,57.6,14,31.2,6.3,30,0.0,26.7,-2.3,6.3,1.002,1.8,1.6,0.0,0.0,101,0,2.201,4.0,0.999,99.2,1240,0.0,14.480
34.4,0.0,4.16,15,0.280,5.1,57.6,14,39.8,5.3,34,0.0,32.9,-9.4,5.4,0.997,11.0,0.8,0.0,0.0,101,2,2.197,2.0,0.999,99.2,827,0.0,13.571
51.6,4.7,7.17,15,0.280,7.7,58.2,14,34.9,7.5,37,0.0,29.7,-2.3,7.2,1.006,1.4,1.7,0.0,0.0,101,8,2.189,-3.3,0.998,99.2,1379,5.4,12.863
68.8,3.5,6.92,15,0.284,7.6,58.3,14,38.1,7.9,40,0.0,32.9,-2.3,7.6,0.997,-0.2,0.7,1.7,0.0,101,12,2.185,37.0,0.996,99.2,1321,4.1,13.741
86.0,1.5,5.75,15,0.306,6.8,58.3,14,31.5,6.4,43,0.0,27.6,-2.3,6.4,1.000,1.3,0.5,0.1,0.0,101,17,2.177,19.2,0.996,99.2,1316,0.4,13.761
103.2,17.1,17.30,14,0.342,20.3,58.3,14,74.4,21.3,46,16.6,64.6,-1.9,22.7,1.009,-1.7,16.4,45.0,2.2,101,37,2.197,12.5,0.996,99.2,1719,18.3,13.792
120.4,22.1,22.17,14,0.659,26.8,57.7,14,84.2,26.1,50,211.7,73.7,-1.2,24.9,1.006,1.4,19.0,55.6,12.0,101,56,2.208,9.7,0.988,99.2,1818,21.8,13.756
137.6,0.0,5.25,14,0.078,5.9,58.3,14,29.7,5.7,55,280.1,24.3,-2.3,5.8,1.999,0.0,0.4,0.0,0.0,101,43,2.991,-1.1,0.195,99.2,1218,0.0,13.760
154.8,20.6,20.90,14,0.734,24.4,59.2,14,78.7,25.9,55,289.7,67.3,-1.6,25.1,1.007,-0.0,19.9,52.2,0.0,101,33,2.156,8.5,1.007,99.2,1996,21.9,13.746
