BlueDriver Data Log
Dec 4, 2018 7:01:11 AM
Time (s),Accelerator Pedal Position E (%),Mass Air Flow Rate (g/s),Intake Air Temperature (°C),O2 Bank 1 - Sensor 2 - Oxygen Sensor Voltage (V),Absolute Throttle Position B (%),Fuel Level Input (%),Ambient Air Temperature (°C),Calculated Engine Load Value (%),Absolute Throttle Position (%),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Absolute Load Value (%),Long Term Fuel Trim Bank 1 (%),Commanded Throttle Actuator (%),Wide Range O2S: Bank 1 - Sensor 1 - Equivalence Ratio (λ),Short Term Fuel Trim Bank 1 (%),Relative Throttle Position (%),Commanded Evaporative Purge (%),Evap. System Vapor Pressure (Pa),Barometric Pressure (kPa),Vehicle Speed (km/h),Wide Range O2S: Bank 1 - Sensor 1 - Voltage (V),Timing Advance for #1 cylinder (°),Commanded Equivalence Ratio (λ),O2 Bank 1 - Sensor 2 - Short Term Fuel Trim (%),Engine RPM (rpm),Accelerator Pedal Position D (%),Control Module Voltage (V)
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.2,0.0,6.51,12,0.291,7.5,89.4,11,43.9,7.0,31,0.0,33.3,-0.8,6.3,1.008,-3.7,0.4,0.0,0.0,101,1,2.230,10.9,0.999,99.2,1380,0.0,13.528
34.4,2.8,4.55,12,0.280,5.8,89.8,11,32.6,6.8,34,0.0,30.6,-0.8,6.5,0.993,-0.5,1.5,0.0,0.0,101,7,2.195,20.0,0.999,99.2,1198,0.0,13.202
51.6,0.0,4.17,12,0.284,5.1,89.8,11,37.9,5.2,36,0.0,29.1,-1.6,5.3,0.999,1.5,0.4,0.0,0.0,101,0,2.192,6.0,0.999,99.2,855,0.0,12.861
68.8,19.9,25.24,12,0.280,22.7,89.4,11,80.5,22.1,38,53.5,69.0,0.8,21.8,1.000,-4.1,17.3,0.0,0.0,101,30,2.215,13.5,0.997,99.2,2108,21.5,13.028
86.0,5.7,6.79,12,0.811,12.9,89.8,11,55.7,12.6,43,210.0,53.4,-1.1,14.1,1.001,-9.2,8.2,10.1,0.0,101,54,2.210,21.1,0.986,99.2,1458,3.8,12.960
103.2,1.6,5.75,12,0.759,6.3,89.4,11,28.8,6.1,45,238.7,28.5,0.0,10.6,0.904,-5.9,8.1,5.8,16.9,101,52,2.202,26.9,1.004,99.2,1685,10.4,13.005
120.4,10.9,11.79,12,0.760,11.8,89.4,11,64.4,11.8,48,-20.5,52.7,0.0,10.4,0.929,-12.1,6.1,41.1,0.0,101,52,2.079,13.4,1.011,99.2,1406,11.4,13.030
137.6,11.2,11.61,12,0.763,11.0,89.4,11,57.2,9.5,50,384.9,51.1,0.0,11.0,1.005,2.2,7.8,7.6,0.0,101,60,2.168,15.3,1.010,99.2,1350,11.2,12.960
154.8,16.9,18.34,12,0.726,19.2,89.7,11,76.0,19.2,52,434.7,67.1,0.0,19.3,1.002,-1.1,15.1,82.2,17.4,100,65,2.194,10.4,0.997,99.2,1725,17.3,12.800
172.0,6.1,8.22,12,0.137,9.8,89.8,11,31.7,5.7,55,425.7,24.9,0.0,7.4,1.095,-1.7,6.0,0.3,0.0,101,47,2.594,-1.4,0.486,99.2,1298,9.1,12.930
189.2,22.4,25.38,11,0.745,28.4,89.4,11,84.7,24.7,57,521.5,74.6,0.8,29.5,0.996,-2.3,26.0,90.5,0.0,101,73,2.195,9.2,0.995,99.2,2170,22.7,13.011
206.4,25.8,28.84,11,0.726,36.1,89.4,11,87.8,36.0,62,580.7,77.1,0.8,35.4,1.002,-3.0,31.0,88.4,0.4,101,87,2.189,12.0,0.997,99.2,2378,25.5,12.960
223.6,26.3,30.12,11,0.750,38.0,89.4,10,88.1,38.1,68,616.9,77.2,0.8,37.5,0.998,-2.7,33.1,88.4,1.5,101,91,2.197,12.0,1.001,99.2,2402,26.7,13.029
240.8,25.8,30.20,10,0.748,36.2,89.4,10,86.6,36.9,72,633.9,76.5,-0.8,36.8,0.998,-0.5,32.2,25.4,3.9,101,98,2.193,13.0,1.000,99.2,2451,25.9,12.962
258.0,23.7,28.42,10,0.730,31.3,89.5,10,84.3,30.9,75,640.0,73.8,-0.8,31.1,0.998,1.6,26.5,88.4,1.3,100,102,2.184,12.6,1.007,99.2,2409,24.0,12.960
