BlueDriver Data Log
Jul 27, 2018 9:33:52 AM
Time (s),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Fuel Level Input (%),Barometric Pressure (kPa),Vehicle Speed (MPH),Absolute Load Value (%),Ambient Air Temperature (°C),Engine RPM (rpm),Relative Throttle Position (%),Control Module Voltage (V),Intake Air Temperature (°C),Absolute Throttle Position (%)
0.0,,,,,,,,,,,,
2.7,,4.0,100.0,101,14,47.4,18,1245,,,,
5.4,37,4.0,100.0,101,16,39.3,18,1191,0.4,13.038,19,7.5
8.1,38,4.0,100.0,101,16,32.7,18,1181,0.9,12.946,19,6.7
10.8,38,9.5,100.0,101,16,31.4,18,1225,1.2,12.928,19,6.9
13.5,39,20.4,100.0,101,14,31.4,18,1198,1.2,13.035,19,6.7
16.2,40,30.9,100.0,101,9,33.8,18,1014,1.3,12.960,19,6.3
18.9,40,35.8,100.0,101,3,35.9,18,1207,4.6,12.960,19,6.8
21.6,41,52.4,100.0,101,9,52.3,18,1922,9.3,12.917,19,15.3
24.3,42,76.9,100.0,101,16,54.1,18,1430,8.7,12.959,20,13.0
27.0,42,91.5,100.0,101,19,28.5,18,1230,0.4,12.960,20,6.3
29.7,43,96.6,100.0,101,15,25.9,18,1230,0.2,13.003,20,6.0
32.4,43,103.1,100.0,101,7,31.8,18,980,0.0,12.980,20,6.9
35.1,43,117.2,100.0,101,7,63.4,18,975,6.1,12.960,20,11.8
37.8,44,137.7,100.0,101,14,64.4,18,1563,10.3,12.960,20,16.1
40.5,45,157.7,100.0,101,19,63.9,18,1506,10.7,12.963,20,15.8
43.2,46,176.8,100.0,101,23,60.9,18,1425,7.1,13.040,20,13.1
45.9,46,195.1,100.0,101,25,48.5,18,1189,3.9,13.040,20,10.1
48.6,47,206.9,100.0,101,27,46.1,18,1167,2.7,12.963,20,9.1
51.3,48,215.8,100.0,101,27,34.4,18,1288,0.9,13.017,20,7.0
54.0,49,224.8,100.0,101,27,24.3,18,1314,0.1,13.007,20,6.0
56.7,49,228.0,100.0,101,26,20.8,18,1321,0.4,12.964,20,5.2
59.4,50,231.6,100.0,101,22,19.6,18,1255,0.4,12.941,20,4.7
62.1,50,232.0,100.0,101,16,20.3,18,1199,0.4,12.880,20,4.7
64.8,50,232.0,100.0,101,9,21.9,18,1134,0.1,12.829,20,5.2
67.5,51,232.0,100.0,101,3,34.4,18,885,0.0,12.938,20,6.2
70.2,51,232.0,100.0,101,2,47.7,18,1233,2.8,12.960,20,5.6
72.9,52,238.3,100.0,101,9,56.0,18,1702,9.3,12.998,20,15.3
75.6,52,254.5,100.0,101,16,66.9,18,1517,11.1,12.991,20,16.6
78.3,53,270.4,100.0,101,21,67.6,18,1536,12.3,12.898,20,16.8
