BlueDriver Data Log
Oct 2, 2018 6:17:13 PM
Time (s),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Absolute Throttle Position B (%),Evap. System Vapor Pressure (Pa),Fuel Level Input (%),Barometric Pressure (kPa),Vehicle Speed (km/h),Absolute Load Value (%),Ambient Air Temperature (°C),Long Term Fuel Trim Bank 1 (%),Commanded Throttle Actuator (%),Commanded Equivalence Ratio (λ),Timing Advance for #1 cylinder (°),Accelerator Pedal Position E (%),Short Term Fuel Trim Bank 1 (%),Calculated Engine Load Value (%),Accelerator Pedal Position D (%),Engine RPM (rpm),Mass Air Flow Rate (g/s),Relative Throttle Position (%),Control Module Voltage (V),Intake Air Temperature (°C),Commanded Evaporative Purge (%),Absolute Throttle Position (%)
0.0,,,,,,,,,,,,,,,,,,,,,,,,
3.0,87,589.8,4.3,0.0,63.9,100,94,12.5,9,-5.6,4.8,0.000,-11.9,1.5,0.0,14.3,1.8,1739,3.79,1.0,14.160,,,
6.0,87,580.1,8.2,0.0,63.9,100,89,12.3,9,-4.7,4.3,0.000,-13.0,5.5,0.0,14.9,8.4,1638,5.94,4.5,14.220,25,2.6,10.1
9.0,87,571.9,11.7,0.0,63.9,100,85,15.6,9,-4.7,4.3,0.000,-12.9,0.0,0.0,13.5,2.7,1592,4.30,2.8,14.240,25,2.3,9.9
12.0,87,559.8,3.9,0.0,63.9,100,77,12.6,9,-4.7,4.0,0.000,-12.7,1.5,0.0,14.3,1.6,1471,3.33,0.9,14.267,25,0.0,3.9
15.0,86,554.7,4.0,0.0,63.9,100,69,13.8,9,-4.7,4.1,0.000,-11.9,1.8,0.0,16.3,2.7,1314,3.48,1.1,14.320,25,0.0,3.9
18.0,86,542.7,3.9,0.0,63.9,100,58,14.9,9,-4.7,4.4,0.000,-10.7,0.0,0.0,18.3,0.0,1231,3.28,0.8,14.314,25,0.0,3.9
21.0,86,528.9,4.8,0.0,64.1,100,46,15.8,9,-4.6,4.7,0.000,-9.0,0.0,0.0,23.5,0.0,1244,4.06,0.8,14.320,25,0.0,4.5
24.0,86,515.1,6.5,0.0,64.7,100,31,24.9,9,-1.0,5.9,0.676,3.8,0.0,4.0,27.3,0.0,1216,4.64,0.6,14.286,25,0.0,5.2
27.0,86,509.0,4.7,0.0,65.0,100,17,44.0,9,-1.3,13.0,0.954,15.4,8.0,2.5,44.4,6.1,1546,9.66,3.7,14.257,25,2.5,7.0
30.0,86,510.7,18.3,0.0,64.9,100,22,62.9,9,-1.0,21.7,1.008,18.7,18.7,-1.8,70.1,18.1,2303,21.76,14.5,14.319,25,18.9,20.0
33.0,86,519.4,28.6,0.0,64.6,100,37,74.6,9,0.0,28.6,1.004,10.0,23.3,0.0,86.3,23.4,2085,25.23,26.0,14.198,26,67.6,28.0
36.0,86,534.2,33.4,3.7,64.3,100,51,76.9,9,-0.0,32.3,0.996,9.1,25.4,0.0,87.5,25.3,2105,25.74,28.0,14.202,26,89.6,37.0
39.0,86,552.1,36.4,18.1,64.3,100,63,75.8,9,0.0,33.4,0.998,9.5,26.1,0.0,88.2,26.3,2148,26.25,29.3,14.240,25,89.4,41.7
42.0,86,572.6,34.7,5.0,64.3,100,66,76.9,9,0.0,33.7,0.996,9.7,26.3,0.5,88.4,26.7,2184,26.66,29.8,14.247,25,89.4,34.0
45.0,86,580.7,34.1,0.0,64.3,100,71,76.6,9,0.0,33.8,1.000,10.1,26.3,1.5,87.8,26.7,2175,26.31,29.0,14.317,24,86.6,34.4
48.0,86,591.8,34.5,1.4,64.3,100,77,76.1,9,0.0,34.1,0.999,10.3,26.4,0.8,86.0,26.6,2252,27.36,30.7,14.320,24,88.2,35.5
51.0,86,601.5,35.7,5.9,64.3,100,82,75.5,9,-0.1,35.4,1.001,10.8,27.4,0.3,87.5,27.5,2309,28.10,31.4,14.320,24,87.9,36.4
54.0,87,611.9,35.4,0.0,64.0,99,83,76.1,9,0.0,35.5,1.001,11.0,27.3,0.0,87.7,26.6,2350,28.14,29.9,14.293,24,88.3,35.7
57.0,87,617.5,32.8,0.0,63.9,99,85,74.9,9,0.0,34.0,1.001,11.4,26.3,0.4,87.1,24.4,2347,27.21,23.9,14.160,24,89.1,28.8
60.0,87,623.7,32.6,0.0,63.8,99,88,74.1,9,0.0,32.3,1.001,12.4,25.3,1.5,85.5,25.1,2322,27.32,27.2,14.223,24,89.0,31.2
63.0,87,629.9,34.4,0.9,63.5,99,92,75.1,9,-0.0,34.3,0.992,11.2,27.1,0.0,85.6,26.7,2373,28.30,29.2,14.240,24,88.3,33.8
66.0,87,636.0,35.7,6.0,63.1,99,95,75.3,9,0.0,35.3,0.999,11.8,27.7,0.4,87.4,28.0,2405,29.04,31.3,14.217,24,87.6,36.2
69.0,87,643.5,39.8,1.7,62.8,99,97,75.3,9,-0.4,38.8,0.999,13.1,28.2,0.8,87.3,28.5,2487,30.18,32.9,14.160,24,86.6,39.1
