BlueDriver Data Log
Oct 30, 2018 7:00:05 AM
Time (s),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Absolute Throttle Position B (%),Evap. System Vapor Pressure (Pa),Fuel Level Input (%),Barometric Pressure (kPa),Vehicle Speed (km/h),Absolute Load Value (%),Ambient Air Temperature (°C),Long Term Fuel Trim Bank 1 (%),Commanded Throttle Actuator (%),Commanded Equivalence Ratio (λ),Timing Advance for #1 cylinder (°),Accelerator Pedal Position E (%),Short Term Fuel Trim Bank 1 (%),Calculated Engine Load Value (%),Accelerator Pedal Position D (%),Engine RPM (rpm),Mass Air Flow Rate (g/s),Relative Throttle Position (%),Control Module Voltage (V),Intake Air Temperature (°C),Commanded Evaporative Purge (%),Absolute Throttle Position (%)
0.0,,,,,,,,,,,,,,,,,,,,,,,,
3.0,42,0.0,8.1,0.0,83.1,,,,,,,,,,,,,,,,,,,
6.0,42,0.0,11.8,0.0,83.1,,90,36.5,14,-4.1,6.9,0.999,5.2,1.1,5.3,44.4,0.5,872,5.20,,,,,
9.0,43,0.0,15.4,0.0,83.1,,70,49.0,14,-2.7,11.4,0.998,5.9,5.7,4.5,54.1,5.0,1082,8.65,,,,,
12.0,43,10.7,18.4,0.0,83.1,,51,61.6,14,-1.4,15.8,0.998,6.7,10.2,3.8,63.9,9.5,1292,12.11,,,-9,35.9,17.6
15.0,44,65.7,17.6,0.0,83.1,101,35,72.7,14,-0.0,20.3,0.997,7.4,14.8,3.0,73.6,14.0,1501,15.57,,,2,60.8,19.5
18.0,45,79.2,20.2,0.0,82.8,100,57,62.8,14,0.0,20.8,0.997,7.9,18.1,2.0,82.2,18.3,1711,19.02,,,12,85.6,21.4
21.0,45,100.1,19.0,13.7,82.7,100,48,69.1,14,-0.1,19.3,0.996,7.4,15.7,0.3,77.8,12.7,1576,16.65,12.9,13.625,15,75.6,18.8
24.0,46,135.6,9.0,68.3,82.7,101,54,44.1,14,-1.1,12.8,0.996,11.0,12.3,3.3,67.5,11.7,1432,13.62,8.5,13.395,15,58.8,14.3
27.0,48,158.4,11.4,53.9,82.7,100,53,53.2,14,-1.6,11.2,1.000,12.7,10.0,4.6,59.4,9.5,1310,10.72,4.4,13.054,14,66.8,11.2
30.0,48,180.9,13.6,29.4,82.7,100,55,62.3,14,-1.6,13.5,1.006,11.0,12.5,0.0,71.9,12.3,1387,13.41,6.9,12.983,15,85.5,12.9
33.0,49,203.5,15.1,3.4,82.7,100,58,63.1,14,-1.7,15.1,1.002,9.3,13.4,0.0,73.5,13.3,1477,14.62,9.0,12.923,15,81.9,14.4
36.0,50,228.9,12.8,60.1,82.4,100,61,55.7,14,-1.6,11.9,1.002,10.6,8.1,2.1,62.5,9.2,1410,12.84,8.3,12.867,15,53.3,14.4
39.0,51,235.5,10.2,43.3,82.5,100,60,44.6,14,-1.6,8.4,0.875,10.7,0.0,5.5,41.6,0.0,1147,5.92,1.1,12.848,14,0.8,7.2
42.0,51,238.3,6.3,12.8,82.7,101,56,24.5,14,-1.8,5.5,0.055,-5.3,0.0,0.4,34.6,0.0,1172,5.39,0.7,12.855,15,3.2,6.8
45.0,51,237.9,5.9,7.0,82.9,101,53,23.6,14,-1.6,5.7,0.197,0.3,0.7,-0.1,27.1,0.0,1198,4.63,1.5,12.980,14,12.0,7.5
48.0,52,236.4,5.5,0.0,83.1,101,50,22.1,14,-1.6,6.7,1.117,40.6,6.1,-2.8,33.2,4.9,1176,6.28,1.0,12.960,15,7.3,6.6
51.0,52,229.9,5.1,0.0,83.1,101,46,22.0,14,-1.6,6.3,0.753,27.8,4.6,-2.3,35.3,10.5,1166,7.40,0.8,12.960,15,0.9,5.5
54.0,52,239.3,5.1,0.0,83.1,101,41,22.1,14,-1.7,5.5,0.028,-5.6,0.0,0.2,31.2,24.0,1154,7.49,2.9,13.083,11,36.4,7.3
57.0,51,211.6,5.5,0.0,83.1,101,38,22.4,14,-1.6,5.5,0.000,-6.2,0.0,0.0,30.5,25.5,1172,7.64,1.7,13.026,13,37.7,6.7
60.0,52,222.8,5.5,0.0,83.1,101,36,23.9,14,-1.8,5.5,0.069,-6.6,0.0,0.4,29.8,23.6,1182,7.59,0.5,12.969,15,38.9,6.1
63.0,52,231.1,5.7,2.7,83.1,101,33,23.6,14,-1.6,5.5,0.019,-7.2,0.0,0.2,29.1,0.0,1115,4.53,0.4,12.960,15,23.4,5.7
66.0,52,220.4,7.8,54.1,83.5,101,27,35.9,14,-1.6,8.4,0.428,-1.5,3.4,-2.8,38.5,2.2,1160,5.73,0.8,12.960,15,0.1,5.6
69.0,52,232.8,9.6,55.2,83.6,101,27,50.4,14,-1.4,12.3,1.011,9.9,11.4,-10.1,70.0,10.9,1319,12.59,7.3,12.981,15,58.6,10.6
72.0,52,247.7,16.5,54.4,83.9,101,39,70.4,14,-0.1,16.9,0.986,5.0,13.4,-1.8,75.0,12.8,1395,14.20,8.8,12.960,15,94.6,14.8
75.0,53,273.8,17.0,28.4,83.9,101,41,70.6,14,0.0,17.2,0.991,5.1,14.9,6.6,80.8,15.3,1498,16.60,12.2,12.968,15,92.5,17.3
