BlueDriver Data Log
Jul 22, 2018 2:05:40 PM
Time (s),Barometric Pressure (kPa),Vehicle Speed (MPH),Absolute Load Value (%),Ambient Air Temperature (°C),Intake Air Temperature (°C),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Engine RPM (rpm),Fuel Level Input (%)
0.0,,,,,,,,,
1.3,,6,36.2,28,32,49,157.4,1364,42.0
2.6,102,8,33.8,28,32,49,164.0,1183,42.0
3.9,102,8,28.8,28,32,50,163.6,1136,42.0
5.2,102,6,28.5,28,32,50,167.3,1125,42.3
6.5,102,4,31.1,28,32,50,168.0,1060,42.4
7.8,102,4,35.3,28,32,50,168.0,1440,42.4
9.1,102,7,47.5,28,32,51,174.0,1761,42.2
10.4,101,10,59.5,28,32,51,184.2,1673,41.8
11.7,101,13,69.7,28,32,51,190.7,1625,41.6
13.0,101,16,69.9,28,32,51,197.4,1680,41.4
14.3,101,19,70.4,28,32,52,205.4,1682,41.2
15.6,101,21,68.1,28,32,52,216.7,1594,41.1
16.9,101,23,59.8,28,32,52,228.5,1429,40.8
18.2,101,24,57.7,28,32,53,237.8,1288,40.8
19.5,101,24,58.5,28,32,53,244.3,1226,40.8
20.8,101,25,57.4,28,32,54,251.0,1245,40.8
22.1,100,26,50.1,28,32,54,258.9,1231,40.8
23.4,101,26,32.0,28,32,54,260.0,1255,40.8
24.7,102,26,25.3,28,32,55,263.3,1290,41.1
26.0,102,26,23.5,28,32,55,264.0,1241,41.2
27.3,102,25,24.3,28,32,55,266.9,1204,41.2
28.6,102,25,24.3,28,30,56,268.0,1191,41.4
29.9,102,24,24.3,28,30,56,268.0,1202,41.6
31.2,102,24,24.3,28,30,56,270.3,1200,41.7
32.5,102,22,24.9,28,30,56,272.0,1184,42.1
33.8,102,19,25.1,28,30,56,272.0,1174,42.4
35.1,102,15,25.5,28,30,57,272.0,1150,42.7
36.4,102,12,25.9,28,30,57,272.0,1138,43.0
37.7,102,12,32.2,28,30,57,270.9,1440,43.1
39.0,102,13,55.5,28,30,57,277.5,1738,42.9
40.3,102,15,33.7,28,30,57,282.4,1642,42.7
41.6,102,17,50.1,28,30,58,284.0,1421,42.6
42.9,102,18,61.3,28,30,58,288.3,1445,42.4
44.2,102,19,64.3,28,30,58,296.9,1477,42.4
45.5,102,21,64.3,28,30,58,300.8,1502,42.0
46.8,102,22,65.6,28,30,58,306.2,1539,42.0
48.1,102,24,67.0,28,30,59,315.3,1561,42.0
49.4,102,25,66.0,28,30,59,325.9,1572,42.0
50.7,102,26,59.3,28,30,59,331.3,1528,41.7
52.0,101,27,50.8,28,30,60,335.3,1438,41.6
53.3,101,27,40.8,28,30,60,339.3,1319,41.6
54.6,101,27,40.8,28,30,60,346.1,1253,41.6
55.9,101,27,40.6,28,30,61,348.0,1192,41.6
57.2,101,27,39.1,28,30,61,348.0,1125,41.6
58.5,101,27,38.0,28,30,61,351.0,1100,41.6
59.8,101,27,31.0,28,30,61,352.0,1060,41.6
61.1,101,26,28.2,28,30,62,352.0,1208,41.6
62.4,101,26,22.6,28,30,62,352.0,1288,41.7
63.7,102,24,23.2,28,30,62,352.0,1202,42.0
65.0,101,23,24.1,28,30,62,352.0,1187,42.0
66.3,102,20,23.7,28,30,62,352.0,1239,41.9
67.6,102,20,44.9,28,30,62,353.4,1478,41.6
68.9,101,22,60.2,28,30,63,357.2,1813,41.6
70.2,102,24,64.7,28,29,63,362.0,1548,41.2
71.5,101,26,66.3,28,29,63,372.4,1437,41.2
72.8,102,29,66.4,28,29,63,376.8,1426,40.9
74.1,101,30,65.7,28,29,63,384.4,1447,40.8
75.4,101,32,64.8,28,29,64,395.5,1469,40.8
76.7,100,34,62.9,28,29,64,399.5,1466,40.8
78.0,100,35,58.8,28,29,65,407.0,1435,40.6
79.3,100,36,51.1,28,29,65,413.2,1319,40.4
80.6,100,37,54.9,28,29,65,417.8,1265,40.4
81.9,100,37,55.5,28,29,65,421.4,1321,40.4
83.2,100,38,53.7,28,29,66,425.2,1346,40.4
84.5,100,39,43.6,28,29,66,428.0,1315,40.4
85.8,101,39,30.1,28,29,66,427.6,1212,40.4
87.1,102,38,24.7,28,29,67,423.7,1212,40.4
88.4,101,37,26.6,28,29,67,419.6,1139,40.4
89.7,101,37,29.3,28,29,67,420.0,1125,40.4
91.0,100,37,30.9,28,29,67,419.4,1125,40.4
92.3,100,37,33.4,28,29,67,420.0,1125,40.4
93.6,100,37,34.9,28,29,67,423.1,1116,40.4
94.9,100,36,36.2,28,29,68,424.0,1112,40.4
96.2,100,36,37.6,28,29,68,424.0,1118,40.4
97.5,100,36,38.2,28,29,68,424.0,1125,40.4
98.8,100,35,33.9,28,29,68,424.0,1144,40.4
100.1,101,35,26.3,28,29,68,424.0,1214,40.4
101.4,101,34,22.7,28,29,68,424.0,1238,40.4
102.7,102,34,23.1,28,29,68,424.0,1249,40.8
104.0,102,33,23.5,28,29,68,424.0,1225,40.8
105.3,102,32,23.5,28,29,68,423.8,1235,40.8
106.6,102,31,23.5,28,29,69,424.0,1247,40.8
107.9,102,30,23.5,28,29,69,424.0,1241,40.8
109.2,102,27,23.5,28,29,69,424.0,1237,41.0
110.5,102,25,23.5,28,29,69,424.0,1232,41.2
111.8,102,22,23.5,28,29,69,424.0,1209,41.3
113.1,102,18,24.1,28,29,69,424.0,1183,41.7
114.4,102,15,24.3,28,29,69,422.3,1175,42.0
115.7,102,14,24.8,28,29,69,420.0,1165,42.1
117.0,102,11,25.6,28,29,69,419.3,1136,42.4
118.3,102,8,26.4,28,29,69,416.0,1107,42.4
119.6,102,7,45.5,28,29,69,416.5,1028,42.7
120.9,101,9,64.4,28,29,69,419.7,2310,42.5
122.2,102,13,68.6,28,29,70,426.6,2227,42.1
123.5,102,17,71.3,28,29,70,430.8,1900,42.0
