BlueDriver Data Log
Jul 23, 2018 8:18:31 AM
Time (s),Barometric Pressure (kPa),Vehicle Speed (MPH),Absolute Load Value (%),Ambient Air Temperature (°C),Intake Air Temperature (°C),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Engine RPM (rpm),Fuel Level Input (%)
0.0,,,,,,,,,
1.3,,0,34.5,23,26,38,32.9,804,41.6
2.6,101,0,31.3,23,26,38,36.0,820,41.6
3.9,101,0,29.8,23,26,39,36.0,790,41.6
5.2,101,0,28.8,23,26,39,36.0,829,41.6
6.5,101,0,29.1,23,26,39,36.3,875,41.6
7.8,101,0,32.5,23,26,40,40.0,849,41.6
9.1,101,0,35.7,23,26,40,40.0,875,41.6
10.4,101,0,36.5,23,26,40,40.8,849,41.6
11.7,101,0,36.5,23,26,40,44.0,836,41.2
13.0,101,0,34.2,23,26,41,44.0,844,41.2
14.3,101,1,34.4,23,27,41,44.9,962,41.2
15.6,101,1,35.3,23,27,41,49.3,968,41.1
16.9,101,2,34.7,23,27,41,52.0,954,40.8
18.2,101,2,33.9,23,27,41,53.5,879,40.8
19.5,101,2,33.7,23,27,42,56.0,877,40.8
20.8,101,0,34.2,23,27,42,57.1,855,40.8
22.1,101,0,36.7,23,27,42,60.0,882,40.8
23.4,101,0,34.7,23,27,42,60.0,855,40.8
24.7,101,1,29.3,23,27,42,60.9,883,40.8
26.0,101,1,27.9,23,27,42,64.0,841,40.8
27.3,101,0,28.2,23,27,43,64.0,856,40.7
28.6,101,0,28.2,23,27,43,64.0,925,40.4
29.9,101,0,43.4,23,27,43,67.0,1269,40.4
31.2,101,4,49.2,23,27,43,74.8,1568,40.4
32.5,101,8,50.3,23,27,43,82.4,1511,40.3
33.8,101,11,51.0,23,27,43,91.7,1347,39.9
35.1,101,13,44.8,23,27,44,100.0,1290,39.6
36.4,101,14,33.4,23,27,44,101.1,1391,39.6
37.7,101,14,23.4,23,27,44,104.9,1249,39.6
39.0,101,13,20.0,23,27,44,108.0,1173,40.0
40.3,101,9,20.4,23,27,45,108.9,1154,40.1
41.6,101,4,23.5,23,27,45,112.0,1075,40.8
42.9,101,2,30.1,23,27,46,112.6,860,40.8
44.2,101,5,39.7,23,27,46,117.2,1080,40.8
45.5,101,8,51.6,23,27,46,124.6,1919,40.4
46.8,101,11,61.5,23,27,46,129.2,1548,40.0
48.1,101,13,67.2,23,27,46,138.3,1525,40.0
49.4,101,16,71.2,23,27,47,152.6,1525,39.6
50.7,101,19,70.0,23,27,47,161.3,1529,39.6
52.0,101,21,65.7,23,27,47,169.9,1438,39.2
53.3,101,23,63.8,23,27,48,184.0,1460,39.2
54.6,101,24,62.7,23,27,48,191.9,1406,38.9
55.9,101,25,62.5,23,27,49,199.9,1463,38.8
57.2,101,27,58.8,23,27,49,215.8,1350,38.5
58.5,101,28,51.3,23,27,50,220.0,1269,38.7
59.8,101,29,49.2,23,27,50,223.7,1209,38.8
61.1,101,29,41.2,23,27,50,231.3,1116,38.8
62.4,101,29,28.2,23,27,51,235.9,1405,38.8
63.7,101,29,25.1,23,27,51,240.0,1276,39.2
65.0,101,28,24.3,23,27,51,240.3,1262,39.2
66.3,101,26,21.9,23,27,52,244.0,1237,39.6
67.6,101,23,19.6,23,27,52,244.0,1312,40.0
68.9,101,20,18.8,23,27,52,244.0,1199,40.4
70.2,101,16,19.3,23,27,52,244.0,1139,40.8
71.5,101,12,20.1,23,27,52,244.0,1153,41.2
72.8,101,9,20.4,23,27,53,244.0,1076,41.2
74.1,101,7,23.3,23,27,53,244.0,974,41.6
75.4,101,5,29.4,23,27,53,244.0,935,41.6
76.7,101,4,32.6,23,27,53,244.0,963,41.6
78.0,101,3,37.1,23,27,53,242.7,885,41.6
79.3,101,1,37.2,23,27,54,240.0,872,42.0
80.6,101,0,35.6,23,27,54,240.0,862,42.0
81.9,101,0,34.9,23,27,54,240.0,862,41.6
83.2,101,0,30.3,23,27,54,239.8,862,41.6
84.5,101,0,25.5,23,27,54,236.0,800,41.6
85.8,101,0,24.7,23,27,54,235.2,749,41.6
87.1,101,0,24.3,23,27,54,232.0,725,41.6
88.4,101,0,24.3,23,27,55,232.0,712,41.6
89.7,101,0,25.5,23,27,55,231.4,716,41.6
91.0,101,0,30.5,23,27,55,228.0,764,41.6
92.3,101,0,31.8,23,27,55,228.0,780,41.6
93.6,101,0,33.6,23,27,55,226.9,804,41.6
94.9,101,0,33.3,23,27,55,224.0,822,41.6
96.2,101,0,31.9,23,27,55,224.0,812,41.6
97.5,101,0,31.4,23,27,56,224.0,813,41.6
98.8,101,0,27.2,23,27,56,223.4,823,41.6
100.1,101,0,23.5,23,27,56,220.0,796,41.6
101.4,101,0,22.7,23,27,56,220.0,737,41.2
102.7,101,0,22.4,23,27,56,219.7,725,41.2
104.0,101,0,22.0,23,27,56,216.0,676,41.2
105.3,101,0,24.9,23,27,56,215.3,667,41.2
106.6,101,0,29.2,23,27,56,212.0,728,41.2
107.9,101,0,31.4,23,27,57,212.0,753,41.2
109.2,101,0,32.5,23,27,57,212.0,788,41.2
110.5,101,0,32.1,23,27,57,211.4,800,41.2
111.8,101,0,31.4,23,27,57,208.0,800,41.2
113.1,101,0,31.4,23,27,57,208.0,800,41.2
114.4,101,0,26.4,23,27,57,208.0,802,41.2
115.7,101,1,33.5,23,27,57,208.0,914,41.2
117.0,101,4,43.9,23,27,57,208.6,1579,41.2
118.3,101,8,49.6,23,27,57,212.6,1627,40.8
119.6,101,12,56.0,23,27,57,217.7,1472,40.8
120.9,101,15,60.1,23,28,58,228.3,1425,40.4
122.2,101,17,65.8,23,28,58,232.7,1411,40.4
123.5,101,19,69.5,23,28,58,238.0,1533,40.4
124.8,100,21,68.3,23,28,58,247.4,1497,40.0
126.1,100,23,67.5,23,27,58,257.5,1435,40.0
127.4,100,24,66.1,23,27,52,264.5,1412,40.0
128.7,100,25,63.7,23,27,-39,277.3,1389,39.8
130.0,100,26,61.0,23,27,-36,279.8,1361,39.6
131.3,100,27,59.1,23,27,60,287.4,1341,39.6
132.6,101,28,49.7,23,27,60,291.4,1298,39.6
133.9,101,29,37.3,23,27,60,298.8,1163,39.6
135.2,101,29,35.5,23,27,61,300.0,1161,39.6
136.5,101,28,22.0,23,27,61,302.8,1198,39.6
137.8,101,27,24.3,23,27,61,298.5,1212,39.8
139.1,101,26,24.4,23,27,61,296.0,1205,40.0
140.4,101,25,26.7,23,27,62,293.6,1200,40.2
141.7,101,22,26.7,23,27,62,287.1,1193,40.4
143.0,101,21,30.5,23,27,62,286.4,1295,40.6
144.3,101,21,20.5,23,27,62,288.0,1351,40.6
145.6,101,21,25.9,23,27,62,288.0,1408,40.4
146.9,101,21,52.4,23,27,62,293.7,1736,40.4
148.2,101,23,51.0,23,27,62,298.8,1634,40.2
149.5,101,25,55.7,23,27,62,302.8,1363,40.0
150.8,101,28,50.1,23,27,62,306.8,1277,39.8
152.1,101,29,47.1,23,27,62,314.0,1271,39.6
153.4,101,30,51.9,23,27,62,318.8,1275,39.6
154.7,101,31,52.8,23,27,63,322.8,1290,39.6
156.0,101,33,55.4,23,27,63,327.0,1317,39.4
157.3,101,34,58.6,23,27,63,336.0,1347,39.2
158.6,101,35,56.5,23,27,63,342.3,1362,39.2
159.9,101,35,32.9,23,27,63,346.0,1316,39.2
161.2,101,35,24.6,23,27,64,348.0,1213,39.2
162.5,101,35,33.8,23,27,64,349.8,1150,39.2
163.8,101,35,37.2,23,27,65,352.0,1186,39.2
165.1,100,36,35.7,23,27,65,353.5,1238,39.2
166.4,100,36,34.0,23,27,65,356.0,1204,39.2
167.7,99,36,34.4,23,27,65,356.0,1183,39.2
169.0,99,36,37.1,23,27,65,357.6,1175,39.2
170.3,99,37,38.3,23,27,65,360.0,1182,39.3
171.6,99,37,39.6,23,27,65,361.1,1197,39.6
172.9,100,36,31.8,23,27,65,363.1,1192,39.6
174.2,101,35,24.2,23,27,66,359.4,1225,39.6
175.5,101,34,21.3,23,27,66,356.0,1225,39.6
176.8,101,33,20.0,23,27,66,355.4,1225,40.0
178.1,101,32,19.3,23,27,66,348.0,1225,40.0
179.4,101,32,18.8,23,27,67,348.0,1225,40.0
180.7,101,30,23.9,23,27,67,348.0,1175,40.0
182.0,101,30,31.6,23,27,67,348.0,1175,40.0
183.3,100,30,33.2,23,27,67,348.5,1176,40.0
184.6,100,30,39.9,23,27,67,352.0,1187,40.0
185.9,101,31,50.6,23,27,67,352.6,1267,40.0
187.2,100,31,52.1,23,26,67,357.7,1318,40.0
188.5,100,31,46.2,23,26,67,364.6,1269,39.6
189.8,99,31,42.1,23,26,67,369.0,1198,39.6
191.1,99,31,39.4,23,26,67,372.0,1190,39.5
192.4,100,31,27.3,23,26,67,372.0,1210,39.2
193.7,101,31,23.9,23,26,67,372.0,1234,39.2
195.0,100,31,32.8,23,26,67,372.0,1161,39.2
196.3,100,30,34.2,23,26,67,373.0,1196,39.2
197.6,99,31,34.2,23,26,67,376.0,1178,39.2
198.9,99,31,38.8,23,26,68,376.7,1215,39.2
200.2,99,31,43.6,23,26,68,381.2,1255,39.2
201.5,99,31,45.9,23,26,68,385.6,1278,39.2
202.8,99,32,50.4,23,26,68,389.4,1302,39.2
204.1,99,32,54.0,23,26,68,393.7,1350,39.2
205.4,99,33,54.0,23,26,68,400.0,1349,39.2
206.7,99,34,50.1,23,26,68,401.2,1331,39.2
208.0,99,34,44.9,23,26,68,408.5,1243,39.2
209.3,99,34,37.5,23,26,69,412.0,1150,39.2
210.6,100,34,27.9,23,26,69,412.0,1150,39.2
