BlueDriver Data Log
Oct 8, 2018 7:02:56 AM
Time (s),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Absolute Throttle Position B (%),Evap. System Vapor Pressure (Pa),Fuel Level Input (%),Barometric Pressure (kPa),Vehicle Speed (km/h),Absolute Load Value (%),Ambient Air Temperature (°C),Long Term Fuel Trim Bank 1 (%),Commanded Throttle Actuator (%),Commanded Equivalence Ratio (λ),Timing Advance for #1 cylinder (°),Accelerator Pedal Position E (%),Short Term Fuel Trim Bank 1 (%),Calculated Engine Load Value (%),Accelerator Pedal Position D (%),Engine RPM (rpm),Mass Air Flow Rate (g/s),Relative Throttle Position (%),Control Module Voltage (V),Intake Air Temperature (°C),Commanded Evaporative Purge (%),Absolute Throttle Position (%)
0.0,,,,,,,,,,,,,,,,,,,,,,,,
3.0,43,0.0,5.5,4.5,76.9,101,2,33.5,12,-4.7,5.4,0.999,3.2,0.0,4.3,41.4,0.0,,,,,,,
6.0,43,0.0,5.5,0.0,76.9,101,2,31.7,12,-4.7,5.1,0.999,4.4,0.0,7.3,43.1,0.0,800,4.40,0.4,13.624,12,0.0,5.5
9.0,43,0.0,5.5,0.4,76.9,101,0,34.5,12,-4.7,5.5,0.999,4.1,0.0,4.5,44.0,0.0,830,4.56,0.4,13.718,12,0.0,5.5
12.0,43,0.0,5.1,4.3,76.9,101,3,28.3,12,-0.3,5.2,0.999,9.0,0.0,4.4,36.9,0.0,952,4.62,0.5,13.736,12,0.1,6.0
15.0,43,0.0,7.2,4.2,76.9,101,7,38.8,12,-0.1,8.4,0.999,13.9,3.5,3.1,34.0,0.0,1233,5.13,0.7,13.680,12,0.4,8.2
18.0,43,0.0,7.2,2.0,76.9,101,10,39.6,12,-1.6,10.3,0.999,14.8,8.0,-1.4,43.4,0.0,1627,7.57,0.0,13.673,12,0.0,7.0
21.0,43,0.0,6.6,0.0,76.9,101,10,29.8,12,-1.8,6.7,0.998,8.9,0.0,0.1,39.3,0.0,1122,6.42,0.3,13.680,12,0.0,6.7
24.0,44,0.0,6.2,0.0,76.9,101,2,35.3,12,-4.7,5.5,0.999,4.7,0.0,0.0,42.2,0.0,972,5.31,0.4,13.714,12,0.0,6.1
27.0,44,0.0,5.5,0.2,76.9,101,1,33.6,12,-4.7,5.5,0.999,3.5,0.0,2.1,43.0,0.0,845,4.64,0.4,13.724,12,0.0,5.5
30.0,45,2.6,5.2,2.5,76.9,101,0,51.7,12,-2.8,10.3,0.999,6.5,4.9,3.1,47.3,2.7,994,5.45,0.4,13.599,12,0.0,5.1
33.0,45,20.4,12.4,14.0,76.9,101,7,73.6,12,0.0,19.5,0.998,14.0,21.5,-3.1,76.1,21.2,2441,26.33,12.3,13.655,12,18.0,15.1
36.0,46,54.0,23.7,30.4,76.9,100,28,75.9,12,-0.1,25.6,0.998,10.8,22.2,-1.6,82.6,22.1,2359,27.27,19.5,13.716,12,48.2,23.2
39.0,46,102.9,22.4,21.5,76.9,100,40,68.9,12,0.0,21.5,0.997,13.9,19.1,-0.2,77.8,19.5,2183,24.86,19.6,13.746,12,79.5,24.3
42.0,47,136.7,18.4,11.9,76.8,100,48,60.7,12,-0.4,16.8,1.000,17.0,14.1,0.9,63.4,13.6,1966,17.85,8.9,13.677,11,54.5,14.9
45.0,48,169.8,13.7,2.8,76.5,100,51,49.1,11,-1.7,10.8,1.013,12.6,9.7,1.7,61.2,10.0,1339,15.05,7.8,13.479,11,68.7,14.4
48.0,49,194.2,10.4,32.4,76.5,99,54,50.6,11,-1.6,10.7,1.005,12.9,9.6,2.0,61.3,10.3,1366,12.23,6.3,13.202,11,95.2,12.1
51.0,49,207.2,9.2,23.3,76.6,99,56,49.6,11,-1.6,10.0,0.991,12.5,7.5,3.9,53.6,7.4,1195,8.55,2.6,13.117,11,97.0,10.0
54.0,50,220.3,6.3,0.0,76.9,100,53,36.1,11,-1.7,7.1,1.012,10.2,3.0,0.7,42.5,3.4,1231,7.25,0.9,13.064,11,70.6,7.6
57.0,51,223.1,5.8,0.0,76.9,101,51,29.3,11,-1.6,6.5,1.007,10.9,0.0,-1.4,32.0,0.0,1264,5.62,0.4,13.040,11,0.0,5.5
60.0,51,231.4,5.5,15.8,77.0,101,43,22.2,11,-1.6,5.5,0.999,12.0,0.0,-0.8,26.0,0.0,1271,4.85,0.4,13.049,11,0.0,5.5
63.0,52,236.0,5.4,46.1,77.3,101,30,22.7,11,-1.6,5.5,1.005,11.9,0.0,-2.5,27.2,0.0,1235,4.85,0.4,12.999,11,0.0,5.5
66.0,52,235.9,5.1,55.8,77.3,101,10,26.5,11,-3.9,5.5,1.001,10.8,0.0,-2.7,33.3,0.0,1030,4.79,0.4,12.984,12,0.0,5.5
69.0,53,228.9,5.1,96.0,77.5,101,4,30.9,11,-4.7,5.3,1.000,5.9,0.0,-1.9,40.3,0.0,777,4.64,0.4,13.040,12,0.0,5.5
72.0,53,229.8,5.1,112.2,77.6,101,0,33.2,11,-4.7,5.1,1.000,-0.7,0.0,-0.5,43.4,0.0,787,4.38,0.4,13.044,12,0.0,5.2
75.0,53,225.3,5.0,112.2,77.6,101,0,32.0,11,-4.7,5.1,0.991,1.0,0.0,4.7,41.2,0.0,797,4.20,0.4,12.988,12,0.0,4.9
78.0,53,219.5,4.7,109.2,77.6,101,0,30.6,11,-4.7,4.7,0.996,3.9,0.0,4.2,39.9,0.0,764,3.90,0.4,12.924,12,0.0,4.6
81.0,54,215.7,4.7,73.6,77.6,101,0,29.4,11,-4.7,4.4,0.999,5.3,0.0,3.5,38.7,0.0,742,3.67,0.4,12.880,12,1.4,4.3
84.0,54,212.8,4.4,18.6,77.6,101,0,29.0,11,-4.7,4.3,0.999,5.9,0.0,3.3,37.9,0.0,747,3.61,0.4,12.888,12,7.8,4.3
87.0,54,207.8,4.3,0.4,77.6,101,0,28.7,11,-4.7,4.6,0.999,6.5,0.0,3.7,37.8,0.0,737,3.59,0.4,12.963,12,7.8,4.3
90.0,54,204.0,6.6,0.6,77.6,101,1,30.0,11,-4.7,5.5,0.998,6.5,0.0,0.8,45.1,0.0,837,5.23,2.3,13.006,12,23.9,8.2
93.0,54,205.7,15.0,0.0,77.3,100,12,64.9,11,-2.3,14.0,0.993,9.0,9.8,-0.1,61.8,8.7,1274,11.29,7.0,13.040,12,32.2,14.5
96.0,54,226.5,19.1,48.9,77.3,100,24,68.5,11,-1.6,16.5,0.994,10.3,15.2,0.3,73.8,16.3,1684,17.65,12.8,13.040,12,0.2,19.2
99.0,55,243.1,17.1,29.0,77.1,100,34,66.9,11,-1.6,15.3,0.999,10.5,13.1,2.2,69.5,14.9,1637,16.48,9.8,13.042,12,94.1,16.8
102.0,55,263.4,16.7,0.0,77.0,99,41,62.6,11,-1.6,15.0,1.003,12.4,14.1,1.6,73.2,14.8,1632,16.58,11.0,13.040,12,94.4,16.5
105.0,56,285.6,18.3,0.7,77.3,100,46,68.9,11,-1.6,19.5,0.989,6.5,16.3,1.6,77.6,16.4,1666,17.62,13.4,13.040,12,93.8,17.8
108.0,56,311.4,17.3,7.0,77.3,100,52,64.6,11,-1.6,16.7,0.990,9.3,15.3,2.9,70.4,13.9,1637,15.34,12.1,13.040,12,90.0,18.5
111.0,57,320.4,10.7,2.5,77.3,99,55,63.4,11,-1.6,15.1,0.997,9.8,13.4,3.2,59.0,8.7,1532,8.98,2.9,13.040,12,60.9,5.5
114.0,57,331.5,8.3,0.0,77.3,99,57,60.7,11,-1.6,14.6,1.008,5.7,14.9,-3.1,78.7,14.8,1484,15.37,11.3,13.040,12,82.1,11.7
117.0,58,342.9,9.7,0.0,77.3,99,58,48.6,11,-1.6,10.6,1.004,30.3,8.7,-2.0,50.2,10.7,1368,11.07,6.8,13.040,12,95.2,13.5
120.0,59,351.9,11.0,0.0,77.3,99,60,52.1,11,-1.6,11.4,1.009,21.3,9.2,-1.2,50.5,9.9,1352,9.76,4.2,13.040,12,90.0,9.5
123.0,59,361.7,11.3,17.4,77.5,99,60,55.5,11,-1.6,12.0,1.005,13.8,9.3,-0.3,57.0,9.8,1394,10.81,5.6,13.040,11,55.3,7.5
126.0,60,368.6,8.4,26.4,77.6,99,60,47.8,11,-1.6,10.2,0.996,12.0,4.3,0.9,35.2,4.6,1275,5.57,0.8,13.042,11,87.3,8.9
129.0,60,370.5,5.8,20.4,77.6,99,59,30.6,11,-1.6,4.9,0.985,10.0,0.0,1.6,26.7,0.0,1248,4.87,0.5,13.040,11,42.2,7.2
