BlueDriver Data Log
Aug 27, 2018 8:05:04 AM
Time (s),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Fuel Level Input (%),Barometric Pressure (kPa),Vehicle Speed (MPH),Absolute Load Value (%),Ambient Air Temperature (°C),Calculated Engine Load Value (%),Engine RPM (rpm),Relative Throttle Position (%),Control Module Voltage (V),Intake Air Temperature (°C),Absolute Throttle Position (%)
0.0,,,,,,,,,,,,,
3.1,32,0.0,100.0,101,7,42.8,17,48.4,1882,4.9,13.200,18,10.7
6.2,32,0.0,100.0,101,13,34.1,17,37.0,1474,2.2,13.401,18,9.7
9.3,33,0.0,100.0,101,14,23.1,17,27.6,1297,0.6,13.615,18,5.2
12.4,34,0.0,100.0,101,11,27.5,17,32.7,1198,1.3,13.760,18,6.3
15.5,35,0.0,100.0,101,7,28.5,17,34.4,1227,1.2,13.760,18,6.7
18.6,35,0.0,100.0,101,6,26.8,17,31.2,1430,1.8,13.760,18,7.8
21.7,37,0.0,100.0,101,12,56.9,17,64.3,1676,7.5,13.779,18,13.3
24.8,38,0.0,100.0,101,18,55.9,17,65.9,1312,6.4,13.723,18,10.8
27.9,38,0.0,100.0,101,21,32.4,17,39.8,1236,0.6,13.680,18,6.3
31.0,39,0.0,100.0,101,21,26.2,17,30.7,1252,1.6,13.753,18,6.0
34.1,40,0.0,100.0,101,19,26.1,17,31.0,1241,1.6,13.808,18,5.9
37.2,41,0.0,100.0,101,12,29.8,17,35.4,1048,1.2,13.760,18,5.9
40.3,41,0.0,100.0,101,3,36.7,17,51.0,1166,3.8,13.840,18,7.2
43.4,42,0.0,100.0,101,8,53.7,17,58.7,2071,8.4,13.840,18,14.6
46.5,42,13.4,100.0,101,16,47.0,17,45.3,1389,4.1,13.761,18,10.9
49.6,43,25.8,100.0,101,16,22.5,17,27.5,1180,0.4,13.760,18,5.3
52.7,43,33.0,100.0,101,11,21.1,17,26.0,1134,0.4,13.760,18,4.7
55.8,44,36.0,100.0,101,2,27.0,17,35.8,859,0.4,13.698,18,4.7
58.9,45,40.0,100.0,101,0,28.1,17,36.5,827,0.4,13.663,18,4.7
62.0,45,40.5,100.0,101,0,26.8,17,35.0,841,0.4,13.631,18,4.6
65.1,46,44.0,100.0,101,1,26.4,17,34.2,837,0.4,13.600,18,4.3
68.2,46,44.5,100.0,101,1,25.9,17,33.3,829,0.4,13.528,18,4.3
71.3,47,53.0,100.0,101,4,38.2,17,47.5,1473,5.9,13.287,18,9.9
74.4,47,71.5,100.0,101,13,60.3,17,68.0,1479,8.0,13.104,18,13.0
77.5,47,96.3,100.0,101,19,65.5,17,76.1,1466,10.2,13.108,18,15.2
80.6,48,125.5,100.0,101,24,66.8,17,77.9,1386,10.5,13.098,18,15.3
83.7,49,153.8,100.0,100,27,65.0,17,75.1,1417,10.5,12.864,18,14.7
86.8,50,178.0,100.0,100,29,51.9,17,65.4,1318,7.1,13.040,18,11.6
89.9,51,180.3,100.0,101,30,23.7,17,28.4,1190,0.4,13.045,18,5.2
93.0,52,181.3,100.0,101,28,20.1,17,23.7,1200,0.4,13.040,18,4.7
96.1,52,176.0,100.0,101,25,19.6,17,23.4,1200,0.4,12.993,18,4.7
99.2,52,172.7,100.0,101,15,20.9,17,25.9,1066,0.4,12.973,18,4.7
102.3,52,172.0,100.0,101,5,22.2,17,29.4,891,0.4,12.984,18,4.9
105.4,52,168.0,100.0,101,0,27.7,17,36.4,805,0.4,12.880,18,4.3
108.5,52,173.8,100.0,101,4,55.2,17,62.0,1758,7.8,12.946,18,10.5
111.6,53,189.9,100.0,101,14,66.2,17,75.0,1576,11.6,13.040,18,17.3
114.7,53,214.4,100.0,101,22,72.4,17,83.1,1720,17.0,13.040,18,21.2
117.8,54,239.0,100.0,101,27,66.2,17,76.2,1577,11.0,12.925,18,14.6
120.9,55,259.7,100.0,101,29,42.6,17,44.8,1386,1.7,13.040,17,9.0
124.0,56,268.0,100.0,101,30,23.9,17,31.9,1231,2.3,13.040,17,4.6
127.1,56,262.0,100.0,101,28,18.8,17,22.4,1200,0.4,13.040,18,4.3
130.2,57,256.0,100.0,101,26,18.8,17,22.4,1212,0.4,13.040,18,4.3
133.3,57,249.4,100.0,101,21,19.1,17,22.4,1158,0.4,12.997,18,4.3
136.4,57,242.5,100.0,101,13,20.7,17,25.2,1075,0.4,13.024,18,4.3
139.5,57,236.2,100.0,101,7,21.4,17,28.1,911,0.1,12.847,18,5.0
142.6,57,234.4,100.0,101,0,29.6,17,38.7,744,0.4,12.897,18,4.3
145.7,57,232.0,100.0,101,0,28.1,17,36.3,719,0.4,12.831,18,3.9
148.8,57,226.5,100.0,101,0,25.9,17,34.5,712,0.4,13.022,18,3.9
151.9,57,220.3,100.0,101,0,24.8,17,32.5,712,0.4,12.996,18,3.5
155.0,57,218.1,100.0,101,0,24.1,17,31.3,687,0.4,12.951,18,3.5
158.1,57,216.0,100.0,101,0,22.9,17,30.1,687,0.4,13.060,18,3.4
161.2,57,209.8,100.0,101,0,22.5,17,29.3,686,0.4,13.027,18,3.1
164.3,57,207.4,100.0,101,0,22.0,17,28.7,675,0.4,12.920,18,3.1
167.4,57,204.0,100.0,101,0,22.0,17,28.6,664,0.4,13.040,18,3.1
170.5,57,200.0,100.0,101,0,21.2,17,28.3,712,0.4,12.925,18,3.1
173.6,58,203.1,100.0,101,3,38.8,17,49.2,1436,8.3,13.030,18,11.7
176.7,58,216.0,100.0,101,13,68.0,17,78.3,1606,13.5,12.960,18,16.5
179.8,58,239.8,100.0,100,20,69.3,17,74.3,1676,10.9,13.040,18,18.0
182.9,59,254.1,100.0,100,24,43.8,17,55.7,1355,3.1,13.040,18,6.5
186.0,60,255.5,100.0,101,21,18.6,17,21.9,1170,0.4,13.040,18,4.3
189.1,60,249.6,100.0,101,19,19.1,17,22.8,1133,0.4,13.040,18,4.3
192.2,60,243.6,100.0,101,14,20.3,17,24.6,1047,0.4,13.004,18,4.3
195.3,60,237.5,100.0,101,5,27.5,17,28.9,1044,0.4,12.957,18,4.3
198.4,60,236.9,100.0,101,4,51.0,17,55.6,1673,5.3,12.923,18,9.2
201.5,60,245.5,100.0,100,12,50.9,17,60.3,1515,7.0,12.960,18,11.3
204.6,61,258.2,100.0,100,18,56.5,17,67.2,1346,7.3,13.013,18,11.6
207.7,61,273.5,100.0,100,23,68.6,17,80.9,1507,13.5,13.048,18,17.1
210.8,62,297.8,100.0,100,29,69.8,17,81.0,1607,13.9,13.072,18,18.0
213.9,62,323.7,100.0,100,33,64.5,17,75.1,1593,12.3,13.040,18,16.6
217.0,63,340.4,100.0,100,37,46.0,17,58.1,1468,7.0,13.040,18,12.3
220.1,64,348.9,100.0,99,39,44.6,17,53.3,1419,5.1,13.040,18,9.3
223.2,65,355.8,100.0,99,41,24.5,17,29.1,1200,1.9,12.967,18,6.8
226.3,66,349.9,100.0,101,37,18.0,17,21.2,1176,0.4,13.023,18,4.3
229.4,66,339.6,100.0,102,31,17.5,17,20.9,1215,0.4,13.040,18,4.3
232.5,66,333.1,100.0,102,21,17.6,17,21.0,1190,0.4,13.040,18,4.3
235.6,66,326.5,100.0,102,13,20.0,17,24.6,1038,0.4,13.040,18,4.3
238.7,66,320.4,100.0,102,7,21.1,17,29.0,1026,0.7,12.935,18,4.3
241.8,66,313.8,100.0,102,3,26.2,17,33.7,800,0.4,12.880,18,4.3
244.9,66,307.4,100.0,102,0,29.9,17,39.5,643,0.4,12.804,18,3.9
248.0,66,300.7,100.0,101,0,28.6,17,36.8,654,0.4,12.867,18,3.5
