BlueDriver Data Log
Dec 18, 2018 6:57:46 AM
Time (s),Accelerator Pedal Position E (%),Mass Air Flow Rate (g/s),Intake Air Temperature (°C),O2 Bank 1 - Sensor 2 - Oxygen Sensor Voltage (V),Absolute Throttle Position B (%),Fuel Level Input (%),Ambient Air Temperature (°C),Calculated Engine Load Value (%),Absolute Throttle Position (%),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Absolute Load Value (%),Long Term Fuel Trim Bank 1 (%),Commanded Throttle Actuator (%),Wide Range O2S: Bank 1 - Sensor 1 - Equivalence Ratio (λ),Short Term Fuel Trim Bank 1 (%),Relative Throttle Position (%),Commanded Evaporative Purge (%),Evap. System Vapor Pressure (Pa),Barometric Pressure (kPa),Vehicle Speed (km/h),Wide Range O2S: Bank 1 - Sensor 1 - Voltage (V),Timing Advance for #1 cylinder (°),Commanded Equivalence Ratio (λ),O2 Bank 1 - Sensor 2 - Short Term Fuel Trim (%),Engine RPM (rpm),Accelerator Pedal Position D (%),Control Module Voltage (V)
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.2,0.0,5.25,10,0.279,6.0,100.0,10,49.4,6.2,21,0.0,39.5,-7.0,6.4,0.999,5.1,0.4,0.0,0.0,102,2,2.216,6.3,0.999,99.2,839,0.0,13.523
34.4,7.0,7.96,10,0.280,7.7,100.0,10,29.9,6.2,24,0.0,24.8,-2.3,6.5,0.995,2.5,1.0,0.0,0.0,102,9,2.142,37.1,0.999,99.2,1314,7.2,13.600
51.6,1.9,6.33,10,0.280,6.9,100.0,10,51.3,7.4,27,3.0,41.3,-6.2,6.7,1.020,4.5,1.0,0.0,0.0,102,15,2.166,8.0,0.998,99.2,1007,2.6,13.760
68.8,7.7,8.64,9,0.229,8.8,100.0,9,50.9,9.8,33,15.7,39.6,-2.3,8.5,1.022,3.1,4.6,0.0,0.0,102,50,2.090,19.3,0.996,99.2,1359,9.6,13.806
86.0,7.7,8.41,9,0.281,9.8,100.0,9,53.5,11.1,37,132.9,56.5,-2.3,12.9,0.972,1.1,8.4,0.0,0.0,102,53,2.197,29.0,0.996,99.2,1317,6.5,13.760
103.2,1.2,6.42,9,0.769,7.3,100.0,9,36.1,6.0,41,216.0,24.4,-2.3,6.1,1.005,1.8,0.4,0.0,4.4,102,49,2.187,12.8,0.997,99.2,1262,0.0,13.602
120.4,0.0,4.56,9,0.705,5.5,100.0,9,42.4,5.5,42,217.7,33.3,-7.0,5.5,0.995,8.3,0.4,0.0,0.0,102,0,2.178,3.5,0.990,99.2,847,0.0,13.830
137.6,18.5,19.09,9,0.449,20.9,100.0,9,78.8,20.4,43,238.0,70.0,-0.8,20.1,1.002,0.7,15.2,9.1,4.6,102,29,2.217,9.0,0.987,99.2,1760,19.2,12.970
154.8,14.8,15.16,8,0.756,15.6,100.0,8,72.2,14.6,47,338.3,61.0,-2.0,14.1,1.012,-2.9,8.5,96.3,4.1,101,54,2.197,14.7,0.989,99.2,1410,14.7,13.040
172.0,15.8,17.06,8,0.698,17.2,100.0,8,72.6,15.8,51,404.8,69.8,-0.8,19.6,0.994,-2.4,15.4,88.9,13.6,102,62,2.219,9.5,0.991,99.2,1671,16.6,13.040
189.2,0.0,4.82,8,0.000,5.3,100.0,8,28.4,5.7,54,422.5,24.7,-2.3,5.7,1.855,0.0,0.6,0.0,0.0,102,56,3.659,-6.0,0.000,99.2,1202,0.0,12.997
206.4,21.2,23.39,7,0.773,25.9,100.0,7,84.0,25.9,55,478.4,74.5,0.0,25.9,0.997,-0.8,21.2,91.0,1.0,101,63,2.167,8.9,0.999,99.2,1967,21.2,12.928
223.6,25.5,28.32,7,0.751,35.5,100.0,7,88.1,35.0,60,545.1,77.7,0.0,33.9,0.999,-1.5,29.3,88.8,0.0,102,80,2.192,10.6,1.004,99.2,2261,25.7,12.936
240.8,24.3,29.84,6,0.737,33.3,100.0,6,85.7,33.2,65,595.0,76.6,0.0,34.5,0.998,-1.9,30.6,88.1,0.2,101,86,2.198,13.2,0.996,99.2,2520,25.6,13.040
258.0,22.1,31.08,6,0.740,25.7,100.0,6,74.0,23.0,70,618.9,71.7,0.0,26.8,0.994,-2.5,22.2,43.0,1.8,101,95,2.188,17.5,0.998,99.2,2731,22.5,13.040
275.2,21.2,26.02,6,0.716,27.2,100.0,6,82.0,26.6,73,624.0,72.6,-0.8,26.3,0.998,2.0,20.3,90.7,10.9,101,99,2.187,14.1,1.010,99.2,2186,21.4,13.113
292.4,19.3,23.33,6,0.680,22.2,100.0,6,77.2,21.8,76,620.0,69.2,-0.8,21.8,0.999,0.0,17.8,92.0,1.9,101,96,2.192,12.2,1.000,99.2,2009,19.6,12.960
309.6,11.6,12.77,6,0.786,13.4,100.0,6,56.0,11.8,76,605.6,39.8,-2.2,12.2,1.009,-1.4,8.6,84.7,0.0,100,106,2.162,39.1,1.011,99.2,2001,10.0,13.040
326.8,17.4,23.00,6,0.423,23.1,100.0,6,77.0,22.6,76,576.0,65.9,-0.8,20.5,1.003,0.0,15.6,5.9,10.4,102,112,2.201,21.0,0.997,99.2,2129,15.3,13.040
344.0,15.3,19.02,6,0.723,16.9,100.0,6,67.2,16.9,76,580.0,61.2,-1.6,17.4,0.995,-0.6,13.2,91.4,8.9,100,109,2.187,22.6,0.999,99.2,2054,15.5,13.040
361.2,15.5,18.46,6,0.727,17.1,100.0,6,68.4,18.8,77,576.0,67.7,-0.9,20.1,1.001,-1.6,15.4,92.3,0.0,101,104,2.185,18.4,1.000,99.2,1950,15.2,13.061
378.4,16.3,19.13,5,0.725,18.8,100.0,5,71.0,18.8,78,568.3,66.7,-27.4,20.8,0.998,0.3,14.4,92.8,8.6,101,100,2.194,16.4,1.002,99.2,1942,18.3,13.040
395.6,18.1,20.87,5,0.715,21.5,100.0,5,73.1,19.0,78,560.0,66.7,-3.7,20.4,1.011,2.5,6.5,63.4,6.0,101,96,2.127,13.5,1.006,99.2,1872,18.9,13.040
412.8,22.0,23.73,5,0.753,29.1,100.0,5,87.9,29.7,79,571.7,76.0,-0.8,26.1,1.004,1.0,9.7,46.2,0.0,101,100,2.098,27.0,1.005,99.2,1900,20.7,13.040
430.0,13.1,14.95,5,0.742,13.0,100.0,5,37.8,10.6,81,572.0,56.8,-1.4,17.8,1.006,-0.3,14.8,92.5,0.0,100,100,2.188,14.8,0.999,99.2,1930,13.3,13.040
447.2,20.0,25.05,5,0.708,24.0,100.0,5,82.2,24.4,82,578.5,74.0,-0.8,22.2,1.003,0.8,18.1,50.6,2.5,101,103,2.189,12.3,0.997,99.2,2085,20.5,13.040
464.4,19.8,24.12,5,0.713,24.7,100.0,5,83.3,26.2,84,588.0,67.7,-0.8,25.3,1.000,1.9,21.5,90.2,0.8,101,102,2.201,11.6,1.002,99.2,2045,19.6,13.040
481.6,20.1,24.00,5,0.707,25.0,100.0,5,82.2,24.2,85,596.0,72.6,-0.8,24.6,1.008,-0.4,16.7,91.5,11.6,100,102,2.202,14.3,0.997,99.2,1997,19.8,12.970
498.8,21.6,26.83,5,0.711,27.1,100.0,5,83.9,27.1,87,601.2,73.9,-0.8,27.0,1.001,1.5,22.6,89.2,2.9,100,100,2.186,13.5,0.997,99.2,2269,21.9,12.975
516.0,19.0,22.30,5,0.720,22.0,100.0,5,78.6,23.7,87,611.0,71.0,-0.8,17.8,1.006,0.8,9.8,86.9,43.5,100,98,2.130,26.7,1.010,99.2,1932,15.6,12.922
533.2,8.9,10.66,5,0.755,10.3,100.0,5,39.9,5.7,87,597.0,18.7,-2.1,6.1,1.133,-2.7,1.5,69.3,24.5,99,104,2.142,38.1,1.010,99.2,1923,9.5,13.040
550.4,20.3,24.14,5,0.712,26.0,100.0,5,85.3,26.1,86,566.4,74.5,-0.8,25.9,1.000,0.2,21.6,89.4,4.6,100,94,2.205,9.9,0.991,99.2,2075,20.5,13.040
567.6,20.4,24.61,5,0.695,25.4,100.0,5,82.7,25.4,86,592.6,72.2,-0.8,23.2,1.004,0.1,18.9,90.9,0.6,100,91,2.188,11.8,0.998,99.2,2107,20.3,13.003
584.8,17.5,20.84,5,0.715,20.0,100.0,5,74.3,21.5,87,596.0,69.7,-0.8,22.4,1.001,0.0,18.1,78.4,0.0,100,100,2.176,13.5,1.000,99.2,2017,18.4,12.962
602.0,6.3,9.55,5,0.247,8.3,100.0,5,29.1,8.6,87,572.0,23.0,-3.9,7.7,0.918,5.8,3.3,52.1,108.3,100,97,1.972,19.1,0.667,99.2,1835,8.8,13.040
