BlueDriver Data Log
Aug 2, 2018 5:04:41 PM
Time (s),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Fuel Level Input (%),Barometric Pressure (kPa),Vehicle Speed (MPH),Absolute Load Value (%),Ambient Air Temperature (°C),Calculated Engine Load Value (%),Engine RPM (rpm),Relative Throttle Position (%),Control Module Voltage (V),Intake Air Temperature (°C),Absolute Throttle Position (%)
0.0,,,,,,,,,,,,,
3.1,43,12.0,91.8,101,0,18.8,34,22.4,1387,0.4,14.400,34,5.5
6.2,44,12.0,91.4,101,0,17.7,34,20.9,1274,0.4,14.320,34,4.7
9.3,45,12.0,91.4,101,0,23.4,34,26.5,1110,0.4,13.747,34,5.1
12.4,45,12.0,91.4,101,0,24.9,33,31.8,805,0.4,13.737,34,4.3
15.5,45,12.0,91.4,101,0,23.4,33,31.0,825,0.4,13.745,33,4.3
18.6,46,12.0,91.4,101,0,23.2,33,31.0,799,0.4,13.495,33,4.0
21.7,47,12.0,91.4,101,0,26.3,33,34.9,854,0.4,13.299,33,4.2
24.8,47,12.0,91.4,101,3,31.0,33,39.0,1086,1.9,13.124,33,6.9
27.9,47,12.0,91.0,101,10,47.8,33,55.1,1342,4.5,13.012,33,10.2
31.0,48,12.0,91.0,101,15,49.9,33,58.3,1235,4.3,12.943,33,10.2
34.1,49,12.0,91.0,101,19,32.0,33,32.9,1439,1.0,12.940,33,8.5
37.2,50,12.0,91.0,101,20,26.6,33,31.4,1415,0.7,12.917,33,6.6
40.3,50,12.0,91.0,101,17,19.6,33,23.1,1231,0.4,13.040,33,4.9
43.4,51,12.0,91.0,101,7,22.9,32,38.4,1295,4.0,12.994,33,6.7
46.5,52,12.0,91.0,101,11,47.3,32,53.4,2115,8.2,12.884,32,14.0
49.6,52,13.9,91.0,101,19,53.2,32,58.8,1696,6.9,12.917,32,12.3
52.7,54,33.3,91.0,101,23,35.4,32,42.8,1407,3.1,13.040,32,8.2
55.8,54,47.4,91.0,101,25,30.9,32,36.0,1172,1.0,12.915,32,6.8
58.9,55,58.7,91.0,101,24,31.7,32,35.6,1192,1.0,12.940,32,7.1
62.0,56,74.0,91.0,101,22,26.9,30,31.1,1304,0.4,12.925,31,6.3
65.1,56,85.0,91.0,101,17,27.0,30,31.9,1230,0.4,13.040,30,6.3
68.2,57,92.5,91.0,101,8,29.3,30,36.3,1074,0.4,13.040,30,5.9
71.3,58,96.0,91.0,101,2,36.7,30,48.5,882,0.4,12.908,30,5.9
74.4,58,102.9,91.0,101,4,45.7,30,57.0,1320,7.5,13.023,30,12.9
77.5,58,121.8,91.0,101,13,54.5,30,68.2,1420,7.5,13.016,32,11.7
80.6,59,135.8,91.0,101,16,26.9,30,31.8,1270,0.4,13.050,32,5.9
83.7,60,146.0,90.6,101,16,25.7,30,30.2,1225,0.4,13.029,32,5.9
86.8,60,152.0,90.6,101,16,25.1,30,30.0,1225,0.6,12.986,32,6.0
89.9,61,157.6,90.6,101,16,31.3,30,33.9,1356,2.2,13.040,32,8.0
93.0,61,175.8,90.6,101,20,56.8,30,64.6,1577,8.2,13.025,32,13.8
96.1,62,196.5,90.7,101,24,65.1,30,75.4,1390,10.2,12.911,30,15.5
99.2,63,220.0,90.7,101,27,62.0,30,73.7,1387,8.7,13.033,30,13.8
102.3,63,242.3,91.0,101,30,57.3,30,67.1,1340,6.6,12.960,30,12.1
105.4,65,260.8,91.0,100,33,56.1,30,66.7,1329,5.9,12.955,30,11.4
108.5,65,279.9,91.0,99,35,56.5,30,68.1,1348,6.6,12.828,30,11.6
111.6,66,291.6,91.0,101,36,55.7,30,65.8,1338,6.8,12.960,30,12.4
114.7,67,304.8,90.6,100,38,54.2,29,65.5,1324,5.3,12.960,29,9.9
117.8,67,312.0,90.6,100,38,26.3,29,30.7,1193,0.4,12.960,29,6.1
120.9,68,312.0,90.6,101,36,20.4,29,24.2,1297,0.4,12.960,29,5.1
124.0,68,314.9,90.6,100,36,28.6,29,32.1,1422,1.8,12.960,29,6.6
127.1,69,326.1,90.7,99,36,49.0,29,58.6,1393,4.6,12.960,29,9.9
130.2,69,337.3,90.8,99,37,51.2,29,61.6,1310,3.9,12.960,29,9.9
133.3,69,347.4,91.0,99,37,51.9,29,60.8,1314,4.2,12.960,29,10.5
136.4,70,357.9,91.0,100,39,45.1,29,57.1,1247,4.7,12.896,29,7.6
139.5,70,353.6,91.0,101,37,29.5,29,35.5,1178,0.4,12.894,29,6.3
142.6,71,342.7,91.0,101,33,24.3,29,29.5,1173,0.4,12.960,29,5.7
145.7,71,332.8,91.0,101,26,21.7,29,25.5,1207,0.4,12.976,29,5.1
148.8,71,326.8,91.0,101,17,20.7,29,24.3,1125,0.4,12.979,29,5.3
151.9,71,324.0,91.0,101,10,26.7,29,32.0,1136,0.4,12.960,29,5.5
155.0,71,320.0,91.0,101,4,34.5,29,44.8,869,0.4,12.960,29,5.9
158.1,71,317.0,91.0,101,0,36.1,29,46.3,884,0.4,12.960,29,5.9
161.2,71,310.8,91.0,101,0,34.4,29,43.9,888,0.4,12.960,29,5.7
164.3,71,304.8,91.0,101,0,33.2,29,43.1,870,0.4,12.960,29,5.5
167.4,71,302.2,90.9,101,0,32.8,29,42.0,850,0.4,13.066,29,5.3
170.5,71,296.2,90.6,101,2,42.6,29,49.3,1221,2.6,12.946,29,8.0
173.6,72,302.9,90.6,101,8,52.4,29,60.7,1503,7.2,13.023,29,12.4
176.7,72,310.1,90.6,101,15,59.5,29,68.8,1368,8.3,12.933,29,12.9
179.8,72,321.9,90.6,101,20,58.0,29,67.6,1329,8.7,12.888,29,12.9
182.9,73,330.9,90.6,101,23,60.2,29,69.7,1414,9.6,13.019,29,13.3
186.0,74,343.1,90.6,101,26,59.4,29,69.6,1304,8.4,13.040,29,13.3
189.1,74,363.5,90.6,100,29,60.2,29,71.3,1346,7.8,13.040,29,12.9
192.2,75,378.4,90.6,99,31,55.1,29,66.0,1313,5.5,12.973,29,11.5
195.3,75,388.8,90.6,99,31,48.6,29,59.6,1247,4.3,13.064,28,10.2
198.4,76,394.9,90.9,100,32,45.2,28,53.6,1206,2.6,13.040,28,8.1
201.5,76,400.9,91.0,99,32,38.6,28,47.0,1204,2.4,12.997,28,7.8
204.6,77,406.7,91.0,100,32,33.8,28,41.1,1187,1.7,13.040,28,6.4
207.7,77,406.9,91.0,101,30,19.1,28,23.7,1188,0.3,13.040,28,4.6
210.8,77,394.4,91.0,101,27,24.5,28,29.3,1212,0.4,13.040,28,5.4
