BlueDriver Data Log
Sep 17, 2018 7:05:45 AM
Time (s),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Absolute Throttle Position B (%),Evap. System Vapor Pressure (Pa),Fuel Level Input (%),Barometric Pressure (kPa),Vehicle Speed (MPH),Absolute Load Value (%),Ambient Air Temperature (°C),Long Term Fuel Trim Bank 1 (%),Commanded Throttle Actuator (%),Commanded Equivalence Ratio (λ),Timing Advance for #1 cylinder (°),Accelerator Pedal Position E (%),Short Term Fuel Trim Bank 1 (%),Calculated Engine Load Value (%),Accelerator Pedal Position D (%),Engine RPM (rpm),Mass Air Flow Rate (g/s),Relative Throttle Position (%),Control Module Voltage (V),Intake Air Temperature (°C),Commanded Evaporative Purge (%),Absolute Throttle Position (%)
0.0,,,,,,,,,,,,,,,,,,,,,,,,
2.8,77,567.2,16.2,0.0,77.2,100,50,45.1,12,-1.3,16.7,1.011,19.2,18.2,-2.2,85.3,21.4,1635,,,,,,
5.6,77,571.3,29.3,0.0,77.0,100,51,66.5,12,-0.5,25.3,1.007,15.3,22.0,-1.5,87.2,23.6,1930,23.62,28.4,13.655,14,90.4,33.2
8.4,78,579.0,32.8,0.0,76.8,100,52,77.6,12,0.0,31.8,1.003,11.5,25.8,-0.9,89.1,25.8,2225,27.53,29.0,13.718,14,89.2,33.7
11.2,78,587.6,32.8,0.0,76.5,100,53,73.6,12,-0.2,26.4,1.003,13.0,24.0,-0.4,87.7,25.2,2320,29.00,28.7,13.760,14,88.2,33.8
14.0,78,595.5,32.1,2.0,76.5,100,54,75.8,12,0.0,27.5,1.000,11.3,22.4,-0.1,85.0,23.0,2229,27.05,26.4,13.752,12,88.8,31.5
16.8,78,601.4,31.1,2.5,76.5,100,55,74.5,12,0.0,25.6,0.999,10.7,21.1,-0.9,84.3,22.0,2153,26.18,24.2,13.760,12,89.5,29.6
19.6,79,604.9,31.6,0.6,76.5,100,57,77.7,12,-0.0,35.6,1.009,11.2,25.6,-1.8,87.9,25.6,2324,28.73,27.5,13.760,12,89.2,31.2
22.4,80,611.4,33.6,12.7,76.9,100,59,74.6,12,-0.2,42.6,1.006,15.9,25.2,-2.5,88.8,26.7,2399,30.34,31.6,13.760,12,87.8,37.9
25.2,81,613.9,33.9,7.3,76.9,100,61,74.1,12,-0.9,26.0,0.999,23.0,19.9,-3.1,85.5,22.4,2102,25.79,25.6,13.750,12,89.9,32.3
