BlueDriver Data Log
Aug 30, 2018 7:20:43 AM
Time (s),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Fuel Level Input (%),Barometric Pressure (kPa),Vehicle Speed (MPH),Absolute Load Value (%),Ambient Air Temperature (°C),Calculated Engine Load Value (%),Engine RPM (rpm),Relative Throttle Position (%),Control Module Voltage (V),Intake Air Temperature (°C),Absolute Throttle Position (%)
0.0,,,,,,,,,,,,,
3.1,28,4.0,86.7,102,0,32.4,16,41.2,849,0.8,13.680,17,5.3
6.2,29,4.0,86.7,102,4,38.9,16,44.6,1312,2.7,13.471,17,8.4
9.3,30,4.0,86.7,102,10,43.9,16,50.9,1306,3.0,13.310,17,9.1
12.4,31,4.0,86.7,102,13,35.9,16,39.5,1193,0.5,13.040,17,6.5
15.5,31,4.0,86.3,102,12,27.5,16,32.7,1246,1.3,12.994,17,6.5
18.6,32,4.0,86.6,102,9,28.5,16,34.3,1316,1.6,13.040,17,6.7
21.7,33,6.9,86.7,102,10,38.0,16,43.1,1621,3.1,13.040,17,9.2
24.8,34,26.7,86.7,102,14,52.5,16,61.5,1370,6.1,12.888,17,12.0
27.9,35,48.9,86.3,102,19,52.5,16,62.2,1240,4.6,13.040,16,10.7
31.0,36,62.0,86.3,102,21,38.1,16,39.6,1195,0.7,12.906,16,6.3
34.1,37,74.3,86.4,102,21,26.7,16,31.5,1282,1.6,13.090,16,6.3
37.2,38,86.1,86.7,102,17,27.1,16,32.0,1242,1.6,13.040,16,5.9
40.3,38,92.0,86.7,102,7,31.9,16,40.5,834,1.6,13.040,16,5.9
43.4,39,99.5,87.0,102,7,59.6,16,68.6,2090,11.4,13.040,16,17.4
46.5,40,129.6,87.1,101,17,56.5,16,74.0,1774,14.4,12.905,16,17.9
49.6,41,144.2,87.1,102,20,21.2,16,24.7,1440,0.6,13.040,16,5.3
52.7,42,150.4,87.1,102,13,32.5,16,25.5,1399,0.4,13.040,16,5.0
55.8,42,173.6,87.1,101,14,66.0,16,70.5,2139,14.4,13.055,16,20.8
58.9,43,203.1,87.1,101,23,76.1,16,85.8,1843,19.5,13.049,16,23.9
62.0,44,233.6,87.1,101,28,72.5,16,81.5,1725,14.1,13.067,16,20.2
65.1,45,261.8,87.1,101,31,50.8,16,61.4,1598,8.7,13.040,16,9.2
68.2,47,268.0,87.1,101,32,29.0,16,34.1,1392,0.9,13.040,16,6.8
71.3,47,267.3,87.1,102,31,21.5,16,25.8,1237,0.4,13.040,16,5.0
74.4,48,261.0,87.1,102,28,20.4,16,24.5,1220,0.4,13.125,16,4.7
77.5,48,256.0,87.2,102,20,21.0,16,25.5,1164,0.4,13.067,16,5.3
80.6,48,255.9,87.5,102,12,20.8,16,24.6,1159,0.4,13.040,16,4.7
83.7,49,256.2,87.6,102,8,53.2,16,60.9,1936,6.7,12.972,16,13.4
86.8,49,276.2,87.8,101,17,71.2,16,80.5,2042,16.4,13.040,16,20.7
89.9,49,294.4,88.2,101,25,75.2,16,84.7,1826,18.9,12.998,16,23.5
93.0,51,324.5,88.2,102,30,74.1,16,84.3,1816,19.1,12.968,16,23.1
96.1,51,346.5,88.2,101,34,69.2,16,79.2,1762,15.7,12.992,16,19.7
99.2,53,365.1,88.5,101,37,59.3,15,67.2,1690,7.8,13.040,16,13.2
102.3,53,381.6,88.6,100,40,58.0,15,66.7,1618,8.9,13.040,16,13.8
105.4,55,391.5,88.6,100,41,33.9,15,34.8,1337,0.6,13.040,16,5.8
108.5,55,383.5,88.4,101,39,20.4,15,24.4,1162,0.4,13.040,16,4.7
111.6,56,375.9,88.2,102,35,19.8,15,23.9,1177,0.4,13.040,16,4.7
114.7,56,363.5,88.4,102,31,19.6,15,23.1,1189,0.4,13.040,16,4.7
117.8,56,355.9,88.6,102,19,19.6,15,24.2,1153,0.4,12.992,16,4.6
120.9,56,348.0,88.4,102,6,29.8,15,29.1,1111,0.4,12.972,16,4.5
124.0,56,340.9,88.2,102,1,29.8,15,39.0,745,0.5,12.927,16,4.3
127.1,56,334.6,88.2,102,0,28.0,15,36.5,749,0.5,12.983,16,4.1
130.2,56,326.1,88.2,102,0,25.8,15,34.0,737,0.7,12.822,16,3.9
133.3,56,322.8,88.2,102,0,25.1,15,32.3,727,0.7,12.960,16,3.7
136.4,56,316.1,88.2,102,0,24.3,15,31.4,712,0.8,12.960,16,3.5
139.5,56,309.9,88.2,102,0,23.5,15,30.5,710,0.8,13.026,16,3.5
142.6,57,304.2,88.2,101,0,22.9,15,29.5,687,0.6,12.970,16,3.1
145.7,57,297.8,87.8,101,0,22.0,15,29.0,676,0.4,12.904,16,3.1
148.8,57,291.8,87.8,101,0,22.0,15,28.6,680,0.8,13.120,16,3.1
151.9,57,286.0,87.7,101,0,22.0,15,28.7,675,0.8,13.051,16,3.1
155.0,57,279.8,87.5,101,0,22.0,15,28.7,667,0.6,12.914,16,3.1
158.1,57,273.8,87.3,101,0,22.0,15,29.0,673,0.4,12.960,16,3.1
161.2,57,272.0,87.1,102,0,37.3,15,42.9,1164,3.5,12.890,16,4.9
164.3,58,276.7,87.1,101,9,52.4,15,60.1,1588,9.5,13.040,16,13.2
167.4,58,289.4,87.1,101,17,69.5,15,78.1,1543,12.5,13.040,16,16.6
170.5,58,307.6,87.1,100,24,71.0,15,81.1,1625,15.4,13.040,16,19.4
