BlueDriver Data Log
Jul 25, 2018 5:39:26 PM
Time (s),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Fuel Level Input (%),Barometric Pressure (kPa),Vehicle Speed (MPH),Absolute Load Value (%),Ambient Air Temperature (°C),Engine RPM (rpm),Relative Throttle Position (%),Control Module Voltage (V),Intake Air Temperature (°C),Absolute Throttle Position (%)
0.0,,,,,,,,,,,,
2.7,,96.0,100.0,101,0,33.7,29,826,0.6,12.886,,
5.4,49,99.4,100.0,101,3,44.8,29,1147,3.2,12.948,32,10.4
8.1,49,115.5,100.0,101,10,56.2,29,1508,7.0,12.926,32,13.1
10.8,50,135.3,100.0,101,15,56.3,29,1302,6.6,13.037,32,12.1
13.5,50,148.3,100.0,101,18,40.8,29,1371,1.8,13.040,32,7.5
16.2,51,158.2,100.0,101,19,29.8,29,1395,0.8,12.926,32,8.1
18.9,52,166.8,100.0,101,18,26.4,29,1262,0.4,12.823,32,5.7
21.6,52,168.7,100.0,101,13,25.8,29,1175,0.4,13.005,32,5.5
24.3,53,172.0,100.0,101,6,35.4,29,949,0.4,13.040,32,8.2
27.0,53,182.6,100.0,101,8,59.6,29,2021,10.8,13.040,32,17.3
29.7,54,201.8,100.0,101,17,69.0,29,1676,11.8,13.040,32,16.7
32.4,54,221.2,100.0,101,22,54.3,29,1313,5.1,12.985,32,11.3
35.1,56,225.8,100.0,101,24,35.6,29,1172,2.5,12.960,32,5.9
37.8,56,228.0,100.0,101,23,22.5,29,1146,0.5,12.960,32,5.0
40.5,57,228.5,100.0,101,22,35.5,29,1082,0.8,12.921,32,6.8
43.2,57,233.8,100.0,101,21,26.0,29,1287,0.4,12.944,32,6.4
45.9,57,239.2,100.0,101,18,26.7,29,1249,0.4,12.894,32,6.3
48.6,58,240.0,100.0,101,15,26.7,29,1225,0.4,12.960,32,6.3
51.3,58,242.7,100.0,101,12,29.2,29,1266,0.4,13.039,32,6.6
54.0,58,247.7,100.0,101,13,35.9,29,1339,3.2,12.933,32,9.9
56.7,59,256.0,100.0,101,16,40.5,29,1203,1.8,12.916,32,7.7
59.4,59,256.0,100.0,101,17,24.3,29,1117,0.7,12.860,32,5.5
62.1,60,256.0,100.0,101,18,29.3,29,1113,1.2,12.931,32,6.0
64.8,60,258.7,100.0,101,19,35.3,29,1124,2.4,12.880,32,7.0
67.5,60,263.8,100.0,101,21,42.3,29,1142,2.6,12.909,32,7.8
70.2,61,271.6,100.0,101,22,51.4,29,1228,5.5,12.908,32,10.8
72.9,61,284.1,100.0,101,25,59.6,29,1325,6.3,12.880,32,12.5
75.6,61,298.2,100.0,100,28,61.1,29,1360,7.5,12.985,32,13.7
78.3,62,314.7,100.0,100,31,60.5,29,1407,7.2,12.949,31,13.4
81.0,63,326.4,100.0,100,33,53.5,29,1342,5.5,12.956,30,12.0
83.7,63,336.0,100.0,100,35,50.8,29,1300,5.5,12.952,30,10.1
86.4,64,346.1,100.0,99,36,42.8,29,1190,3.6,13.028,30,8.7
89.1,65,351.7,100.0,99,37,42.8,29,1234,3.5,12.960,30,7.8
91.8,65,357.6,100.0,99,37,40.8,29,1186,2.1,12.960,30,7.6
94.5,65,360.0,100.0,100,37,30.1,29,1232,0.1,13.026,30,5.5
97.2,66,364.5,100.0,101,36,25.8,29,1333,0.4,12.960,30,6.3
99.9,67,368.0,100.0,101,34,26.5,29,1327,0.4,13.040,30,6.3
102.6,67,372.3,100.0,101,31,29.9,29,1467,3.2,12.960,30,7.7
105.3,67,384.0,100.0,101,31,50.1,29,1628,7.4,13.015,30,13.5
108.0,68,397.7,100.0,101,33,54.5,29,1391,8.0,13.039,30,11.3
110.7,68,408.0,100.0,101,35,50.2,29,1301,6.7,12.960,30,11.3
113.4,69,412.9,100.0,101,35,44.3,29,1260,5.8,12.960,30,9.7
116.1,69,412.2,100.0,101,35,28.5,29,1155,0.5,12.842,30,6.0
118.8,69,413.5,100.0,101,35,39.3,29,1137,1.9,12.909,30,7.7
121.5,69,416.0,100.0,101,35,45.7,29,1245,2.9,13.016,30,9.6
124.2,70,425.8,100.0,101,36,55.3,29,1374,6.2,12.820,29,11.9
126.9,70,435.1,100.0,101,37,49.5,29,1344,5.3,12.899,29,11.2
129.6,70,440.0,100.0,101,37,44.7,29,1271,4.3,12.960,29,8.8
132.3,71,442.7,100.0,101,37,40.9,29,1258,4.3,12.937,29,8.6
135.0,71,444.7,100.0,101,37,39.3,29,1190,3.2,12.893,29,8.1
137.7,71,448.0,100.0,101,37,42.3,29,1145,2.7,12.964,29,8.4
140.4,71,452.0,100.0,101,36,44.5,29,1198,3.1,12.923,29,9.0
143.1,72,453.9,100.0,101,36,40.4,29,1247,2.1,12.989,29,7.0
145.8,72,449.1,100.0,101,34,29.0,29,1225,0.4,13.016,29,6.3
148.5,72,448.0,100.0,101,32,28.3,29,1085,0.2,12.960,29,5.2
151.2,72,448.0,100.0,100,31,25.9,29,1205,0.0,12.960,29,5.0
153.9,73,440.8,100.0,101,29,21.7,29,1261,0.4,12.960,29,4.8
156.6,73,429.6,100.0,101,25,24.3,29,1250,0.4,13.017,29,5.7
159.3,73,421.1,100.0,101,20,25.9,29,1222,0.0,12.960,29,6.3
162.0,73,419.0,100.0,101,15,26.6,29,1231,0.0,13.010,29,6.1
164.7,73,416.0,100.0,101,8,24.9,29,1156,0.4,12.800,29,5.3
167.4,73,408.0,100.0,101,1,30.6,29,872,0.4,12.833,29,5.4
170.1,73,405.5,100.0,101,2,50.1,29,1673,6.4,12.946,29,10.3
172.8,73,408.0,100.0,100,11,58.4,29,1764,8.4,12.947,29,13.7
175.5,73,416.7,100.0,100,17,67.4,29,1535,10.7,12.928,29,14.2
178.2,74,420.0,100.0,100,21,40.1,28,1356,1.9,12.960,28,8.4
180.9,74,420.0,100.0,101,21,24.1,28,1300,0.4,12.960,28,5.0
183.6,74,418.2,100.0,101,19,17.4,28,1144,0.0,12.960,28,4.0
186.3,74,412.1,100.0,101,15,19.1,28,970,0.2,12.960,28,3.9
189.0,74,410.5,100.0,101,8,23.4,28,1162,0.1,12.840,28,4.6
191.7,75,405.1,100.0,101,2,35.7,28,826,0.3,12.670,28,5.4
194.4,75,396.8,100.0,101,0,37.5,28,779,0.0,12.880,28,5.5
197.1,75,387.0,100.0,101,0,35.3,28,867,0.3,12.880,28,5.5
199.8,75,384.0,100.0,101,0,33.7,28,867,0.4,13.028,28,5.5
202.5,75,375.1,100.0,101,0,32.9,28,850,0.4,12.912,29,5.5
205.2,75,369.3,100.0,101,0,32.2,28,892,0.7,12.743,29,5.2
207.9,75,368.0,100.0,100,3,43.0,28,1462,3.9,12.918,29,9.0
210.6,75,369.9,100.0,99,11,52.2,28,1450,6.2,12.960,29,10.9
213.3,75,375.6,100.0,99,15,51.7,28,1354,6.6,12.853,29,10.7
216.0,75,382.8,100.0,99,19,58.8,28,1394,8.3,13.018,29,11.4
218.7,75,390.9,100.0,99,22,54.1,28,1275,7.2,12.738,29,11.0
221.4,75,396.0,100.0,99,22,43.7,28,1197,4.4,12.924,28,7.2
224.1,76,398.2,100.0,100,22,28.9,28,1139,0.3,12.960,28,5.8
226.8,76,396.2,100.0,101,21,22.5,28,1225,0.0,13.012,28,5.1
229.5,77,396.0,100.0,101,21,23.7,28,1237,0.3,13.023,28,5.7
232.2,77,396.0,100.0,101,17,25.1,28,1221,0.4,13.049,28,5.9
234.9,77,392.0,100.0,101,12,21.0,28,1133,0.4,13.018,28,4.7
237.6,77,390.0,100.0,100,6,29.2,28,1151,7.5,12.960,28,9.6
240.3,77,394.4,100.0,100,11,50.8,28,1771,8.8,12.960,28,12.5
243.0,77,396.0,100.0,99,16,46.1,28,1223,3.9,12.960,28,10.3
245.7,78,396.0,100.0,101,17,30.2,28,1257,1.2,12.960,28,6.5
248.4,78,396.0,100.0,101,16,23.9,28,1279,0.6,12.960,28,5.5
251.1,78,393.9,100.0,101,15,23.8,28,1219,0.0,12.960,28,5.5
253.8,78,392.0,100.0,101,8,18.7,28,992,0.4,12.909,28,2.6
256.5,78,388.0,100.0,101,5,28.2,28,1243,3.9,12.800,28,7.0
259.2,78,388.0,100.0,99,8,31.2,28,1825,4.3,13.018,28,7.8
261.9,78,388.0,100.0,99,12,37.3,28,1537,4.3,12.960,28,9.0
264.6,78,388.0,100.0,100,15,30.1,28,1424,2.0,12.960,28,7.7
267.3,78,388.0,100.0,101,15,22.7,28,1227,0.4,12.960,28,5.5
270.0,78,388.0,100.0,101,14,22.0,28,1225,0.4,12.880,28,4.9
272.7,78,384.2,100.0,101,14,17.6,28,1213,0.3,12.960,28,4.2
275.4,79,380.0,100.0,101,14,17.3,28,1120,0.3,12.960,28,3.7
278.1,79,377.2,100.0,101,12,17.7,28,1110,0.8,12.960,28,4.2
280.8,79,372.0,100.0,101,11,25.9,28,1147,0.4,12.960,28,5.1
283.5,79,374.3,100.0,100,12,37.4,28,1520,3.5,12.960,28,7.6
286.2,79,376.0,100.0,101,13,28.4,28,1401,1.4,12.960,28,7.7
288.9,79,372.0,100.0,101,13,17.5,28,1173,0.4,12.960,28,4.1
291.6,79,370.7,100.0,101,9,17.3,28,946,0.4,12.909,28,3.5
294.3,79,365.5,100.0,101,1,26.5,28,632,0.4,12.960,28,3.5
297.0,79,355.6,100.0,101,0,33.8,28,783,0.0,13.040,28,5.0
299.7,80,350.2,100.0,101,0,35.6,28,873,0.4,13.170,28,5.6
302.4,80,344.9,100.0,101,0,35.0,28,915,0.4,13.263,28,5.9
305.1,80,340.0,100.0,101,1,34.6,28,926,0.1,13.615,28,5.5
307.8,80,337.0,100.0,101,1,34.5,28,849,0.4,13.612,28,5.5
310.5,80,331.5,100.0,101,0,33.8,28,825,0.2,13.680,28,5.4
313.2,80,326.1,100.0,101,0,33.8,28,802,0.0,13.614,28,5.1
315.9,80,321.0,100.0,101,0,33.7,28,841,0.4,13.745,28,5.1
318.6,80,315.3,100.0,101,0,25.5,28,825,0.4,13.680,29,4.0
321.3,81,309.4,100.0,101,0,24.0,28,746,0.4,13.670,29,3.5
324.0,81,304.8,100.0,101,0,24.5,28,726,0.3,13.636,29,3.9
326.7,81,300.3,100.0,101,0,23.5,28,719,0.2,13.628,29,3.9
329.4,81,295.5,100.0,101,0,23.5,28,733,0.2,13.543,29,3.5
332.1,81,291.6,100.0,101,0,26.8,28,653,0.2,13.531,29,3.3
334.8,81,287.5,100.0,101,0,25.5,28,621,0.4,13.321,29,2.8
337.5,81,283.2,100.0,101,0,23.7,28,615,0.4,13.267,29,3.2
340.2,81,278.8,100.0,101,0,25.8,28,601,0.4,13.089,29,3.3
342.9,81,273.4,100.0,101,0,23.5,28,629,0.3,13.040,29,2.8
345.6,81,271.6,100.0,101,0,25.3,28,739,0.0,13.111,29,3.9
348.3,81,266.2,100.0,101,0,27.2,28,737,0.4,13.265,29,4.4
351.0,81,260.9,100.0,101,0,35.6,28,753,0.0,13.495,29,4.7
353.7,81,256.0,100.0,101,0,35.6,28,855,0.0,13.633,29,5.2
356.4,81,253.6,100.0,101,1,32.9,28,833,0.0,13.446,29,5.2
359.1,81,252.0,100.0,101,0,27.5,28,868,0.0,13.309,29,5.0
361.8,81,248.0,100.0,101,0,21.3,28,822,0.3,13.147,30,3.7
364.5,81,245.3,100.0,101,0,18.4,28,797,0.4,13.039,30,2.2
367.2,81,244.0,100.0,101,0,13.3,28,383,0.2,12.925,30,1.6
369.9,81,240.0,100.0,101,0,0.0,13,0,45.2,12.814,30,3.4
372.6,81,240.0,100.0,101,0,0.0,13,0,1.6,12.800,30,6.3
375.3,81,240.0,100.0,101,0,0.0,13,1,1.6,12.800,30,6.3
378.0,81,239.6,100.0,101,0,0.2,13,0,1.6,12.800,30,6.3
380.7,81,240.0,100.0,101,0,0.0,13,0,30,6.3
383.4,81,239.3,100.0,101,0,0,30,6.3
386.1,81,240.0,100.0,101,0,30,6.3
